Date,Close,Open,Low,High,Volume,Trades
2001-03-25,2596.0,2589.0,2589.0,2600.0,93478,18
2001-03-28,2600.0,2551.0,2550.0,2600.0,56077,33
2001-03-31,2600.0,2600.0,2600.0,2601.0,10473,6
2001-04-03,2601.0,2601.0,2601.0,2601.0,3490,2
2001-04-07,2602.0,2602.0,2602.0,2604.0,18993,10
2001-04-08,2602.0,2603.0,2602.0,2604.0,18843,10
2001-04-09,2602.0,2600.0,2599.0,2602.0,24086,14
2001-04-10,2607.0,2603.0,2601.0,2607.0,23500,11
2001-04-11,2608.0,2610.0,2608.0,2614.0,16104,20
2001-04-14,2608.0,2609.0,2607.0,2612.0,8798,10
2001-04-15,2607.0,2597.0,2597.0,2607.0,28584,18
2001-04-17,2577.0,2588.0,2577.0,2589.0,45276,29
2001-04-18,2577.0,2550.0,2550.0,2578.0,65827,36
2001-04-21,2577.0,2570.0,2550.0,2578.0,29482,31
2001-04-22,2577.0,2570.0,2550.0,2587.0,50127,33
2001-04-23,2578.0,2577.0,2576.0,2587.0,76427,36
2001-04-24,2580.0,2579.0,2517.0,2580.0,48029,34
2001-04-25,2600.0,2553.0,2550.0,2600.0,80415,50
2001-04-28,2600.0,2601.0,2600.0,2603.0,47338,39
2001-04-29,2602.0,2600.0,2600.0,2650.0,135616,34
2001-04-30,2680.0,2602.0,2602.0,2701.0,46649,42
2001-05-01,2700.0,2680.0,2680.0,2703.0,66668,51
2001-05-02,2698.0,2700.0,2680.0,2703.0,37293,37
2001-05-05,2699.0,2680.0,2672.0,2700.0,64216,37
2001-05-06,2699.0,2698.0,2697.0,2699.0,22843,18
2001-05-07,2690.0,2696.0,2650.0,2699.0,150855,74
2001-05-08,2690.0,2680.0,2660.0,2690.0,60174,44
2001-05-09,2689.0,2690.0,2689.0,2698.0,15690,18
2001-05-12,2689.0,2688.0,2621.0,2689.0,12918,11
2001-05-13,2685.0,2687.0,2668.0,2687.0,33874,33
2001-05-15,2685.0,2681.0,2679.0,2690.0,36549,28
2001-05-16,2685.0,2631.0,2630.0,2689.0,46515,32
2001-05-19,2690.0,2684.0,2610.0,2690.0,58705,34
2001-05-20,2740.0,2702.0,2690.0,2750.0,55222,34
2001-05-21,2820.0,2750.0,2750.0,2820.0,19209,16
2001-05-23,2837.0,2850.0,2827.0,2850.0,22940,20
2001-05-26,2911.0,2870.0,2842.0,2911.0,17323,28
2001-05-27,2944.0,2920.0,2916.0,2944.0,7117,10
2001-05-28,3091.0,3091.0,3023.0,3091.0,42473,41
2001-05-29,3099.0,3091.0,3090.0,3104.0,178524,56
2001-06-19,2945.0,3000.0,2945.0,3000.0,293962,109
2001-06-20,2878.0,2922.0,2798.0,2922.0,31343,31
2001-06-23,2800.0,2866.0,2790.0,2866.0,65365,39
2001-06-24,2801.0,2764.0,2763.0,2801.0,69316,49
2001-06-25,2797.0,2799.0,2797.0,2799.0,3366,4
2001-06-26,2796.0,2760.0,2759.0,2797.0,64650,56
2001-06-27,2797.0,2795.0,2793.0,2797.0,33274,21
2001-06-30,2800.0,2790.0,2788.0,2800.0,97438,42
2001-07-01,2800.0,2790.0,2780.0,2800.0,104882,43
2001-07-02,2799.0,2800.0,2788.0,2800.0,76529,39
2001-07-03,2800.0,2798.0,2780.0,2801.0,113143,50
2001-07-04,2800.0,2800.0,2799.0,2810.0,131943,49
2001-07-07,2802.0,2802.0,2800.0,2805.0,68932,46
2001-07-08,2798.0,2802.0,2798.0,2805.0,26881,13
2001-07-09,2799.0,2792.0,2788.0,2800.0,101538,42
2001-07-10,2749.0,2790.0,2749.0,2790.0,25706,17
2001-07-11,2733.0,2746.0,2727.0,2746.0,46769,23
2001-07-14,2800.0,2727.0,2727.0,2800.0,301765,78
2001-07-15,2900.0,2801.0,2800.0,2900.0,195607,62
2001-07-16,2900.0,2901.0,2900.0,2913.0,71757,27
2001-08-12,2782.0,2550.0,2550.0,2782.0,21078,23
2001-08-13,2921.0,2782.0,2782.0,2921.0,23980,42
2001-08-14,2800.0,2921.0,2780.0,2922.0,36217,32
2001-08-15,2800.0,2784.0,2784.0,2801.0,42225,24
2001-08-18,2830.0,2800.0,2800.0,2840.0,51303,33
2001-08-19,2900.0,2840.0,2830.0,2903.0,45628,32
2001-08-20,2922.0,2901.0,2900.0,2922.0,49192,38
2001-08-21,2961.0,2945.0,2926.0,2963.0,21930,21
2001-08-22,3000.0,2985.0,2961.0,3000.0,24480,13
2001-08-25,3050.0,3030.0,3020.0,3050.0,6696,12
2001-08-26,3148.0,3080.0,3080.0,3148.0,11343,17
2001-08-27,3050.0,3148.0,3050.0,3150.0,57050,55
2001-08-28,2900.0,3017.0,2900.0,3017.0,36416,30
2001-08-29,3015.0,2900.0,2856.0,3015.0,49499,37
2001-09-01,2970.0,3000.0,2970.0,3015.0,11194,13
2001-09-02,2900.0,2900.0,2900.0,2967.0,17931,12
2001-09-03,2900.0,2789.0,2789.0,2900.0,40551,38
2001-09-04,2900.0,2804.0,2788.0,2900.0,37075,35
2001-09-05,2900.0,2896.0,2896.0,2900.0,39100,28
2001-09-08,2900.0,2902.0,2900.0,2902.0,48105,34
2001-09-09,2900.0,2899.0,2890.0,2901.0,21927,21
