,Date,Trend
0,2015-08-23,7
1,2015-08-30,8
2,2015-09-06,7
3,2015-09-13,4
4,2015-09-20,9
5,2015-09-27,12
6,2015-10-04,7
7,2015-10-11,5
8,2015-10-18,8
9,2015-10-25,10
10,2015-11-01,10
11,2015-11-08,16
12,2015-11-15,17
13,2015-11-22,9
14,2015-11-29,15
15,2015-12-06,11
16,2015-12-13,9
17,2015-12-20,12
18,2015-12-27,6
19,2016-01-03,7
20,2016-01-10,15
21,2016-01-17,16
22,2016-01-24,15
23,2016-01-31,7
24,2016-02-07,10
25,2016-02-14,10
26,2016-02-21,7
27,2016-02-28,15
28,2016-03-06,8
29,2016-03-13,13
30,2016-03-20,15
31,2016-03-27,16
32,2016-04-03,13
33,2016-04-10,17
34,2016-04-17,14
35,2016-04-24,10
36,2016-05-01,8
37,2016-05-08,9
38,2016-05-15,11
39,2016-05-22,10
40,2016-05-29,8
41,2016-06-05,12
42,2016-06-12,16
43,2016-06-19,13
44,2016-06-26,19
45,2016-07-03,5
46,2016-07-10,8
47,2016-07-17,5
48,2016-07-24,9
49,2016-07-31,9
50,2016-08-07,3
51,2016-08-14,7
52,2016-08-21,7
53,2016-08-28,9
54,2016-09-04,5
55,2016-09-11,4
56,2016-09-18,6
57,2016-09-25,7
58,2016-10-02,9
59,2016-10-09,8
60,2016-10-16,10
61,2016-10-23,6
62,2016-10-30,11
63,2016-11-06,12
64,2016-11-13,9
65,2016-11-20,7
66,2016-11-27,16
67,2016-12-04,13
68,2016-12-11,14
69,2016-12-18,14
70,2016-12-25,13
71,2017-01-01,10
72,2017-01-08,10
73,2017-01-15,12
74,2017-01-22,15
75,2017-01-29,8
76,2017-02-05,12
77,2017-02-12,13
78,2017-02-19,14
79,2017-02-26,10
80,2017-03-05,15
81,2017-03-12,11
82,2017-03-19,18
83,2017-03-26,11
84,2017-04-02,9
85,2017-04-09,11
86,2017-04-16,9
87,2017-04-23,7
88,2017-04-30,9
89,2017-05-07,4
90,2017-05-14,4
91,2017-05-21,5
92,2017-05-28,8
93,2017-06-04,5
94,2017-06-11,6
95,2017-06-18,3
96,2017-06-25,3
97,2017-07-02,11
98,2017-07-09,5
99,2017-07-16,4
100,2017-07-23,8
101,2017-07-30,4
102,2017-08-06,6
103,2017-08-13,7
104,2017-08-20,9
105,2017-08-27,5
106,2017-09-03,13
107,2017-09-10,9
108,2017-09-17,7
109,2017-09-24,6
110,2017-10-01,9
111,2017-10-08,7
112,2017-10-15,6
113,2017-10-22,8
114,2017-10-29,10
115,2017-11-05,7
116,2017-11-12,4
117,2017-11-19,9
118,2017-11-26,6
119,2017-12-03,7
120,2017-12-10,6
121,2017-12-17,8
122,2017-12-24,7
123,2017-12-31,6
124,2018-01-07,9
125,2018-01-14,4
126,2018-01-21,9
127,2018-01-28,10
128,2018-02-04,6
129,2018-02-11,10
130,2018-02-18,4
131,2018-02-25,9
132,2018-03-04,9
133,2018-03-11,6
134,2018-03-18,5
135,2018-03-25,9
136,2018-04-01,7
137,2018-04-08,7
138,2018-04-15,5
139,2018-04-22,8
140,2018-04-29,8
141,2018-05-06,6
142,2018-05-13,4
143,2018-05-20,7
144,2018-05-27,4
145,2018-06-03,3
146,2018-06-10,9
147,2018-06-17,8
148,2018-06-24,9
149,2018-07-01,7
150,2018-07-08,4
151,2018-07-15,6
152,2018-07-22,10
153,2018-07-29,7
154,2018-08-05,4
155,2018-08-12,8
156,2018-08-19,11
157,2018-08-26,5
158,2018-09-02,4
159,2018-09-09,13
160,2018-09-16,5
161,2018-09-23,12
162,2018-09-30,12
163,2018-10-07,9
164,2018-10-14,9
165,2018-10-21,13
166,2018-10-28,9
167,2018-11-04,17
168,2018-11-11,12
169,2018-11-18,18
170,2018-11-25,8
171,2018-12-02,12
172,2018-12-09,12
173,2018-12-16,11
174,2018-12-23,13
175,2018-12-30,9
176,2019-01-06,8
177,2019-01-13,15
178,2019-01-20,8
179,2019-01-27,8
180,2019-02-03,8
181,2019-02-10,10
182,2019-02-17,8
183,2019-02-24,10
184,2019-03-03,10
185,2019-03-10,11
186,2019-03-17,8
187,2019-03-24,7
188,2019-03-31,7
189,2019-04-07,11
190,2019-04-14,7
191,2019-04-21,9
192,2019-04-28,9
193,2019-05-05,5
194,2019-05-12,8
195,2019-05-19,6
196,2019-05-26,13
197,2019-06-02,9
198,2019-06-09,11
199,2019-06-16,16
200,2019-06-23,11
201,2019-06-30,7
202,2019-07-07,14
203,2019-07-14,13
204,2019-07-21,10
205,2019-07-28,9
206,2019-08-04,10
207,2019-08-11,6
208,2019-08-18,5
209,2019-08-25,9
210,2019-09-01,11
211,2019-09-08,16
212,2019-09-15,16
213,2019-09-22,17
214,2019-09-29,36
215,2019-10-06,43
216,2019-10-13,27
217,2019-10-20,36
218,2019-10-27,19
219,2019-11-03,25
220,2019-11-10,23
221,2019-11-17,6
222,2019-11-24,20
223,2019-12-01,31
224,2019-12-08,38
225,2019-12-15,41
226,2019-12-22,53
227,2019-12-29,32
228,2020-01-05,23
229,2020-01-12,29
230,2020-01-19,50
231,2020-01-26,43
232,2020-02-02,40
233,2020-02-09,28
234,2020-02-16,37
235,2020-02-23,47
236,2020-03-01,39
237,2020-03-08,40
238,2020-03-15,28
239,2020-03-22,30
240,2020-03-29,36
241,2020-04-05,75
242,2020-04-12,62
243,2020-04-19,68
244,2020-04-26,60
245,2020-05-03,61
246,2020-05-10,67
247,2020-05-17,63
248,2020-05-24,41
249,2020-05-31,37
250,2020-06-07,38
251,2020-06-14,43
252,2020-06-21,64
253,2020-06-28,77
254,2020-07-05,71
255,2020-07-12,100
256,2020-07-19,74
257,2020-07-26,67
258,2020-08-02,69
259,2020-08-09,71
