Date,Close,Open,Low,High,Volume,Trades
2001-05-02,3250.0,3250.0,3250.0,3250.0,1000,1
2001-05-08,3254.0,3254.0,3254.0,3254.0,428,1
2001-05-23,3416.0,3416.0,3416.0,3416.0,1000,2
2001-06-17,2700.0,2700.0,2700.0,2700.0,1000,1
2001-06-19,2700.0,2700.0,2700.0,2700.0,40,1
2001-08-20,2835.0,2835.0,2835.0,2835.0,1000,3
2001-08-27,2976.0,2976.0,2976.0,2976.0,5000,1
2001-09-04,2980.0,2992.0,2980.0,2993.0,1500,5
2001-09-08,2980.0,2980.0,2980.0,2980.0,750,3
2001-09-25,2980.0,2980.0,2980.0,2980.0,333,1
2001-09-26,2980.0,2980.0,2980.0,2980.0,672,1
2001-09-29,2980.0,2980.0,2980.0,2980.0,150,1
2001-09-30,2980.0,2980.0,2980.0,2980.0,502,2
2001-10-13,2980.0,2980.0,2980.0,2980.0,4498,4
2001-10-14,3000.0,3000.0,3000.0,3000.0,3000,1
2001-10-16,3000.0,3000.0,3000.0,3000.0,428,1
2001-10-17,3120.0,3120.0,3120.0,3120.0,1000,2
2001-10-20,3120.0,3120.0,3120.0,3120.0,911,1
2001-10-29,3136.0,3137.0,3136.0,3137.0,3000,3
2001-11-18,3292.0,3292.0,3292.0,3292.0,500,2
2001-11-19,3295.0,3295.0,3295.0,3295.0,500,1
2001-12-01,3304.0,3304.0,3304.0,3304.0,1422,4
2001-12-12,3320.0,3320.0,3320.0,3320.0,613,1
2001-12-18,3322.0,3322.0,3322.0,3322.0,1529,2
2001-12-22,3336.0,3337.0,3336.0,3337.0,4284,5
2001-12-23,3333.0,3336.0,3333.0,3336.0,504,2
2001-12-24,3329.0,3332.0,3329.0,3332.0,29888,4
2001-12-25,3329.0,3328.0,3328.0,3329.0,20000,6
2001-12-26,3329.0,3326.0,3326.0,3329.0,11676,9
2001-12-29,3329.0,3331.0,3329.0,3331.0,4284,4
2001-12-30,3329.0,3329.0,3329.0,3329.0,17030,3
2002-01-01,3330.0,3330.0,3330.0,3330.0,4004,3
2002-01-19,3330.0,3315.0,3315.0,3330.0,47260,28
2002-01-20,3330.0,3330.0,3330.0,3331.0,14235,6
2002-01-21,3331.0,3331.0,3331.0,3331.0,2142,1
2002-02-16,2800.0,2800.0,2800.0,2800.0,1000,1
2002-02-18,2800.0,2800.0,2800.0,2800.0,12852,7
2002-02-20,2800.0,2800.0,2800.0,2800.0,10710,6
2002-02-24,2800.0,2800.0,2800.0,2800.0,2142,1
2002-02-25,2802.0,2802.0,2801.0,2802.0,4284,3
2002-03-02,2806.0,2806.0,2806.0,2806.0,2142,1
2002-03-09,2808.0,2808.0,2808.0,2808.0,2142,2
2002-03-10,2815.0,2808.0,2807.0,2815.0,10684,4
2002-03-12,2815.0,2816.0,2815.0,2816.0,8564,6
2002-03-13,2816.0,2816.0,2816.0,2816.0,2142,1
2002-03-18,2818.0,2818.0,2818.0,2818.0,2142,1
2002-03-19,2819.0,2820.0,2819.0,2820.0,4284,3
2002-04-07,2819.0,2822.0,2819.0,2822.0,2142,3
2002-04-09,2819.0,2819.0,2819.0,2819.0,2162,5
2002-04-10,2819.0,2819.0,2819.0,2819.0,2630,2
2002-04-13,2819.0,2819.0,2819.0,2819.0,14189,9
2002-04-15,2820.0,2820.0,2820.0,2820.0,4284,2
2002-04-17,2821.0,2821.0,2821.0,2821.0,6426,3
2002-04-21,2900.0,2900.0,2900.0,2900.0,2000,1
2002-04-22,2900.0,2900.0,2900.0,2900.0,2142,3
2002-04-24,2900.0,2900.0,2900.0,2900.0,2142,1
2002-04-27,3045.0,2950.0,2950.0,3045.0,16500,4
2002-04-28,3197.0,3045.0,3045.0,3197.0,18568,9
2002-04-29,3197.0,3197.0,3197.0,3197.0,2442,3
2002-04-30,3197.0,3198.0,3197.0,3198.0,1661,3
2002-05-01,3276.0,3197.0,3197.0,3276.0,4981,2
2002-05-04,3356.0,3276.0,3276.0,3356.0,7300142,8
2002-05-05,3356.0,3300.0,3300.0,3356.0,22852,7
2002-05-06,3356.0,3356.0,3356.0,3356.0,20709,6
2002-05-07,3356.0,3356.0,3356.0,3356.0,1598,1
2002-05-08,3356.0,3356.0,3356.0,3356.0,4500,2
2002-05-12,3356.0,3356.0,3356.0,3356.0,4603,3
