,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Feel
0,0,0,0,0,0,744058533151412225,744058533151412225,1466232352000,2016-06-18,11:15:52,430,2463165061,bourseiness,بورسینس,,بازگشايي نمادهاي معاملاتي #فجر،#خكمك،#بكام،#خريخت،#دعبيد،#غبهنوش،#خگستر خروج کامل…  http://goo.gl/fb/gZhVEW  #اقتصاد,[],['http://goo.gl/fb/gZhVEW'],[],0,0,0,"['#فجر', '#خكمك', '#بكام', '#خريخت', '#دعبيد', '#غبهنوش', '#خگستر', '#اقتصاد']",[],https://twitter.com/bourseiness/status/744058533151412225,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9902979731559752
1,1,1,1,1,1,993004902304509952,993004902304509952,1525585792000,2018-05-06,10:19:52,430,986116312920453120,abandidgah,دیدگاه آبان,,"در گروه کم شناور، متعادل و منفی غذایی، ادامه صف خرید نماد #غدیس در کنار معاملات مثبت نمادهای #غگلپا، #غگل و #غمینو، صف خرید نماد #غسالم و صف فروش نماد #غبهنوش قابل توجه تر از دادوستدهای سایر هم گروهی ها می باشد.
#بورس",[],[],[],0,0,0,"['#غدیس', '#غگلپا', '#غگل', '#غمینو', '#غسالم', '#غبهنوش', '#بورس']",[],https://twitter.com/abandidgah/status/993004902304509952,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9815424084663392
2,2,2,2,2,2,996632400737136640,996632400737136640,1526450655000,2018-05-16,10:34:15,430,986116312920453120,abandidgah,دیدگاه آبان,,"نماد #تبرک با جهش قیمتی به صف خرید رسیده است، در این گروه نماد #غبهنوش نیز با صف خرید، نماد #غمارگ با صف فروش، #غشهداب پرتقاضا و مابقی شرکت ها متعادل دنبال می شوند.
#بورس",[],[],[],0,0,1,"['#تبرک', '#غبهنوش', '#غمارگ', '#غشهداب', '#بورس']",[],https://twitter.com/abandidgah/status/996632400737136640,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.7946617007255554
3,3,3,3,3,3,998110560427294722,998110560427294722,1526803076000,2018-05-20,12:27:56,430,986116312920453120,abandidgah,دیدگاه آبان,,"#غپاذر، #غمینو، #غاذر، #غالبر، #غبهنوش، #غگل، #غپینو، #غبشهر و #غمارگ نمادهای صف خرید گروه مثبت غذایی در بازار امروز می باشند.
#بورس",[],[],[],0,0,0,"['#غپاذر', '#غمینو', '#غاذر', '#غالبر', '#غبهنوش', '#غگل', '#غپینو', '#غبشهر', '#غمارگ', '#بورس']",[],https://twitter.com/abandidgah/status/998110560427294722,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.999039590358734
4,4,4,4,4,4,1006070786346475520,1006070786346475520,1528700942000,2018-06-11,11:39:02,430,986116312920453120,abandidgah,دیدگاه آبان,,"درگروه های غذایی، قندی و زراعت، نمادهای #غالبر، #غمارگ و #غاذر با صف خرید، نمادهای #قهکمت، #قچار، #غشاذر، #غشهداب، #غپاک، #غدیس، #غبهنوش، #قشرین و #زمگسا با معاملاتی مثبت و سایر هم گروهی ها اکثرا با معاملاتی متعادل دنبال می شوند. 
#بورس",[],[],[],0,0,0,"['#غالبر', '#غمارگ', '#غاذر', '#قهکمت', '#قچار', '#غشاذر', '#غشهداب', '#غپاک', '#غدیس', '#غبهنوش', '#قشرین', '#زمگسا', '#بورس']",[],https://twitter.com/abandidgah/status/1006070786346475520,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9986333250999452
5,5,5,5,5,5,1008240619926446081,1008240619926446081,1529218270000,2018-06-17,11:21:10,430,986116312920453120,abandidgah,دیدگاه آبان,,"در گروه کوچک غذایی، نمادهای #بهپاک، #غبشهر، #غگلپا، #غگلستا، #غبهنوش و #غشصفا با صف خرید، نمادهای #غسالم، #غدام، #غگل و #غفارس با صف فروش همراه می باشند.
#بورس",[],[],[],0,0,0,"['#بهپاک', '#غبشهر', '#غگلپا', '#غگلستا', '#غبهنوش', '#غشصفا', '#غسالم', '#غدام', '#غگل', '#غفارس', '#بورس']",[],https://twitter.com/abandidgah/status/1008240619926446081,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9864647388458252
6,6,6,6,6,6,1016959741145124866,1016959741145124866,1531297071000,2018-07-11,12:47:51,430,986116312920453120,abandidgah,دیدگاه آبان,,"#غبهنوش
بررسی #اطلاعیه 97/04/20
*بهنوش ايران*
آگهی دعوت به مجمع عمومی عادی سالیانه       
در ساعت 15:00 روز شنبه مورخ 1397/04/30 
درمحل سالن همايش حکمت پژوهشگاه شيمي و مهندسي شيمي ايران واقع در کيلومتر 17 اتوبان تهران کرج - شهرک علم و فناوري پژوهش-خيابان دانش   
#بورس",[],[],[],0,0,0,"['#غبهنوش', '#اطلاعیه', '#بورس']",[],https://twitter.com/abandidgah/status/1016959741145124866,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9876742959022522
7,7,7,7,7,7,1019106601662156801,1019106601662156801,1531808922000,2018-07-17,10:58:42,430,986116312920453120,abandidgah,دیدگاه آبان,,"* توقف نماد *
#فولاد #كهرام #سصفها #ونيرو #وتوشه #لابسا #غبهنوش #شفن #کحافظ #کدما #لسرما #کحافظ
جهت برگزاري مجمع عمومي عادي ساليانه به منظور تصويب صورت هاي مالي 
#بورس",[],[],[],0,0,0,"['#فولاد', '#كهرام', '#سصفها', '#ونيرو', '#وتوشه', '#لابسا', '#غبهنوش', '#شفن', '#کحافظ', '#کدما', '#لسرما', '#کحافظ', '#بورس']",[],https://twitter.com/abandidgah/status/1019106601662156801,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.985651969909668
8,8,8,8,8,8,1054684867185668096,1054684867185668096,1540291442000,2018-10-23,14:14:02,430,986116312920453120,abandidgah,دیدگاه آبان,,"#غبهنوش
بررسی اطلاعیه 97/08/01
*بهنوش ايران*
6 ماهه منتهی به 97/06/31 (حسابرسی نشده) مبلغ 282 ریال سود به ازای هر سهم محقق گردید.
2 درصد کاهش سود نسبت به مدت مشابه سال گذشته
#بورس",[],[],[],0,0,0,"['#غبهنوش', '#بورس']",[],https://twitter.com/abandidgah/status/1054684867185668096,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9929907321929932
9,9,9,9,9,9,1057586547397025792,1057586547397025792,1540983256000,2018-10-31,14:24:16,430,986116312920453120,abandidgah,دیدگاه آبان,,"در گروه محصولات غذایی نیز معاملات مثبتی در جریان است. #غبشهر، #تبرک، #غپاک، #غالبر، #غشهداب، #غشاذر، #غمارگ، #غشان، #غاذر و #غبهنوش از نمادهای همراه با صف خریدند.
#بورس",[],[],[],0,0,0,"['#غبشهر', '#تبرک', '#غپاک', '#غالبر', '#غشهداب', '#غشاذر', '#غمارگ', '#غشان', '#غاذر', '#غبهنوش', '#بورس']",[],https://twitter.com/abandidgah/status/1057586547397025792,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9963717460632324
