,Date,Trend
0,2015-08-23,0
1,2015-08-30,7
2,2015-09-06,0
3,2015-09-13,13
4,2015-09-20,7
5,2015-09-27,6
6,2015-10-04,6
7,2015-10-11,6
8,2015-10-18,0
9,2015-10-25,0
10,2015-11-01,0
11,2015-11-08,0
12,2015-11-15,6
13,2015-11-22,13
14,2015-11-29,6
15,2015-12-06,0
16,2015-12-13,0
17,2015-12-20,0
18,2015-12-27,14
19,2016-01-03,7
20,2016-01-10,0
21,2016-01-17,10
22,2016-01-24,7
23,2016-01-31,26
24,2016-02-07,20
25,2016-02-14,75
26,2016-02-21,100
27,2016-02-28,94
28,2016-03-06,62
29,2016-03-13,33
30,2016-03-20,10
31,2016-03-27,30
32,2016-04-03,23
33,2016-04-10,13
34,2016-04-17,13
35,2016-04-24,16
36,2016-05-01,13
37,2016-05-08,13
38,2016-05-15,7
39,2016-05-22,10
40,2016-05-29,0
41,2016-06-05,13
42,2016-06-12,7
43,2016-06-19,20
44,2016-06-26,10
45,2016-07-03,14
46,2016-07-10,14
47,2016-07-17,7
48,2016-07-24,7
49,2016-07-31,21
50,2016-08-07,15
51,2016-08-14,15
52,2016-08-21,0
53,2016-08-28,7
54,2016-09-04,14
55,2016-09-11,7
56,2016-09-18,7
57,2016-09-25,0
58,2016-10-02,0
59,2016-10-09,7
60,2016-10-16,0
61,2016-10-23,20
62,2016-10-30,0
63,2016-11-06,13
64,2016-11-13,20
65,2016-11-20,13
66,2016-11-27,6
67,2016-12-04,6
68,2016-12-11,6
69,2016-12-18,14
70,2016-12-25,28
71,2017-01-01,7
72,2017-01-08,0
73,2017-01-15,6
74,2017-01-22,12
75,2017-01-29,6
76,2017-02-05,6
77,2017-02-12,6
78,2017-02-19,0
79,2017-02-26,0
80,2017-03-05,6
81,2017-03-12,12
82,2017-03-19,6
83,2017-03-26,6
84,2017-04-02,6
85,2017-04-09,6
86,2017-04-16,6
87,2017-04-23,6
88,2017-04-30,12
89,2017-05-07,6
90,2017-05-14,0
91,2017-05-21,0
92,2017-05-28,7
93,2017-06-04,6
94,2017-06-11,13
95,2017-06-18,6
96,2017-06-25,0
97,2017-07-02,7
98,2017-07-09,7
99,2017-07-16,7
100,2017-07-23,7
101,2017-07-30,6
102,2017-08-06,6
103,2017-08-13,6
104,2017-08-20,13
105,2017-08-27,6
106,2017-09-03,6
107,2017-09-10,0
108,2017-09-17,6
109,2017-09-24,0
110,2017-10-01,6
111,2017-10-08,6
112,2017-10-15,0
113,2017-10-22,6
114,2017-10-29,0
115,2017-11-05,12
116,2017-11-12,6
117,2017-11-19,12
118,2017-11-26,6
119,2017-12-03,6
120,2017-12-10,6
121,2017-12-17,12
122,2017-12-24,7
123,2017-12-31,13
124,2018-01-07,6
125,2018-01-14,6
126,2018-01-21,0
127,2018-01-28,0
128,2018-02-04,6
129,2018-02-11,6
130,2018-02-18,0
131,2018-02-25,17
132,2018-03-04,6
133,2018-03-11,0
134,2018-03-18,6
135,2018-03-25,6
136,2018-04-01,6
137,2018-04-08,6
138,2018-04-15,0
139,2018-04-22,17
140,2018-04-29,9
141,2018-05-06,0
142,2018-05-13,0
143,2018-05-20,6
144,2018-05-27,12
145,2018-06-03,0
146,2018-06-10,6
147,2018-06-17,0
148,2018-06-24,6
149,2018-07-01,0
150,2018-07-08,6
151,2018-07-15,12
152,2018-07-22,12
153,2018-07-29,17
154,2018-08-05,6
155,2018-08-12,9
156,2018-08-19,9
157,2018-08-26,6
158,2018-09-02,0
159,2018-09-09,14
160,2018-09-16,11
161,2018-09-23,11
162,2018-09-30,8
163,2018-10-07,9
164,2018-10-14,11
165,2018-10-21,6
166,2018-10-28,0
167,2018-11-04,0
168,2018-11-11,11
169,2018-11-18,6
170,2018-11-25,6
171,2018-12-02,6
172,2018-12-09,17
173,2018-12-16,6
174,2018-12-23,10
175,2018-12-30,12
176,2019-01-06,0
177,2019-01-13,0
178,2019-01-20,8
179,2019-01-27,0
180,2019-02-03,6
181,2019-02-10,11
182,2019-02-17,11
183,2019-02-24,5
184,2019-03-03,0
185,2019-03-10,0
186,2019-03-17,17
187,2019-03-24,6
188,2019-03-31,0
189,2019-04-07,0
190,2019-04-14,6
191,2019-04-21,6
192,2019-04-28,17
193,2019-05-05,8
194,2019-05-12,17
195,2019-05-19,14
196,2019-05-26,17
197,2019-06-02,8
198,2019-06-09,16
199,2019-06-16,22
200,2019-06-23,14
201,2019-06-30,22
202,2019-07-07,11
203,2019-07-14,6
204,2019-07-21,32
205,2019-07-28,26
206,2019-08-04,17
207,2019-08-11,20
208,2019-08-18,34
209,2019-08-25,11
210,2019-09-01,21
211,2019-09-08,8
212,2019-09-15,16
213,2019-09-22,19
214,2019-09-29,24
215,2019-10-06,29
216,2019-10-13,5
217,2019-10-20,13
218,2019-10-27,16
219,2019-11-03,10
220,2019-11-10,21
221,2019-11-17,0
222,2019-11-24,10
223,2019-12-01,16
224,2019-12-08,13
225,2019-12-15,21
226,2019-12-22,46
227,2019-12-29,16
228,2020-01-05,10
229,2020-01-12,22
230,2020-01-19,35
231,2020-01-26,17
232,2020-02-02,30
233,2020-02-09,22
234,2020-02-16,5
235,2020-02-23,17
236,2020-03-01,19
237,2020-03-08,21
238,2020-03-15,12
239,2020-03-22,4
240,2020-03-29,4
241,2020-04-05,18
242,2020-04-12,18
243,2020-04-19,18
244,2020-04-26,16
245,2020-05-03,41
246,2020-05-10,41
247,2020-05-17,34
248,2020-05-24,28
249,2020-05-31,43
250,2020-06-07,79
251,2020-06-14,48
252,2020-06-21,55
253,2020-06-28,45
254,2020-07-05,51
255,2020-07-12,52
256,2020-07-19,59
257,2020-07-26,40
258,2020-08-02,39
259,2020-08-09,39
