Date,Close,Open,Low,High,Volume,Trades
2015-03-16,1867.0,1825.0,1825.0,1898.0,2350000,90
2015-03-17,1899.0,1941.0,1850.0,1941.0,725703,185
2015-03-18,1944.0,1973.0,1959.0,1974.0,1037060,153
2015-03-25,1944.0,1959.0,1901.0,1974.0,14290,11
2015-03-28,1943.0,1901.0,1870.0,1970.0,81105,54
2015-03-29,2013.0,1910.0,1900.0,2020.0,2574396,279
2015-03-30,2018.0,2000.0,1950.0,2080.0,316729,35
2015-03-31,2019.0,2050.0,2020.0,2050.0,85370,16
2015-04-04,2067.0,2099.0,2099.0,2099.0,950033,126
2015-04-05,2126.0,2149.0,2149.0,2149.0,1155984,84
2015-04-06,2132.0,2211.0,2069.0,2211.0,4227069,120
2015-04-07,2130.0,2195.0,2047.0,2195.0,168474,24
2015-04-08,2125.0,2179.0,2045.0,2179.0,229011,40
2015-04-11,2092.0,2100.0,2040.0,2100.0,624817,65
2015-04-12,2074.0,2009.0,2009.0,2040.0,457637,28
2015-04-13,2068.0,2069.0,1992.0,2069.0,185619,29
2015-04-14,2056.0,1986.0,1986.0,2025.0,244094,49
2015-04-15,2048.0,1981.0,1974.0,1981.0,172559,27
2015-04-18,2036.0,1967.0,1967.0,1967.0,238922,14
2015-04-19,2011.0,1956.0,1955.0,2000.0,583958,53
2015-04-20,1993.0,1960.0,1931.0,1960.0,390295,18
2015-04-21,1986.0,1916.0,1914.0,1930.0,134016,12
2015-04-22,1955.0,1908.0,1907.0,1920.0,648967,46
2015-04-25,1955.0,1877.0,1877.0,1949.0,14457,4
2015-04-26,1943.0,1890.0,1879.0,1940.0,302430,23
2015-04-27,1930.0,1882.0,1882.0,1898.0,358758,35
2015-04-28,1926.0,1867.0,1867.0,1894.0,114173,28
2015-04-29,1920.0,1916.0,1870.0,1916.0,279445,27
2015-05-03,1917.0,1868.0,1868.0,1890.0,103000,5
2015-05-04,1914.0,1867.0,1867.0,1920.0,116346,23
2015-05-05,1901.0,1867.0,1838.0,1880.0,314570,31
