Date,Close,Open,Low,High,Volume,Trades
2016-12-21,5860.0,6000.0,5750.0,6148.0,2377897,822
2016-12-24,5625.0,5799.0,5567.0,5799.0,891084,279
2016-12-25,5547.0,5344.0,5344.0,5344.0,138837,48
2016-12-26,5270.0,5270.0,5270.0,5270.0,1312263,105
2016-12-27,5083.0,5100.0,5008.0,5230.0,2498749,607
2016-12-28,4860.0,5089.0,4829.0,5089.0,1291084,330
2016-12-31,4724.0,4703.0,4642.0,4800.0,924362,235
2017-01-01,4720.0,4790.0,4682.0,4790.0,351611,113
2017-01-02,4886.0,4749.0,4749.0,4956.0,403221,98
2017-01-03,5116.0,5075.0,5003.0,5130.0,1755410,341
2017-01-04,5124.0,5100.0,5081.0,5201.0,682740,224
2017-01-07,5129.0,5120.0,5051.0,5299.0,824115,194
2017-01-08,5190.0,5111.0,5111.0,5240.0,415809,143
2017-01-09,5174.0,5190.0,5130.0,5240.0,261694,80
2017-01-11,5203.0,5259.0,5162.0,5260.0,470898,145
2017-01-14,5190.0,5155.0,5115.0,5267.0,351245,168
2017-01-15,5115.0,5121.0,5033.0,5140.0,275732,163
2017-01-16,5017.0,5053.0,4981.0,5053.0,573903,190
2017-01-17,5016.0,5001.0,4997.0,5049.0,86554,71
2017-01-18,5008.0,4987.0,4987.0,5036.0,507105,108
2017-01-21,5004.0,5000.0,4951.0,5039.0,655681,120
2017-01-22,5001.0,4960.0,4951.0,5020.0,173343,46
2017-01-23,4985.0,4987.0,4935.0,5007.0,511666,82
2017-01-24,4995.0,4960.0,4938.0,5040.0,288765,110
2017-01-25,5008.0,5018.0,5001.0,5038.0,378938,82
2017-01-28,5028.0,5039.0,5000.0,5070.0,526913,93
2017-01-29,5031.0,5031.0,5000.0,5060.0,530531,106
2017-01-30,5069.0,5040.0,5031.0,5100.0,514771,120
2017-01-31,5053.0,5087.0,4952.0,5087.0,216169,73
2017-02-01,5043.0,5050.0,4935.0,5050.0,67390,63
2017-02-04,5017.0,4950.0,4850.0,4950.0,78349,86
2017-02-05,4990.0,4837.0,4801.0,4910.0,90310,73
2017-02-06,4892.0,4831.0,4791.0,4845.0,270213,117
2017-02-07,4858.0,4830.0,4790.0,4852.0,208084,83
2017-02-08,4796.0,4780.0,4693.0,4810.0,244818,149
2017-02-11,4777.0,4739.0,4702.0,4740.0,139876,84
2017-02-12,4726.0,4744.0,4617.0,4780.0,239901,105
2017-02-13,4659.0,4650.0,4566.0,4800.0,741950,185
2017-02-14,4668.0,4777.0,4650.0,4789.0,104619,70
2017-02-15,4784.0,4700.0,4673.0,4870.0,447474,110
2017-02-18,4892.0,4870.0,4766.0,4950.0,658866,130
2017-02-19,4866.0,4850.0,4766.0,4930.0,139313,43
2017-02-20,4844.0,4886.0,4740.0,4997.0,102217,39
2017-02-21,4834.0,4831.0,4737.0,4831.0,77090,41
2017-02-22,4816.0,4800.0,4738.0,4800.0,117428,58
2017-02-25,4789.0,4774.0,4693.0,4793.0,117967,77
2017-02-26,4729.0,4741.0,4605.0,4741.0,232927,96
2017-02-27,4691.0,4730.0,4582.0,4730.0,2331600,215
2017-02-28,4669.0,4600.0,4600.0,4699.0,155700,75
2017-03-01,4663.0,4619.0,4580.0,4689.0,106317,54
2017-03-04,4628.0,4660.0,4544.0,4660.0,208954,99
2017-03-05,4566.0,4520.0,4421.0,4520.0,216338,116
