Date,Close,Open,Low,High,Volume,Trades
2001-04-18,2700.0,2700.0,2700.0,2700.0,1000,1
2001-04-22,2698.0,2698.0,2698.0,2698.0,400,1
2001-04-30,2564.0,2564.0,2564.0,2564.0,500,1
2001-05-01,2489.0,2489.0,2489.0,2489.0,500,1
2001-05-02,2480.0,2488.0,2480.0,2488.0,2231,10
2001-05-06,2480.0,2480.0,2480.0,2480.0,497,2
2001-05-15,2465.0,2466.0,2465.0,2466.0,1000,2
2001-05-26,2449.0,2449.0,2449.0,2449.0,810,1
2001-05-29,2488.0,2450.0,2450.0,2488.0,5877,8
2001-06-02,2612.0,2612.0,2612.0,2612.0,7014,3
2001-06-03,2742.0,2680.0,2680.0,2742.0,6642,7
2001-06-06,2879.0,2879.0,2879.0,2879.0,7562,4
2001-06-09,2879.0,2879.0,2879.0,2879.0,890,2
2001-06-13,2882.0,2882.0,2882.0,2885.0,4354,6
2001-06-16,2881.0,2882.0,2881.0,2882.0,8826,4
2001-06-19,2875.0,2875.0,2875.0,2875.0,760,1
2001-06-20,2874.0,2874.0,2874.0,2876.0,3000,10
2001-06-23,2780.0,2780.0,2780.0,2780.0,2010,2
2001-06-30,2779.0,2779.0,2779.0,2779.0,800,1
2001-07-02,2742.0,2742.0,2742.0,2742.0,5000,3
2001-07-09,2720.0,2720.0,2720.0,2720.0,1824,3
2001-08-05,2000.0,2000.0,2000.0,2000.0,1000,1
2001-08-13,2000.0,2000.0,2000.0,2000.0,2155,2
2001-08-14,2060.0,2000.0,2000.0,2060.0,538,2
2001-08-18,2060.0,2060.0,2060.0,2060.0,2708,3
2001-08-19,2060.0,2060.0,2060.0,2060.0,2500,4
2001-08-21,2060.0,2060.0,2060.0,2060.0,155,1
2001-08-25,2060.0,2060.0,2060.0,2060.0,1024,2
2001-10-16,1957.0,1957.0,1957.0,1957.0,303,1
2001-10-23,1957.0,1957.0,1957.0,1957.0,1014,1
2001-11-05,1947.0,1947.0,1947.0,1947.0,284,2
2001-11-10,1900.0,1900.0,1900.0,1900.0,250,1
2001-11-11,1900.0,1900.0,1900.0,1900.0,2750,1
2001-11-12,1900.0,1899.0,1899.0,1900.0,3418,5
2001-11-13,1901.0,1900.0,1900.0,1901.0,1477,4
2001-11-14,1957.0,1950.0,1950.0,1957.0,5203,4
2001-11-18,1957.0,1959.0,1957.0,1959.0,4900,3
2001-11-20,1957.0,1957.0,1957.0,1957.0,800,2
2001-11-25,2000.0,2000.0,2000.0,2000.0,724,4
2001-11-26,2000.0,2000.0,2000.0,2000.0,140,1
2001-12-03,2050.0,2050.0,2050.0,2050.0,3194,2
2001-12-05,2052.0,2052.0,2052.0,2052.0,1500,2
2001-12-08,2053.0,2053.0,2053.0,2053.0,300,1
2001-12-15,2052.0,2092.0,2052.0,2092.0,1272,3
2001-12-18,2054.0,2057.0,2054.0,2057.0,2556,2
2001-12-22,2056.0,2054.0,2054.0,2056.0,1935,2
2001-12-24,2056.0,2056.0,2056.0,2056.0,39,1
2001-12-26,2100.0,2100.0,2100.0,2100.0,2100,2
2001-12-29,2100.0,2100.0,2100.0,2100.0,856,2
2001-12-30,2101.0,2101.0,2101.0,2101.0,200,1
2001-12-31,2105.0,2105.0,2105.0,2105.0,155,1
2002-01-01,2108.0,2108.0,2108.0,2108.0,39,1
2002-01-05,2107.0,2107.0,2107.0,2108.0,310,3
2002-01-06,2102.0,2102.0,2102.0,2102.0,117,3
