,Date,Trend
0,2015-08-23,0
1,2015-08-30,0
2,2015-09-06,0
3,2015-09-13,0
4,2015-09-20,0
5,2015-09-27,18
6,2015-10-04,0
7,2015-10-11,0
8,2015-10-18,0
9,2015-10-25,0
10,2015-11-01,18
11,2015-11-08,0
12,2015-11-15,0
13,2015-11-22,0
14,2015-11-29,0
15,2015-12-06,0
16,2015-12-13,0
17,2015-12-20,0
18,2015-12-27,20
19,2016-01-03,0
20,2016-01-10,19
21,2016-01-17,0
22,2016-01-24,0
23,2016-01-31,29
24,2016-02-07,38
25,2016-02-14,19
26,2016-02-21,28
27,2016-02-28,19
28,2016-03-06,28
29,2016-03-13,19
30,2016-03-20,19
31,2016-03-27,19
32,2016-04-03,38
33,2016-04-10,0
34,2016-04-17,37
35,2016-04-24,0
36,2016-05-01,19
37,2016-05-08,19
38,2016-05-15,0
39,2016-05-22,0
40,2016-05-29,29
41,2016-06-05,0
42,2016-06-12,19
43,2016-06-19,0
44,2016-06-26,19
45,2016-07-03,0
46,2016-07-10,0
47,2016-07-17,0
48,2016-07-24,20
49,2016-07-31,0
50,2016-08-07,42
51,2016-08-14,22
52,2016-08-21,41
53,2016-08-28,20
54,2016-09-04,20
55,2016-09-11,20
56,2016-09-18,0
57,2016-09-25,0
58,2016-10-02,0
59,2016-10-09,19
60,2016-10-16,19
61,2016-10-23,29
62,2016-10-30,29
63,2016-11-06,19
64,2016-11-13,48
65,2016-11-20,19
66,2016-11-27,0
67,2016-12-04,0
68,2016-12-11,74
69,2016-12-18,0
70,2016-12-25,20
71,2017-01-01,19
72,2017-01-08,24
73,2017-01-15,0
74,2017-01-22,18
75,2017-01-29,18
76,2017-02-05,26
77,2017-02-12,26
78,2017-02-19,35
79,2017-02-26,52
80,2017-03-05,43
81,2017-03-12,34
82,2017-03-19,0
83,2017-03-26,18
84,2017-04-02,44
85,2017-04-09,54
86,2017-04-16,18
87,2017-04-23,0
88,2017-04-30,0
89,2017-05-07,18
90,2017-05-14,37
91,2017-05-21,19
92,2017-05-28,0
93,2017-06-04,18
94,2017-06-11,0
95,2017-06-18,55
96,2017-06-25,19
97,2017-07-02,0
98,2017-07-09,19
99,2017-07-16,19
100,2017-07-23,0
101,2017-07-30,18
102,2017-08-06,36
103,2017-08-13,18
104,2017-08-20,36
105,2017-08-27,0
106,2017-09-03,18
107,2017-09-10,18
108,2017-09-17,36
109,2017-09-24,18
110,2017-10-01,18
111,2017-10-08,30
112,2017-10-15,30
113,2017-10-22,29
114,2017-10-29,0
115,2017-11-05,17
116,2017-11-12,17
117,2017-11-19,17
118,2017-11-26,0
119,2017-12-03,17
120,2017-12-10,52
121,2017-12-17,0
122,2017-12-24,29
123,2017-12-31,18
124,2018-01-07,39
125,2018-01-14,50
126,2018-01-21,50
127,2018-01-28,67
128,2018-02-04,39
129,2018-02-11,28
130,2018-02-18,39
131,2018-02-25,38
132,2018-03-04,43
133,2018-03-11,27
134,2018-03-18,0
135,2018-03-25,17
136,2018-04-01,17
137,2018-04-08,17
138,2018-04-15,17
139,2018-04-22,17
140,2018-04-29,17
141,2018-05-06,0
142,2018-05-13,17
143,2018-05-20,17
144,2018-05-27,28
145,2018-06-03,25
146,2018-06-10,16
147,2018-06-17,33
148,2018-06-24,28
149,2018-07-01,50
150,2018-07-08,27
151,2018-07-15,17
152,2018-07-22,25
153,2018-07-29,25
154,2018-08-05,16
155,2018-08-12,0
156,2018-08-19,0
157,2018-08-26,0
158,2018-09-02,25
159,2018-09-09,38
160,2018-09-16,49
161,2018-09-23,32
162,2018-09-30,33
163,2018-10-07,33
164,2018-10-14,17
165,2018-10-21,16
166,2018-10-28,17
167,2018-11-04,24
168,2018-11-11,25
169,2018-11-18,17
170,2018-11-25,32
171,2018-12-02,33
172,2018-12-09,22
173,2018-12-16,25
174,2018-12-23,18
175,2018-12-30,27
176,2019-01-06,17
177,2019-01-13,24
178,2019-01-20,16
179,2019-01-27,32
180,2019-02-03,16
181,2019-02-10,32
182,2019-02-17,16
183,2019-02-24,24
184,2019-03-03,16
185,2019-03-10,21
186,2019-03-17,16
187,2019-03-24,16
188,2019-03-31,24
189,2019-04-07,16
190,2019-04-14,34
191,2019-04-21,44
192,2019-04-28,41
193,2019-05-05,43
194,2019-05-12,24
195,2019-05-19,59
196,2019-05-26,37
197,2019-06-02,42
198,2019-06-09,16
199,2019-06-16,49
200,2019-06-23,24
201,2019-06-30,49
202,2019-07-07,16
203,2019-07-14,27
204,2019-07-21,33
205,2019-07-28,28
206,2019-08-04,16
207,2019-08-11,54
208,2019-08-18,32
209,2019-08-25,26
210,2019-09-01,26
211,2019-09-08,38
212,2019-09-15,51
213,2019-09-22,56
214,2019-09-29,45
215,2019-10-06,38
216,2019-10-13,38
217,2019-10-20,75
218,2019-10-27,0
219,2019-11-03,20
220,2019-11-10,20
221,2019-11-17,0
222,2019-11-24,15
223,2019-12-01,15
