Date,Close,Open,Low,High,Volume,Trades
2011-08-16,2150.0,2106.0,2106.0,2190.0,257128080,5341
2011-08-17,2236.0,2236.0,2236.0,2236.0,235452016,4933
2011-08-20,2281.0,2256.0,2252.0,2323.0,88131720,6528
2011-08-21,2281.0,2283.0,2252.0,2295.0,85266840,3916
2011-08-23,2291.0,2296.0,2284.0,2310.0,18371511,1157
2011-08-24,2294.0,2290.0,2290.0,2299.0,90072537,1101
2011-08-27,2295.0,2292.0,2292.0,2299.0,21050127,1160
2011-08-28,2295.0,2295.0,2293.0,2298.0,31963406,1329
2011-08-29,2297.0,2296.0,2296.0,2305.0,15153211,733
2011-08-30,2297.0,2300.0,2279.0,2300.0,64458341,1586
2011-09-03,2297.0,2297.0,2296.0,2298.0,55444471,1761
2011-09-04,2297.0,2297.0,2275.0,2300.0,49246693,1464
2011-09-05,2299.0,2290.0,2280.0,2349.0,40776540,1936
2011-09-06,2375.0,2311.0,2311.0,2390.0,14600577,1066
2011-09-07,2310.0,2409.0,2300.0,2409.0,61593442,2466
2011-09-10,2303.0,2338.0,2280.0,2338.0,84198742,2317
2011-09-11,2263.0,2282.0,2251.0,2288.0,18245930,1066
2011-09-12,2261.0,2270.0,2255.0,2279.0,27150238,920
2011-09-13,2245.0,2270.0,2240.0,2270.0,50728847,1538
2011-09-14,2260.0,2261.0,2255.0,2270.0,8813403,411
2011-09-17,2262.0,2260.0,2245.0,2280.0,8357210,629
2011-09-18,2257.0,2269.0,2249.0,2270.0,10505132,463
2011-09-19,2261.0,2250.0,2236.0,2272.0,19941004,1021
2011-09-20,2251.0,2251.0,2235.0,2260.0,22757061,1444
2011-09-21,2253.0,2251.0,2240.0,2269.0,28859921,815
2011-09-25,2241.0,2259.0,2220.0,2259.0,5643052,444
2011-09-26,2215.0,2220.0,2200.0,2230.0,5202782,492
2011-09-27,2230.0,2228.0,2220.0,2250.0,5565580,389
2011-09-28,2232.0,2240.0,2227.0,2249.0,6683190,418
2011-10-01,2217.0,2239.0,2173.0,2240.0,16179676,877
2011-10-02,2180.0,2225.0,2160.0,2229.0,12638146,747
2011-10-03,2177.0,2180.0,2158.0,2197.0,29572959,1204
2011-10-04,2131.0,2162.0,2109.0,2170.0,10512029,876
2011-10-05,2125.0,2130.0,2113.0,2142.0,20163051,1095
2011-10-08,2125.0,2150.0,2110.0,2150.0,15787202,1400
