Date,Close,Open,Low,High,Volume,Trades
2003-10-19,2916.0,2991.0,2900.0,2991.0,2000000,667
2003-10-20,3061.0,3061.0,3061.0,3061.0,7500000,1277
2003-10-21,3214.0,3214.0,3214.0,3214.0,6000000,1102
2003-10-22,3374.0,3374.0,3374.0,3374.0,3000000,670
2003-10-25,3542.0,3542.0,3542.0,3542.0,9327800,1540
2003-10-26,3719.0,3719.0,3719.0,3719.0,474658,204
2003-10-27,3903.0,3904.0,3901.0,3904.0,7259120,1896
2003-10-28,4091.0,4098.0,3950.0,4098.0,2423245,801
2003-10-29,4188.0,4002.0,3955.0,4295.0,1518260,338
2003-11-01,4291.0,4397.0,4291.0,4397.0,149211,102
2003-11-02,4304.0,4505.0,4304.0,4505.0,19226,21
2003-11-03,4314.0,4519.0,4314.0,4519.0,14091,21
2003-11-04,4339.0,4529.0,4339.0,4529.0,35517,28
2003-11-05,4347.0,4555.0,4347.0,4555.0,11934,25
2003-11-08,4376.0,4564.0,4376.0,4564.0,40510,32
2003-11-09,4403.0,4594.0,4403.0,4594.0,37459,38
2003-11-10,4500.0,4623.0,4500.0,4623.0,132801,106
2003-11-11,4569.0,4725.0,4569.0,4725.0,92908,72
2003-11-12,4620.0,4797.0,4620.0,4797.0,67844,48
2003-11-15,4851.0,4851.0,4851.0,4851.0,1126969,374
2003-11-17,4958.0,4851.0,4610.0,5093.0,2422692,625
2003-11-18,5019.0,5205.0,5019.0,5205.0,74346,52
2003-11-19,5023.0,5269.0,5023.0,5269.0,5677,7
2003-11-22,5025.0,5274.0,5025.0,5274.0,2432,4
2003-11-23,5044.0,5276.0,5044.0,5276.0,23194,23
2003-11-24,5069.0,5296.0,5069.0,5296.0,30009,22
2003-11-25,5077.0,5322.0,5077.0,5322.0,9907,16
2003-11-29,5096.0,5330.0,5096.0,5330.0,23174,29
2003-11-30,5350.0,5350.0,3175.0,5350.0,4621364,1742
2003-12-01,5617.0,5617.0,5617.0,5617.0,4190099,1249
2003-12-02,5897.0,5897.0,5897.0,5897.0,4927552,1230
2003-12-03,6191.0,6191.0,6191.0,6191.0,2889082,625
2003-12-06,6396.0,6350.0,6003.0,6500.0,2506573,795
2003-12-07,6671.0,6499.0,6398.0,6715.0,1901789,627
2003-12-08,6455.0,6590.0,6340.0,6590.0,1378160,515
2003-12-09,6363.0,6398.0,6202.0,6600.0,1878769,627
2003-12-10,6680.0,6681.0,6670.0,6681.0,1397761,385
2003-12-13,7012.0,7000.0,7000.0,7014.0,519903,189
2003-12-14,7361.0,7362.0,7253.0,7362.0,881994,338
2003-12-15,7707.0,7500.0,7411.0,7729.0,1165562,442
2003-12-16,7697.0,7715.0,7370.0,8049.0,347730,172
2003-12-17,7346.0,7690.0,7313.0,7690.0,396891,189
2003-12-21,7228.0,7312.0,7000.0,7313.0,472602,282
2003-12-22,7289.0,7250.0,7214.0,7589.0,1773391,577
2003-12-23,7653.0,7653.0,7653.0,7653.0,667681,226
2003-12-24,8030.0,8035.0,7899.0,8035.0,2403608,604
2003-12-27,7712.0,7987.0,7699.0,7987.0,801827,247
2003-12-28,7584.0,7713.0,7500.0,7850.0,3106964,499
2003-12-29,7672.0,7600.0,7600.0,7959.0,2833659,544
2003-12-30,7977.0,7998.0,7732.0,8055.0,3407419,732
2003-12-31,8102.0,8031.0,8000.0,8375.0,3305861,741
2004-01-03,8452.0,8378.0,8158.0,8507.0,1571939,532
2004-01-04,8873.0,8700.0,8700.0,8874.0,1208311,378
