Date,Close,Open,Low,High,Volume,Trades
2001-04-03,4608.0,4608.0,4608.0,4608.0,1000,1
2001-04-07,4611.0,4611.0,4611.0,4611.0,2200,1
2001-04-10,4624.0,4625.0,4624.0,4625.0,2181,2
2001-04-11,4625.0,4624.0,4621.0,4625.0,8233,9
2001-04-15,4600.0,4600.0,4600.0,4600.0,7897,3
2001-04-17,4599.0,4599.0,4599.0,4599.0,2150,1
2001-04-18,4598.0,4598.0,4597.0,4598.0,46300,8
2001-04-21,4580.0,4580.0,4580.0,4580.0,2160,2
2001-04-22,4500.0,4620.0,4500.0,4620.0,27000,7
2001-04-23,4500.0,4497.0,4497.0,4500.0,34363,10
2001-04-24,4501.0,4500.0,4500.0,4501.0,7825,4
2001-04-25,4503.0,4504.0,4503.0,4504.0,6500,5
2001-04-28,4520.0,4521.0,4520.0,4521.0,9200,7
2001-04-29,4550.0,4520.0,4519.0,4550.0,66120,20
2001-04-30,4550.0,4550.0,4535.0,4580.0,25683,17
2001-05-01,4580.0,4554.0,4553.0,4590.0,20430,9
2001-05-02,4580.0,4580.0,4580.0,4589.0,44462,22
2001-05-05,4598.0,4600.0,4598.0,4600.0,21645,11
2001-05-06,4640.0,4598.0,4598.0,4640.0,17110,7
2001-05-07,4691.0,4640.0,4640.0,4691.0,70027,19
2001-05-08,4703.0,4691.0,4691.0,4703.0,5530,5
2001-05-09,4720.0,4714.0,4710.0,4721.0,8240,7
2001-05-12,4800.0,4800.0,4800.0,4800.0,3540,4
2001-05-13,4800.0,4801.0,4800.0,4801.0,7542,7
2001-05-15,4800.0,4800.0,4800.0,4800.0,620,1
2001-05-16,4799.0,4798.0,4796.0,4800.0,32280,14
2001-05-19,4900.0,4800.0,4800.0,4900.0,29000,10
2001-05-20,4901.0,4901.0,4901.0,4901.0,43073,7
2001-05-21,4904.0,4904.0,4901.0,4904.0,54122,16
2001-05-27,4950.0,5000.0,4950.0,5000.0,28580,16
2001-05-28,5040.0,5040.0,5040.0,5040.0,3195,6
2001-05-29,5039.0,5039.0,5038.0,5040.0,209532,7
2001-05-30,5039.0,5039.0,5039.0,5039.0,2834,1
2001-06-02,5034.0,5039.0,5034.0,5039.0,5780,5
2001-06-03,5035.0,5035.0,5033.0,5035.0,85400,21
2001-06-06,5035.0,5035.0,5035.0,5035.0,3688,2
2001-06-09,5000.0,5010.0,5000.0,5010.0,29000,7
2001-06-11,5000.0,5000.0,5000.0,5000.0,4000,3
2001-06-12,5000.0,5000.0,5000.0,5000.0,3000,3
2001-06-13,4950.0,4950.0,4950.0,4960.0,11493,7
2001-06-17,4944.0,4945.0,4944.0,4945.0,70399,27
2001-06-18,4942.0,4942.0,4942.0,4942.0,2500,1
2001-06-19,4928.0,4930.0,4928.0,4930.0,41616,8
2001-06-20,4889.0,4927.0,4889.0,4927.0,20757,7
2001-06-23,4887.0,4889.0,4887.0,4889.0,22216,9
2001-06-24,4800.0,4874.0,4800.0,4874.0,5583,3
2001-06-25,4601.0,4720.0,4601.0,4795.0,35025,14
2001-06-26,4510.0,4600.0,4510.0,4600.0,18375,4
2001-06-27,4500.0,4510.0,4500.0,4550.0,36506,10
2001-06-30,4500.0,4500.0,4500.0,4500.0,6032,4
2001-07-01,4504.0,4500.0,4500.0,4504.0,7654,8
2001-07-02,4550.0,4505.0,4480.0,4550.0,43855,16
2001-07-03,4501.0,4501.0,4501.0,4501.0,3000,2
