,Date,Trend
0,2015-08-23,0
1,2015-08-30,6
2,2015-09-06,0
3,2015-09-13,6
4,2015-09-20,0
5,2015-09-27,9
6,2015-10-04,6
7,2015-10-11,6
8,2015-10-18,6
9,2015-10-25,6
10,2015-11-01,6
11,2015-11-08,6
12,2015-11-15,11
13,2015-11-22,0
14,2015-11-29,6
15,2015-12-06,14
16,2015-12-13,0
17,2015-12-20,9
18,2015-12-27,0
19,2016-01-03,9
20,2016-01-10,6
21,2016-01-17,6
22,2016-01-24,12
23,2016-01-31,8
24,2016-02-07,15
25,2016-02-14,9
26,2016-02-21,6
27,2016-02-28,0
28,2016-03-06,6
29,2016-03-13,12
30,2016-03-20,0
31,2016-03-27,6
32,2016-04-03,6
33,2016-04-10,0
34,2016-04-17,6
35,2016-04-24,9
36,2016-05-01,12
37,2016-05-08,15
38,2016-05-15,12
39,2016-05-22,15
40,2016-05-29,6
41,2016-06-05,12
42,2016-06-12,24
43,2016-06-19,12
44,2016-06-26,6
45,2016-07-03,10
46,2016-07-10,9
47,2016-07-17,13
48,2016-07-24,0
49,2016-07-31,13
50,2016-08-07,6
51,2016-08-14,7
52,2016-08-21,6
53,2016-08-28,9
54,2016-09-04,0
55,2016-09-11,6
56,2016-09-18,6
57,2016-09-25,6
58,2016-10-02,9
59,2016-10-09,6
60,2016-10-16,18
61,2016-10-23,15
62,2016-10-30,0
63,2016-11-06,9
64,2016-11-13,6
65,2016-11-20,0
66,2016-11-27,8
67,2016-12-04,14
68,2016-12-11,17
69,2016-12-18,6
70,2016-12-25,6
71,2017-01-01,8
72,2017-01-08,17
73,2017-01-15,5
74,2017-01-22,5
75,2017-01-29,13
76,2017-02-05,5
77,2017-02-12,8
78,2017-02-19,7
79,2017-02-26,11
80,2017-03-05,7
81,2017-03-12,5
82,2017-03-19,0
83,2017-03-26,8
84,2017-04-02,7
85,2017-04-09,6
86,2017-04-16,8
87,2017-04-23,5
88,2017-04-30,5
89,2017-05-07,11
90,2017-05-14,0
91,2017-05-21,6
92,2017-05-28,12
93,2017-06-04,9
94,2017-06-11,10
95,2017-06-18,8
96,2017-06-25,0
97,2017-07-02,0
98,2017-07-09,8
99,2017-07-16,6
100,2017-07-23,6
101,2017-07-30,6
102,2017-08-06,6
103,2017-08-13,0
104,2017-08-20,6
105,2017-08-27,9
106,2017-09-03,6
107,2017-09-10,5
108,2017-09-17,5
109,2017-09-24,5
110,2017-10-01,5
111,2017-10-08,8
112,2017-10-15,6
113,2017-10-22,11
114,2017-10-29,14
115,2017-11-05,5
116,2017-11-12,5
117,2017-11-19,5
118,2017-11-26,7
119,2017-12-03,11
120,2017-12-10,7
121,2017-12-17,6
122,2017-12-24,8
123,2017-12-31,11
124,2018-01-07,5
125,2018-01-14,10
126,2018-01-21,12
127,2018-01-28,19
128,2018-02-04,13
129,2018-02-11,5
130,2018-02-18,7
131,2018-02-25,5
132,2018-03-04,8
133,2018-03-11,10
134,2018-03-18,10
135,2018-03-25,5
136,2018-04-01,0
137,2018-04-08,8
138,2018-04-15,10
139,2018-04-22,10
140,2018-04-29,5
141,2018-05-06,9
142,2018-05-13,5
143,2018-05-20,12
144,2018-05-27,13
145,2018-06-03,5
146,2018-06-10,5
147,2018-06-17,13
148,2018-06-24,10
149,2018-07-01,15
150,2018-07-08,8
151,2018-07-15,21
152,2018-07-22,10
153,2018-07-29,14
154,2018-08-05,8
155,2018-08-12,5
156,2018-08-19,5
157,2018-08-26,10
158,2018-09-02,10
159,2018-09-09,12
160,2018-09-16,10
161,2018-09-23,18
162,2018-09-30,5
163,2018-10-07,10
164,2018-10-14,14
165,2018-10-21,19
166,2018-10-28,8
167,2018-11-04,10
168,2018-11-11,5
169,2018-11-18,10
170,2018-11-25,12
171,2018-12-02,12
172,2018-12-09,8
173,2018-12-16,12
174,2018-12-23,11
175,2018-12-30,16
176,2019-01-06,12
177,2019-01-13,10
178,2019-01-20,5
179,2019-01-27,10
180,2019-02-03,7
181,2019-02-10,14
182,2019-02-17,18
183,2019-02-24,7
184,2019-03-03,7
185,2019-03-10,8
186,2019-03-17,7
187,2019-03-24,10
188,2019-03-31,7
189,2019-04-07,10
190,2019-04-14,23
191,2019-04-21,17
192,2019-04-28,17
193,2019-05-05,5
194,2019-05-12,8
195,2019-05-19,11
196,2019-05-26,21
197,2019-06-02,10
198,2019-06-09,11
199,2019-06-16,15
200,2019-06-23,15
201,2019-06-30,10
202,2019-07-07,11
203,2019-07-14,17
204,2019-07-21,7
205,2019-07-28,13
206,2019-08-04,17
207,2019-08-11,13
208,2019-08-18,13
209,2019-08-25,11
210,2019-09-01,13
211,2019-09-08,19
212,2019-09-15,23
213,2019-09-22,25
214,2019-09-29,59
215,2019-10-06,31
216,2019-10-13,28
217,2019-10-20,41
218,2019-10-27,36
219,2019-11-03,26
220,2019-11-10,21
221,2019-11-17,5
222,2019-11-24,17
223,2019-12-01,28
224,2019-12-08,31
225,2019-12-15,28
226,2019-12-22,24
227,2019-12-29,32
228,2020-01-05,17
229,2020-01-12,30
230,2020-01-19,55
231,2020-01-26,47
232,2020-02-02,53
233,2020-02-09,44
234,2020-02-16,35
235,2020-02-23,41
236,2020-03-01,45
237,2020-03-08,45
238,2020-03-15,21
239,2020-03-22,33
240,2020-03-29,38
241,2020-04-05,54
242,2020-04-12,56
243,2020-04-19,57
244,2020-04-26,50
245,2020-05-03,53
246,2020-05-10,54
247,2020-05-17,40
248,2020-05-24,37
249,2020-05-31,32
250,2020-06-07,47
251,2020-06-14,47
252,2020-06-21,100
253,2020-06-28,46
254,2020-07-05,44
255,2020-07-12,32
256,2020-07-19,64
257,2020-07-26,54
258,2020-08-02,46
259,2020-08-09,36
