,Date,Trend
0,2015-08-23,0
1,2015-08-30,0
2,2015-09-06,10
3,2015-09-13,10
4,2015-09-20,10
5,2015-09-27,0
6,2015-10-04,10
7,2015-10-11,0
8,2015-10-18,10
9,2015-10-25,0
10,2015-11-01,0
11,2015-11-08,0
12,2015-11-15,0
13,2015-11-22,10
14,2015-11-29,9
15,2015-12-06,10
16,2015-12-13,0
17,2015-12-20,0
18,2015-12-27,0
19,2016-01-03,20
20,2016-01-10,0
21,2016-01-17,0
22,2016-01-24,15
23,2016-01-31,30
24,2016-02-07,20
25,2016-02-14,0
26,2016-02-21,15
27,2016-02-28,19
28,2016-03-06,10
29,2016-03-13,10
30,2016-03-20,0
31,2016-03-27,10
32,2016-04-03,10
33,2016-04-10,20
34,2016-04-17,10
35,2016-04-24,10
36,2016-05-01,10
37,2016-05-08,0
38,2016-05-15,10
39,2016-05-22,0
40,2016-05-29,0
41,2016-06-05,10
42,2016-06-12,20
43,2016-06-19,21
44,2016-06-26,15
45,2016-07-03,11
46,2016-07-10,10
47,2016-07-17,11
48,2016-07-24,0
49,2016-07-31,27
50,2016-08-07,11
51,2016-08-14,11
52,2016-08-21,0
53,2016-08-28,0
54,2016-09-04,11
55,2016-09-11,21
56,2016-09-18,31
57,2016-09-25,0
58,2016-10-02,10
59,2016-10-09,0
60,2016-10-16,10
61,2016-10-23,0
62,2016-10-30,10
63,2016-11-06,0
64,2016-11-13,0
65,2016-11-20,20
66,2016-11-27,9
67,2016-12-04,38
68,2016-12-11,10
69,2016-12-18,10
70,2016-12-25,11
71,2017-01-01,10
72,2017-01-08,0
73,2017-01-15,19
74,2017-01-22,18
75,2017-01-29,9
76,2017-02-05,0
77,2017-02-12,9
78,2017-02-19,9
79,2017-02-26,9
80,2017-03-05,9
81,2017-03-12,9
82,2017-03-19,0
83,2017-03-26,9
84,2017-04-02,18
85,2017-04-09,10
86,2017-04-16,19
87,2017-04-23,14
88,2017-04-30,9
89,2017-05-07,9
90,2017-05-14,10
91,2017-05-21,0
92,2017-05-28,10
93,2017-06-04,10
94,2017-06-11,19
95,2017-06-18,0
96,2017-06-25,0
97,2017-07-02,20
98,2017-07-09,10
99,2017-07-16,20
100,2017-07-23,10
101,2017-07-30,10
102,2017-08-06,19
103,2017-08-13,19
104,2017-08-20,14
105,2017-08-27,19
106,2017-09-03,19
107,2017-09-10,37
108,2017-09-17,28
109,2017-09-24,14
110,2017-10-01,9
111,2017-10-08,9
112,2017-10-15,9
113,2017-10-22,9
114,2017-10-29,9
115,2017-11-05,18
116,2017-11-12,9
117,2017-11-19,9
118,2017-11-26,9
119,2017-12-03,9
120,2017-12-10,0
121,2017-12-17,9
122,2017-12-24,35
123,2017-12-31,0
124,2018-01-07,9
125,2018-01-14,9
126,2018-01-21,9
127,2018-01-28,9
128,2018-02-04,17
129,2018-02-11,9
130,2018-02-18,9
131,2018-02-25,21
132,2018-03-04,34
133,2018-03-11,8
134,2018-03-18,17
135,2018-03-25,9
136,2018-04-01,0
137,2018-04-08,9
138,2018-04-15,17
139,2018-04-22,9
140,2018-04-29,9
141,2018-05-06,26
142,2018-05-13,9
143,2018-05-20,9
144,2018-05-27,9
145,2018-06-03,0
146,2018-06-10,9
147,2018-06-17,9
148,2018-06-24,26
149,2018-07-01,9
150,2018-07-08,9
151,2018-07-15,9
152,2018-07-22,18
153,2018-07-29,9
154,2018-08-05,26
155,2018-08-12,13
156,2018-08-19,18
157,2018-08-26,13
158,2018-09-02,9
159,2018-09-09,17
160,2018-09-16,26
161,2018-09-23,25
162,2018-09-30,21
163,2018-10-07,17
164,2018-10-14,9
165,2018-10-21,26
166,2018-10-28,34
167,2018-11-04,13
168,2018-11-11,9
169,2018-11-18,9
170,2018-11-25,8
171,2018-12-02,21
172,2018-12-09,52
173,2018-12-16,18
174,2018-12-23,0
175,2018-12-30,18
176,2019-01-06,13
177,2019-01-13,21
178,2019-01-20,21
179,2019-01-27,17
180,2019-02-03,8
181,2019-02-10,17
182,2019-02-17,29
183,2019-02-24,21
184,2019-03-03,8
185,2019-03-10,17
186,2019-03-17,0
187,2019-03-24,9
188,2019-03-31,9
189,2019-04-07,8
190,2019-04-14,18
191,2019-04-21,0
192,2019-04-28,43
193,2019-05-05,25
194,2019-05-12,17
195,2019-05-19,8
196,2019-05-26,8
197,2019-06-02,8
198,2019-06-09,46
199,2019-06-16,30
200,2019-06-23,21
201,2019-06-30,13
202,2019-07-07,29
203,2019-07-14,34
204,2019-07-21,13
205,2019-07-28,22
206,2019-08-04,9
207,2019-08-11,9
208,2019-08-18,17
209,2019-08-25,17
210,2019-09-01,8
211,2019-09-08,12
212,2019-09-15,24
213,2019-09-22,12
214,2019-09-29,32
215,2019-10-06,32
216,2019-10-13,40
217,2019-10-20,39
218,2019-10-27,12
219,2019-11-03,31
220,2019-11-10,27
221,2019-11-17,0
222,2019-11-24,16
223,2019-12-01,35
