Date,Close,Open,Low,High,Volume,Trades
2001-03-25,5464.0,5464.0,5464.0,5464.0,313,1
2001-03-26,5455.0,5455.0,5455.0,5455.0,30,3
2001-03-27,5183.0,5183.0,5183.0,5183.0,400,1
2001-03-28,5185.0,5185.0,5185.0,5185.0,66,1
2001-03-31,5183.0,5183.0,5183.0,5183.0,1982,3
2001-04-07,4930.0,4930.0,4930.0,4930.0,400,1
2001-04-09,4930.0,4930.0,4930.0,4931.0,4264,8
2001-04-10,4931.0,4931.0,4931.0,4931.0,3089,7
2001-04-11,5001.0,4960.0,4960.0,5001.0,11680,11
2001-04-14,5100.0,5001.0,5001.0,5100.0,913,4
2001-04-15,5150.0,5102.0,5102.0,5150.0,3132,8
2001-04-16,5150.0,5170.0,5150.0,5171.0,1566,5
2001-04-17,5200.0,5151.0,5151.0,5202.0,8582,14
2001-04-18,5200.0,5200.0,5200.0,5201.0,3398,11
2001-04-21,5100.0,5200.0,5100.0,5200.0,5625,16
2001-04-22,5100.0,5100.0,5100.0,5103.0,6026,17
2001-04-23,5110.0,5101.0,5101.0,5110.0,2234,4
2001-04-24,5118.0,5113.0,5113.0,5119.0,2910,3
2001-04-25,5190.0,5132.0,5132.0,5190.0,4595,12
2001-04-28,5190.0,5190.0,5190.0,5190.0,319,3
2001-04-29,5209.0,5191.0,5191.0,5209.0,4330,8
2001-04-30,5221.0,5214.0,3111.0,5221.0,15156,78
2001-05-01,5222.0,5222.0,5222.0,5222.0,1301,3
2001-05-02,5236.0,5224.0,5224.0,5240.0,9210,16
2001-05-05,5270.0,5231.0,5230.0,5270.0,2803,11
2001-05-06,5301.0,5300.0,5300.0,5301.0,4316,5
2001-05-07,5400.0,5450.0,5303.0,5450.0,2452,5
2001-05-08,5440.0,5412.0,5412.0,5440.0,529,4
2001-05-09,5477.0,5455.0,5455.0,5477.0,2146,4
2001-05-12,5504.0,5502.0,5502.0,5504.0,268,4
2001-05-15,5555.0,5535.0,5535.0,5555.0,538,6
2001-05-16,5832.0,5730.0,5600.0,5832.0,1198,4
2001-05-21,5977.0,5977.0,5977.0,5977.0,1104,5
2001-05-23,6126.0,6126.0,6126.0,6126.0,1020,2
2001-05-26,6279.0,6206.0,6206.0,6279.0,24417,26
2001-06-13,6407.0,6279.0,6279.0,6407.0,10838,33
2001-06-16,6500.0,6451.0,6422.0,6567.0,10516,36
2001-06-17,6600.0,6502.0,6502.0,6601.0,9111,34
2001-06-18,6600.0,6600.0,6500.0,6600.0,12213,33
2001-06-19,6440.0,6550.0,6440.0,6550.0,1965,6
2001-06-20,6450.0,6430.0,6429.0,6451.0,4665,26
2001-06-23,6455.0,6450.0,6450.0,6455.0,4421,11
2001-06-24,6532.0,6457.0,6457.0,6550.0,6070,17
2001-06-25,6570.0,6550.0,6531.0,6580.0,3310,9
2001-06-26,6502.0,6500.0,6500.0,6505.0,5918,27
2001-06-27,6501.0,6502.0,6500.0,6502.0,4475,16
2001-06-30,6531.0,6501.0,6500.0,6531.0,10156,21
2001-07-01,6636.0,6533.0,6533.0,6636.0,4354,18
2001-07-02,6801.0,6750.0,6655.0,6801.0,15673,17
2001-07-03,6971.0,6971.0,6971.0,6971.0,4429,12
2001-07-04,6902.0,7040.0,6902.0,7040.0,9646,28
2001-07-07,6833.0,6895.0,6833.0,6895.0,1287,4
2001-07-08,6902.0,6902.0,6830.0,6902.0,7098,34
2001-07-09,6820.0,6904.0,6820.0,6930.0,6177,17
2001-08-12,8500.0,8350.0,6820.0,8631.0,4647,18
2001-08-13,8645.0,8612.0,8593.0,8645.0,14710,27
2001-08-14,8755.0,8645.0,8580.0,8755.0,18150,19
2001-08-15,8865.0,8602.0,8600.0,8865.0,19310,20
2001-08-18,9086.0,8883.0,8880.0,9086.0,17917,20
2001-08-19,9313.0,9313.0,9313.0,9313.0,13230,11
2001-08-20,9545.0,9313.0,9313.0,9545.0,7901,12
2001-08-21,9640.0,9640.0,9640.0,9640.0,21053,23
2001-08-22,9544.0,9545.0,9544.0,9600.0,3514,11
2001-08-25,9449.0,9449.0,9449.0,9449.0,19400,13
2001-08-26,9213.0,9213.0,9213.0,9213.0,19661,3
2001-08-27,8983.0,8983.0,8983.0,8983.0,1000,2
2001-08-28,8759.0,8759.0,8759.0,8759.0,3000,8
2001-08-29,8541.0,8541.0,8541.0,8541.0,2000,2
2001-09-01,8512.0,8328.0,8328.0,8540.0,24225,77
2001-09-02,8512.0,8512.0,8512.0,8512.0,3200,11
2001-09-04,8377.0,8490.0,8377.0,8490.0,3200,6
2001-09-05,8400.0,8300.0,8294.0,8400.0,12830,44
2001-09-08,8399.0,8339.0,8339.0,8402.0,6247,17
2001-09-09,8400.0,8394.0,8394.0,8400.0,11583,20
2001-09-10,8405.0,8400.0,8400.0,8405.0,2429,10
2001-09-11,8422.0,8420.0,8420.0,8422.0,662,4
2001-09-12,8421.0,8421.0,8420.0,8421.0,1317,6
2001-09-15,8421.0,8421.0,8421.0,8421.0,1098,6
2001-09-16,8400.0,8421.0,8400.0,8421.0,1242,4
2001-09-22,8316.0,8316.0,8316.0,8317.0,31000,47
2001-09-23,8317.0,8316.0,8316.0,8319.0,1885,9
2001-09-24,8315.0,8316.0,8315.0,8316.0,100,2
2001-09-25,8250.0,8250.0,8250.0,8250.0,1000,3
2001-09-26,8168.0,8168.0,8168.0,8168.0,1000,1
2001-09-29,8087.0,8087.0,8087.0,8087.0,11000,17
2001-09-30,8007.0,8007.0,8007.0,8007.0,9373,14
2001-10-02,8087.0,8006.0,8006.0,8087.0,1491,5
2001-10-06,8087.0,8079.0,8079.0,8087.0,4154,10
2001-10-07,8100.0,8087.0,8087.0,8100.0,10013,23
2001-10-08,8080.0,8100.0,8080.0,8100.0,5177,10
2001-10-09,8080.0,8080.0,8080.0,8080.0,661,2
2001-10-14,7883.0,8000.0,7880.0,8000.0,6692,12
2001-10-16,8000.0,7883.0,7883.0,8000.0,9668,21
2001-10-17,7999.0,8000.0,7999.0,8000.0,1142,4
2001-10-20,7996.0,7996.0,7996.0,7996.0,266,1
2001-10-21,8000.0,7990.0,7990.0,8000.0,7690,23
2001-10-22,8000.0,8000.0,8000.0,8000.0,830,6
2001-10-23,7999.0,8000.0,7904.0,8000.0,1158,7
2001-10-24,8020.0,8000.0,8000.0,8020.0,5313,16
2001-10-27,8037.0,8020.0,8020.0,8037.0,8316,8
2001-10-28,8050.0,8060.0,8050.0,8060.0,6013,5
2001-10-29,8050.0,8000.0,8000.0,8050.0,933,8
2001-10-30,8050.0,8050.0,8050.0,8050.0,187,1
2001-10-31,8057.0,8055.0,8055.0,8057.0,660,2
2001-11-03,8150.0,8072.0,8072.0,8150.0,9847,20
2001-11-04,8200.0,8200.0,8200.0,8200.0,2000,3
2001-11-05,8226.0,8214.0,8214.0,8226.0,2550,5
2001-11-06,8244.0,8244.0,8244.0,8244.0,100,1
2001-11-07,8300.0,8300.0,8300.0,8300.0,497,2
2001-11-10,8372.0,8353.0,8351.0,8372.0,2990,9
2001-11-11,8401.0,8410.0,8377.0,8410.0,1156,4
2001-11-12,8502.0,8437.0,8437.0,8502.0,2638,7
2001-11-13,8550.0,8515.0,8514.0,8550.0,2541,10
2001-11-14,8571.0,8600.0,8568.0,8600.0,931,4
2001-11-17,8600.0,8600.0,8600.0,8600.0,980,3
2001-11-18,8603.0,8602.0,8602.0,8604.0,1202,8
2001-11-19,8604.0,8604.0,8603.0,8605.0,681,7
2001-11-20,8604.0,8604.0,8604.0,8604.0,705,3
2001-11-21,8604.0,8604.0,8603.0,8604.0,964,5
2001-11-24,8622.0,8605.0,8604.0,8622.0,555,4
2001-11-25,8638.0,8631.0,8631.0,8638.0,1692,5
2001-11-26,8638.0,8638.0,8638.0,8638.0,509,4
2001-11-27,8650.0,8638.0,8638.0,8650.0,2373,10
2001-11-28,8658.0,8650.0,8650.0,8658.0,6082,15
2001-12-01,8680.0,8676.0,8675.0,8683.0,2532,8
2001-12-02,8694.0,8683.0,8683.0,8694.0,894,4
2001-12-03,8762.0,8756.0,8750.0,8762.0,1140,4
2001-12-04,8804.0,8774.0,8774.0,8804.0,583,4
2001-12-05,8820.0,8820.0,8815.0,8822.0,6245,17
2001-12-11,8732.0,8732.0,8732.0,8732.0,700,4
2001-12-12,8641.0,8645.0,8641.0,8645.0,6800,21
2001-12-15,8550.0,8630.0,8550.0,8639.0,4568,19
2001-12-17,8644.0,8540.0,8540.0,8644.0,11146,16
2001-12-18,8644.0,8644.0,8642.0,8644.0,5145,7
2001-12-19,8644.0,8644.0,8640.0,8645.0,162884,17
2001-12-22,8650.0,8642.0,8642.0,8650.0,2843,6
2001-12-23,8650.0,8650.0,8650.0,8650.0,2842,6
2001-12-24,8659.0,8652.0,8652.0,8670.0,6822,9
2001-12-25,8689.0,8663.0,8662.0,8689.0,2664,5
2001-12-30,8670.0,8670.0,8662.0,8670.0,532,3
2002-01-01,8585.0,8501.0,8500.0,8585.0,4538,4
2002-01-02,8460.0,8500.0,8454.0,8500.0,18865,20
2002-01-05,8395.0,8444.0,8395.0,8445.0,5605,16
2002-01-06,8379.0,8390.0,8250.0,8390.0,28671,22
2002-01-07,8367.0,8367.0,8360.0,8368.0,5031,7
2002-01-08,8250.0,8250.0,8250.0,8251.0,8360,18
2002-01-12,8250.0,8238.0,8220.0,8250.0,4792,9
2002-01-13,8395.0,8254.0,8250.0,8395.0,8122,16
2002-01-14,8390.0,8390.0,8390.0,8390.0,1070,3
2002-01-15,8390.0,8390.0,8367.0,8390.0,17354,22
2002-01-16,8398.0,8391.0,8391.0,8398.0,1515,3
2002-01-19,8414.0,8409.0,8400.0,8414.0,6127,10
2002-01-20,8388.0,8390.0,8388.0,8390.0,1551,6
2002-01-21,8390.0,8386.0,8386.0,8390.0,4125,8
2002-01-22,8310.0,8310.0,8300.0,8310.0,1976,10
2002-01-23,8517.0,8310.0,8310.0,8517.0,3332,9
2002-01-26,8515.0,8517.0,8515.0,8517.0,646,3
2002-01-27,8550.0,8512.0,8512.0,8550.0,8236,20
2002-01-28,8551.0,8550.0,8550.0,8552.0,3361,13
2002-01-29,8553.0,8560.0,8553.0,8560.0,2344,4
2002-01-30,8556.0,8554.0,8554.0,8556.0,134,3
2002-02-02,8551.0,8555.0,8551.0,8555.0,10175,11
2002-02-03,8338.0,8338.0,8338.0,8338.0,813,2
2002-02-04,8330.0,8330.0,8330.0,8330.0,2000,2
2002-02-05,8329.0,8316.0,8310.0,8329.0,9834,14
