,Date,Trend
0,2015-08-23,41
1,2015-08-30,37
2,2015-09-06,41
3,2015-09-13,37
4,2015-09-20,36
5,2015-09-27,42
6,2015-10-04,45
7,2015-10-11,44
8,2015-10-18,38
9,2015-10-25,48
10,2015-11-01,41
11,2015-11-08,43
12,2015-11-15,46
13,2015-11-22,44
14,2015-11-29,42
15,2015-12-06,49
16,2015-12-13,46
17,2015-12-20,49
18,2015-12-27,48
19,2016-01-03,46
20,2016-01-10,46
21,2016-01-17,47
22,2016-01-24,46
23,2016-01-31,44
24,2016-02-07,48
25,2016-02-14,45
26,2016-02-21,41
27,2016-02-28,38
28,2016-03-06,40
29,2016-03-13,30
30,2016-03-20,27
31,2016-03-27,37
32,2016-04-03,51
33,2016-04-10,52
34,2016-04-17,44
35,2016-04-24,50
36,2016-05-01,45
37,2016-05-08,50
38,2016-05-15,47
39,2016-05-22,47
40,2016-05-29,45
41,2016-06-05,46
42,2016-06-12,50
43,2016-06-19,48
44,2016-06-26,45
45,2016-07-03,44
46,2016-07-10,44
47,2016-07-17,48
48,2016-07-24,46
49,2016-07-31,51
50,2016-08-07,57
51,2016-08-14,51
52,2016-08-21,53
53,2016-08-28,47
54,2016-09-04,48
55,2016-09-11,44
56,2016-09-18,45
57,2016-09-25,49
58,2016-10-02,50
59,2016-10-09,45
60,2016-10-16,53
61,2016-10-23,57
62,2016-10-30,52
63,2016-11-06,57
64,2016-11-13,55
65,2016-11-20,56
66,2016-11-27,54
67,2016-12-04,54
68,2016-12-11,55
69,2016-12-18,59
70,2016-12-25,66
71,2017-01-01,61
72,2017-01-08,56
73,2017-01-15,56
74,2017-01-22,59
75,2017-01-29,56
76,2017-02-05,59
77,2017-02-12,53
78,2017-02-19,57
79,2017-02-26,53
80,2017-03-05,49
81,2017-03-12,42
82,2017-03-19,31
83,2017-03-26,41
84,2017-04-02,52
85,2017-04-09,57
86,2017-04-16,58
87,2017-04-23,57
88,2017-04-30,55
89,2017-05-07,54
90,2017-05-14,45
91,2017-05-21,54
92,2017-05-28,53
93,2017-06-04,47
94,2017-06-11,50
95,2017-06-18,52
96,2017-06-25,46
97,2017-07-02,56
