,Date,Trend
0,2015-08-23,0
1,2015-08-30,0
2,2015-09-06,10
3,2015-09-13,0
4,2015-09-20,0
5,2015-09-27,0
6,2015-10-04,0
7,2015-10-11,0
8,2015-10-18,9
9,2015-10-25,0
10,2015-11-01,0
11,2015-11-08,0
12,2015-11-15,0
13,2015-11-22,0
14,2015-11-29,9
15,2015-12-06,9
16,2015-12-13,10
17,2015-12-20,11
18,2015-12-27,0
19,2016-01-03,0
20,2016-01-10,10
21,2016-01-17,0
22,2016-01-24,10
23,2016-01-31,0
24,2016-02-07,0
25,2016-02-14,10
26,2016-02-21,19
27,2016-02-28,0
28,2016-03-06,0
29,2016-03-13,10
30,2016-03-20,0
31,2016-03-27,10
32,2016-04-03,10
33,2016-04-10,10
34,2016-04-17,10
35,2016-04-24,0
36,2016-05-01,20
37,2016-05-08,0
38,2016-05-15,10
39,2016-05-22,0
40,2016-05-29,0
41,2016-06-05,10
42,2016-06-12,13
43,2016-06-19,0
44,2016-06-26,10
45,2016-07-03,0
46,2016-07-10,16
47,2016-07-17,11
48,2016-07-24,10
49,2016-07-31,11
50,2016-08-07,11
51,2016-08-14,0
52,2016-08-21,11
53,2016-08-28,10
54,2016-09-04,0
55,2016-09-11,15
56,2016-09-18,10
57,2016-09-25,10
58,2016-10-02,10
59,2016-10-09,0
60,2016-10-16,10
61,2016-10-23,0
62,2016-10-30,15
63,2016-11-06,16
64,2016-11-13,29
65,2016-11-20,10
66,2016-11-27,9
67,2016-12-04,14
68,2016-12-11,10
69,2016-12-18,10
70,2016-12-25,26
71,2017-01-01,13
72,2017-01-08,9
73,2017-01-15,0
74,2017-01-22,9
75,2017-01-29,12
76,2017-02-05,36
77,2017-02-12,22
78,2017-02-19,15
79,2017-02-26,18
80,2017-03-05,15
81,2017-03-12,9
82,2017-03-19,18
83,2017-03-26,9
84,2017-04-02,27
85,2017-04-09,19
86,2017-04-16,30
87,2017-04-23,18
88,2017-04-30,27
89,2017-05-07,18
90,2017-05-14,16
91,2017-05-21,10
92,2017-05-28,29
93,2017-06-04,19
94,2017-06-11,10
95,2017-06-18,13
96,2017-06-25,15
97,2017-07-02,10
98,2017-07-09,10
99,2017-07-16,16
100,2017-07-23,10
101,2017-07-30,9
102,2017-08-06,14
103,2017-08-13,9
104,2017-08-20,14
105,2017-08-27,16
106,2017-09-03,9
107,2017-09-10,14
108,2017-09-17,23
109,2017-09-24,9
110,2017-10-01,18
111,2017-10-08,18
112,2017-10-15,15
113,2017-10-22,18
114,2017-10-29,14
115,2017-11-05,12
116,2017-11-12,18
117,2017-11-19,9
118,2017-11-26,9
119,2017-12-03,9
120,2017-12-10,9
121,2017-12-17,9
122,2017-12-24,13
123,2017-12-31,19
124,2018-01-07,14
125,2018-01-14,30
126,2018-01-21,9
127,2018-01-28,17
128,2018-02-04,17
129,2018-02-11,13
130,2018-02-18,17
131,2018-02-25,11
132,2018-03-04,8
133,2018-03-11,17
134,2018-03-18,0
135,2018-03-25,13
136,2018-04-01,13
137,2018-04-08,13
138,2018-04-15,0
139,2018-04-22,9
140,2018-04-29,9
141,2018-05-06,34
142,2018-05-13,9
143,2018-05-20,22
144,2018-05-27,17
145,2018-06-03,9
146,2018-06-10,8
147,2018-06-17,9
148,2018-06-24,21
149,2018-07-01,22
150,2018-07-08,13
151,2018-07-15,9
152,2018-07-22,20
153,2018-07-29,9
154,2018-08-05,14
155,2018-08-12,0
156,2018-08-19,13
157,2018-08-26,17
158,2018-09-02,20
159,2018-09-09,8
160,2018-09-16,12
161,2018-09-23,11
162,2018-09-30,25
163,2018-10-07,21
164,2018-10-14,20
165,2018-10-21,17
166,2018-10-28,9
167,2018-11-04,8
168,2018-11-11,20
169,2018-11-18,26
170,2018-11-25,0
171,2018-12-02,17
172,2018-12-09,13
173,2018-12-16,22
174,2018-12-23,19
175,2018-12-30,27
176,2019-01-06,8
177,2019-01-13,17
178,2019-01-20,0
179,2019-01-27,8
180,2019-02-03,8
181,2019-02-10,16
182,2019-02-17,16
183,2019-02-24,8
184,2019-03-03,8
185,2019-03-10,12
186,2019-03-17,13
187,2019-03-24,12
188,2019-03-31,0
189,2019-04-07,22
190,2019-04-14,12
191,2019-04-21,17
192,2019-04-28,17
193,2019-05-05,12
194,2019-05-12,14
195,2019-05-19,14
196,2019-05-26,8
197,2019-06-02,11
198,2019-06-09,8
199,2019-06-16,8
200,2019-06-23,11
201,2019-06-30,0
202,2019-07-07,8
203,2019-07-14,17
204,2019-07-21,17
205,2019-07-28,29
206,2019-08-04,23
207,2019-08-11,34
208,2019-08-18,21
209,2019-08-25,35
210,2019-09-01,21
211,2019-09-08,24
212,2019-09-15,31
213,2019-09-22,37
214,2019-09-29,23
215,2019-10-06,8
216,2019-10-13,13
217,2019-10-20,31
218,2019-10-27,27
219,2019-11-03,20
220,2019-11-10,20
221,2019-11-17,8
222,2019-11-24,8
223,2019-12-01,23
