,Date,Trend
0,2015-08-23,0
1,2015-08-30,0
2,2015-09-06,26
3,2015-09-13,26
4,2015-09-20,0
5,2015-09-27,0
6,2015-10-04,0
7,2015-10-11,0
8,2015-10-18,0
9,2015-10-25,0
10,2015-11-01,0
11,2015-11-08,25
12,2015-11-15,25
13,2015-11-22,0
14,2015-11-29,25
15,2015-12-06,0
16,2015-12-13,26
17,2015-12-20,0
18,2015-12-27,0
19,2016-01-03,0
20,2016-01-10,0
21,2016-01-17,0
22,2016-01-24,27
23,2016-01-31,0
24,2016-02-07,26
25,2016-02-14,0
26,2016-02-21,26
27,2016-02-28,26
28,2016-03-06,0
29,2016-03-13,0
30,2016-03-20,0
31,2016-03-27,27
32,2016-04-03,26
33,2016-04-10,26
34,2016-04-17,26
35,2016-04-24,26
36,2016-05-01,0
37,2016-05-08,27
38,2016-05-15,0
39,2016-05-22,27
40,2016-05-29,27
41,2016-06-05,0
42,2016-06-12,0
43,2016-06-19,0
44,2016-06-26,0
45,2016-07-03,29
46,2016-07-10,0
47,2016-07-17,29
48,2016-07-24,86
49,2016-07-31,29
50,2016-08-07,0
51,2016-08-14,0
52,2016-08-21,0
53,2016-08-28,28
54,2016-09-04,28
55,2016-09-11,0
56,2016-09-18,27
57,2016-09-25,54
58,2016-10-02,53
59,2016-10-09,27
60,2016-10-16,40
61,2016-10-23,27
62,2016-10-30,27
63,2016-11-06,26
64,2016-11-13,27
65,2016-11-20,0
66,2016-11-27,0
67,2016-12-04,25
68,2016-12-11,0
69,2016-12-18,55
70,2016-12-25,0
71,2017-01-01,0
72,2017-01-08,0
73,2017-01-15,25
74,2017-01-22,0
75,2017-01-29,0
76,2017-02-05,0
77,2017-02-12,49
78,2017-02-19,25
79,2017-02-26,24
80,2017-03-05,0
81,2017-03-12,0
82,2017-03-19,0
83,2017-03-26,25
84,2017-04-02,24
85,2017-04-09,25
86,2017-04-16,37
87,2017-04-23,0
88,2017-04-30,100
89,2017-05-07,24
90,2017-05-14,0
91,2017-05-21,26
92,2017-05-28,44
93,2017-06-04,26
94,2017-06-11,26
95,2017-06-18,38
96,2017-06-25,27
97,2017-07-02,0
98,2017-07-09,26
99,2017-07-16,0
100,2017-07-23,0
101,2017-07-30,25
102,2017-08-06,25
103,2017-08-13,26
104,2017-08-20,25
105,2017-08-27,0
106,2017-09-03,0
107,2017-09-10,0
108,2017-09-17,25
109,2017-09-24,25
110,2017-10-01,0
111,2017-10-08,0
112,2017-10-15,0
113,2017-10-22,25
114,2017-10-29,0
115,2017-11-05,0
116,2017-11-12,24
117,2017-11-19,24
118,2017-11-26,24
119,2017-12-03,0
120,2017-12-10,24
121,2017-12-17,0
122,2017-12-24,27
123,2017-12-31,0
124,2018-01-07,0
125,2018-01-14,23
126,2018-01-21,23
127,2018-01-28,23
128,2018-02-04,0
129,2018-02-11,0
130,2018-02-18,23
131,2018-02-25,46
132,2018-03-04,0
133,2018-03-11,0
134,2018-03-18,0
135,2018-03-25,0
136,2018-04-01,0
137,2018-04-08,23
138,2018-04-15,0
139,2018-04-22,23
140,2018-04-29,0
141,2018-05-06,0
142,2018-05-13,0
143,2018-05-20,0
144,2018-05-27,24
145,2018-06-03,0
146,2018-06-10,0
147,2018-06-17,0
148,2018-06-24,0
149,2018-07-01,0
150,2018-07-08,0
151,2018-07-15,0
152,2018-07-22,24
153,2018-07-29,0
154,2018-08-05,0
155,2018-08-12,23
156,2018-08-19,0
157,2018-08-26,0
158,2018-09-02,0
159,2018-09-09,0
160,2018-09-16,0
161,2018-09-23,23
162,2018-09-30,46
163,2018-10-07,23
164,2018-10-14,0
165,2018-10-21,23
166,2018-10-28,23
167,2018-11-04,0
168,2018-11-11,23
169,2018-11-18,0
170,2018-11-25,0
171,2018-12-02,0
172,2018-12-09,0
173,2018-12-16,24
174,2018-12-23,0
175,2018-12-30,25
176,2019-01-06,0
177,2019-01-13,22
178,2019-01-20,22
179,2019-01-27,0
180,2019-02-03,22
181,2019-02-10,0
182,2019-02-17,22
183,2019-02-24,22
184,2019-03-03,45
185,2019-03-10,22
186,2019-03-17,0
187,2019-03-24,23
188,2019-03-31,30
189,2019-04-07,56
190,2019-04-14,39
191,2019-04-21,23
192,2019-04-28,38
193,2019-05-05,30
194,2019-05-12,45
195,2019-05-19,22
196,2019-05-26,22
197,2019-06-02,22
198,2019-06-09,33
199,2019-06-16,23
200,2019-06-23,22
201,2019-06-30,23
202,2019-07-07,45
203,2019-07-14,57
204,2019-07-21,46
205,2019-07-28,23
206,2019-08-04,35
207,2019-08-11,23
208,2019-08-18,45
209,2019-08-25,88
210,2019-09-01,43
211,2019-09-08,21
212,2019-09-15,21
213,2019-09-22,50
214,2019-09-29,32
215,2019-10-06,64
216,2019-10-13,42
217,2019-10-20,35
218,2019-10-27,21
219,2019-11-03,42
220,2019-11-10,28
221,2019-11-17,21
222,2019-11-24,21
223,2019-12-01,31
