Date,Close,Open,Low,High,Volume,Trades
2001-03-31,2489.0,2489.0,2489.0,2489.0,775,1
2001-04-03,2450.0,2450.0,2450.0,2450.0,2188,4
2001-04-08,2451.0,2451.0,2451.0,2451.0,7055,2
2001-04-10,2450.0,2450.0,2450.0,2450.0,570,2
2001-04-11,2500.0,2499.0,2499.0,2500.0,7436,7
2001-04-14,2499.0,2499.0,2499.0,2500.0,2606,7
2001-04-17,2500.0,2497.0,2497.0,2500.0,4036,3
2001-04-18,2504.0,2504.0,2504.0,2504.0,788,1
2001-04-21,2508.0,2505.0,2505.0,2508.0,5936,4
2001-04-22,2511.0,2511.0,2511.0,2511.0,271,1
2001-04-23,2513.0,2513.0,2513.0,2513.0,2000,4
2001-04-25,2533.0,2531.0,2531.0,2533.0,1894,3
2001-04-28,2570.0,2534.0,2534.0,2570.0,2000,4
2001-04-30,2590.0,2590.0,2590.0,2590.0,7944,3
2001-05-01,2650.0,2600.0,2600.0,2650.0,3940,7
2001-05-02,2650.0,2650.0,2650.0,2650.0,616,1
2001-05-05,2700.0,2700.0,2700.0,2700.0,1852,4
2001-05-07,2800.0,2800.0,2800.0,2800.0,5000,4
2001-05-08,2800.0,2800.0,2800.0,2800.0,7182,6
2001-05-09,2800.0,2800.0,2800.0,2800.0,3818,3
2001-05-12,2800.0,2800.0,2800.0,2800.0,920,1
2001-05-15,2700.0,2700.0,2700.0,2700.0,4000,2
2001-06-17,2688.0,2600.0,2600.0,2688.0,6750,10
2001-06-18,2600.0,2600.0,2600.0,2600.0,7000,9
2001-06-19,2600.0,2550.0,2470.0,2600.0,26241,21
2001-06-23,2600.0,2599.0,2599.0,2600.0,10000,4
2001-06-24,2598.0,2598.0,2598.0,2598.0,1527,1
2001-06-27,2530.0,2596.0,2530.0,2596.0,2162,4
2001-07-08,2594.0,2487.0,2487.0,2595.0,20000,10
2001-07-14,2548.0,2559.0,2548.0,2559.0,1400,6
2001-08-19,2340.0,2340.0,2340.0,2340.0,818,1
2001-08-21,2340.0,2340.0,2340.0,2340.0,400,1
2001-08-29,2334.0,2334.0,2334.0,2334.0,700,3
2001-09-02,2300.0,2300.0,2300.0,2300.0,1000,2
2001-09-10,2290.0,2289.0,2289.0,2290.0,519,3
2001-09-11,2290.0,2290.0,2290.0,2290.0,922,2
2001-10-02,2230.0,2238.0,2230.0,2238.0,272,3
2001-10-08,2210.0,2209.0,2209.0,2210.0,648,3
2001-10-22,2166.0,2166.0,2166.0,2166.0,1954,2
2001-10-23,2100.0,2100.0,2100.0,2100.0,2046,1
2001-10-28,2087.0,2087.0,2087.0,2087.0,100,2
2001-10-30,2087.0,2087.0,2087.0,2087.0,15,1
2001-12-09,1983.0,1983.0,1983.0,1983.0,1500,2
2001-12-11,1884.0,1884.0,1884.0,1884.0,7938,5
2001-12-12,1884.0,1790.0,1790.0,1884.0,60035,20
2001-12-19,1978.0,1978.0,1978.0,1978.0,272,1
2001-12-22,2063.0,1983.0,1983.0,2063.0,44022,18
2001-12-23,2082.0,2082.0,2082.0,2082.0,878,1
2001-12-24,2086.0,2087.0,2086.0,2087.0,372,2
2001-12-25,2190.0,2190.0,2190.0,2190.0,1118,5
2001-12-29,2299.0,2299.0,2299.0,2299.0,1550,2
2001-12-30,2413.0,2413.0,2413.0,2413.0,30537,19
2001-12-31,2413.0,2414.0,2413.0,2415.0,13364,13
2002-01-01,2413.0,2413.0,2413.0,2414.0,9796,8
2002-01-02,2295.0,2350.0,2295.0,2350.0,1422,2
2002-01-05,2181.0,2181.0,2181.0,2190.0,1638,3
2002-01-06,2181.0,2181.0,2181.0,2181.0,10330,6
2002-01-07,2180.0,2181.0,2180.0,2181.0,1520,4
2002-01-08,2200.0,2200.0,2200.0,2202.0,21250,11
2002-01-12,2200.0,2200.0,2200.0,2200.0,3000,1
2002-01-13,2181.0,2200.0,2181.0,2200.0,3506,5
2002-01-14,2170.0,2181.0,2170.0,2181.0,5688,10
2002-01-15,2201.0,2171.0,2171.0,2202.0,10000,8
2002-01-16,2210.0,2210.0,2210.0,2210.0,1500,3
2002-01-19,2230.0,2230.0,2230.0,2230.0,6500,4
2002-01-20,2231.0,2231.0,2231.0,2232.0,5000,7
2002-01-21,2231.0,2232.0,2231.0,2232.0,2632,2
2002-01-22,2231.0,2231.0,2231.0,2231.0,721,1
2002-01-23,2240.0,2240.0,2238.0,2240.0,8500,9
2002-01-26,2230.0,2229.0,2229.0,2231.0,8098,5
2002-01-27,2210.0,2210.0,2210.0,2210.0,103,1
2002-01-28,2197.0,2197.0,2197.0,2197.0,2500,2
2002-01-29,2180.0,2186.0,2180.0,2187.0,6780,9
2002-02-10,2071.0,2071.0,2071.0,2071.0,2500,3
2002-02-12,2068.0,2068.0,2068.0,2068.0,4732,3
2002-02-13,2050.0,1970.0,1967.0,2050.0,27133,25
2002-02-16,2050.0,2048.0,2048.0,2050.0,22000,7
2002-02-18,2049.0,2050.0,2049.0,2050.0,8328,5
2002-02-19,2054.0,2052.0,2050.0,2054.0,24063,11
2002-02-20,2054.0,2052.0,2052.0,2054.0,2171,2
2002-02-24,2059.0,2059.0,2059.0,2059.0,1000,1
2002-02-25,2161.0,2100.0,2100.0,2161.0,10000,9
2002-02-26,2161.0,2149.0,2149.0,2161.0,2040,3
2002-02-27,2185.0,2185.0,2185.0,2185.0,800,1
2002-03-02,2166.0,2171.0,2165.0,2185.0,9000,7
2002-03-04,2165.0,2165.0,2165.0,2166.0,23000,9
