,Date,Trend
0,2015-08-23,10
1,2015-08-30,10
2,2015-09-06,5
3,2015-09-13,10
4,2015-09-20,5
5,2015-09-27,5
6,2015-10-04,10
7,2015-10-11,10
8,2015-10-18,5
9,2015-10-25,17
10,2015-11-01,5
11,2015-11-08,10
12,2015-11-15,7
13,2015-11-22,10
14,2015-11-29,10
15,2015-12-06,15
16,2015-12-13,10
17,2015-12-20,6
18,2015-12-27,20
19,2016-01-03,21
20,2016-01-10,23
21,2016-01-17,8
22,2016-01-24,8
23,2016-01-31,0
24,2016-02-07,13
25,2016-02-14,5
26,2016-02-21,13
27,2016-02-28,10
28,2016-03-06,18
29,2016-03-13,8
30,2016-03-20,5
31,2016-03-27,16
32,2016-04-03,15
33,2016-04-10,8
34,2016-04-17,15
35,2016-04-24,13
36,2016-05-01,16
37,2016-05-08,15
38,2016-05-15,13
39,2016-05-22,0
40,2016-05-29,5
41,2016-06-05,16
42,2016-06-12,8
43,2016-06-19,13
44,2016-06-26,19
45,2016-07-03,6
46,2016-07-10,11
47,2016-07-17,8
48,2016-07-24,0
49,2016-07-31,11
50,2016-08-07,11
51,2016-08-14,12
52,2016-08-21,17
53,2016-08-28,16
54,2016-09-04,22
55,2016-09-11,5
56,2016-09-18,11
57,2016-09-25,13
58,2016-10-02,16
59,2016-10-09,11
60,2016-10-16,10
61,2016-10-23,8
62,2016-10-30,13
63,2016-11-06,15
64,2016-11-13,13
65,2016-11-20,5
66,2016-11-27,12
67,2016-12-04,37
68,2016-12-11,25
69,2016-12-18,8
70,2016-12-25,11
71,2017-01-01,10
72,2017-01-08,17
73,2017-01-15,12
74,2017-01-22,24
75,2017-01-29,10
76,2017-02-05,19
77,2017-02-12,21
78,2017-02-19,14
79,2017-02-26,7
80,2017-03-05,9
81,2017-03-12,7
82,2017-03-19,10
83,2017-03-26,12
84,2017-04-02,7
85,2017-04-09,12
86,2017-04-16,14
87,2017-04-23,14
88,2017-04-30,14
89,2017-05-07,7
90,2017-05-14,8
91,2017-05-21,15
92,2017-05-28,15
93,2017-06-04,25
94,2017-06-11,5
95,2017-06-18,12
96,2017-06-25,8
97,2017-07-02,11
98,2017-07-09,5
99,2017-07-16,8
100,2017-07-23,8
