,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Feel
0,0,0,0,0,0,0,702022608062128128,702022608062128128,1456210207000,2016-02-23,10:20:07,430,2463165061,bourseiness,بورسینس,,رنج مثبت در بانک #پارسیان  http://goo.gl/fb/CNa7ls  #اقتصاد #بورس,[],['http://goo.gl/fb/CNa7ls'],[],0,0,0,"['#پارسیان', '#اقتصاد', '#بورس']",[],https://twitter.com/bourseiness/status/702022608062128128,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9460369348526
1,1,1,1,1,1,1,1008932108948000768,1008932108948000768,1529383134000,2018-06-19,09:08:54,430,986116312920453120,abandidgah,دیدگاه آبان,,"#پارسیان
بررسی #اطلاعیه 97/3/29
* بیمه پارسیان *
12 ماهه منتهی به 96/12/29 (حسابرسی نشده)مبلغ  216 ریال سود به ازای هر سهم محقق گردید.
3% افزایش سود  نسبت به سال مالی 95
درصد پوشش:46 درصد
#بورس",[],[],[],0,0,0,"['#پارسیان', '#اطلاعیه', '#بورس']",[],https://twitter.com/abandidgah/status/1008932108948000768,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9957499504089355
2,2,2,2,2,2,2,1008949783443136513,1008949783443136513,1529387348000,2018-06-19,10:19:08,430,986116312920453120,abandidgah,دیدگاه آبان,,"#پارسیان
#اطلاعیه 97/3/29
* بیمه پارسیان *
افشای اطلاعات بااهمیت - (ساير اطلاعات بااهميت - گروه ب) منتهی به سال مالی ۱۳۹۷/۱۲/۲۹
#بورس  pic.twitter.com/PiMEFF6xy3",[],[],['https://pbs.twimg.com/media/DgCCcuvUwAIIrsz.jpg'],0,0,0,"['#پارسیان', '#اطلاعیه', '#بورس']",[],https://twitter.com/abandidgah/status/1008949783443136513,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9966410398483276
3,3,3,3,3,3,3,1010814618325770240,1010814618325770240,1529831959000,2018-06-24,13:49:19,430,986116312920453120,abandidgah,دیدگاه آبان,,"#پارسیان
بررسی #اطلاعیه 97/04/03
*بیمه پارسیان*
آگهی دعوت به مجمع عمومی عادی سالیانه 
جهت تصویب صورت‌های مالی سال (دوره) مالی منتهی به 1396/12/29
در ساعت 09:00 روز چهارشنبه مورخ 1397/04/13 
درمحل سالن همايش هاي نيايش واقع در تهران ،سعادت آباد ،ميدان کاج ،خيابان نهم ،پلاک 14
#بورس",[],[],[],0,0,0,"['#پارسیان', '#اطلاعیه', '#بورس']",[],https://twitter.com/abandidgah/status/1010814618325770240,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9974763989448548
4,4,4,4,4,4,4,1013662038709579776,1013662038709579776,1530510837000,2018-07-02,10:23:57,430,986116312920453120,abandidgah,دیدگاه آبان,,"* توقف نماد * 
#شفارس #پاسا #پارسيان
جهت برگزاري مجامع عادي ساليانه به منظور تصويب صورت هاي مالي
#بورس",[],[],[],0,0,0,"['#شفارس', '#پاسا', '#پارسيان', '#بورس']",[],https://twitter.com/abandidgah/status/1013662038709579776,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.981037139892578
5,5,5,5,5,5,5,1053561639557971968,1053561639557971968,1540023643000,2018-10-20,11:50:43,430,986116312920453120,abandidgah,دیدگاه آبان,,"در گروه بیمه نمادهای #پارسیان، #ما، #اتکام و #آسیا با صف خرید مواجهند.
#بورس",[],[],[],0,0,0,"['#پارسیان', '#ما', '#اتکام', '#آسیا', '#بورس']",[],https://twitter.com/abandidgah/status/1053561639557971968,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9930282235145568
6,6,6,6,6,6,6,1106827909983961088,1106827909983961088,1552723312000,2019-03-16,11:31:52,430,986116312920453120,abandidgah,دیدگاه آبان,,"در گروه بیمه که امروز نماد جدیدی را به بازار عرضه میکند نیز معاملات مثبت است و #البرز، #پارسیان، #اتکام و #اتکای از نمادهای مورد توجهند و #بساما تک نماد مثبت گروه می باشد.
#بورس",[],[],[],0,0,0,"['#البرز', '#پارسیان', '#اتکام', '#اتکای', '#بساما', '#بورس']",[],https://twitter.com/abandidgah/status/1106827909983961088,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.857395350933075
7,7,7,7,7,7,7,1137578478684053504,1137578478684053504,1560054819000,2019-06-09,09:03:39,430,1132259956940578816,farabifarabixo,Farabi,,"#برترین_تقاضا در پيش گشايش یکشنبه ۱۳۹۸/۰۳/۱۹ پرحجم ترین صفوف خرید در پیش گشایش امروز به نمادهای #خمهر، #ونیکی، #ختوقا، #غمینو، #پارسیان، #مرقام، #ورنا، #کترام اختصاص دارد؛ نمادهای #خکار، #دسبحا، #خچرخش، #خگستر، #غپاک و #خوساز نیز با تقاضای خوبی همراهند.
#بورس #بازار_بورس",[],[],[],0,0,1,"['#برترین_تقاضا', '#خمهر', '#ونیکی', '#ختوقا', '#غمینو', '#پارسیان', '#مرقام', '#ورنا', '#کترام', '#خکار', '#دسبحا', '#خچرخش', '#خگستر', '#غپاک', '#خوساز', '#بورس', '#بازار_بورس']",[],https://twitter.com/farabifarabixo/status/1137578478684053504,False,,0,,,,,,,"[{'user_id': '1132259956940578816', 'username': 'farabifarabixo'}]",,,,,0.9485462307929992
8,8,8,8,8,8,8,1137578609298685952,1137578609298685952,1560054850000,2019-06-09,09:04:10,430,986116312920453120,abandidgah,دیدگاه آبان,,"صف های خرید
#خمهر 69.5 میلیون سهم
#ختوقا 42.8 میلیون سهم
#ورنا 32.6 میلیون سهم
#ونیکی 25.3 میلیون سهم
#پارسیان 22.4 میلیون سهم
#بورس",[],[],[],0,0,0,"['#خمهر', '#ختوقا', '#ورنا', '#ونیکی', '#پارسیان', '#بورس']",[],https://twitter.com/abandidgah/status/1137578609298685952,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.4797797799110413
9,9,9,9,9,9,9,1137979252400316416,1137979252400316416,1560150371000,2019-06-10,11:36:11,430,986116312920453120,abandidgah,دیدگاه آبان,,"در گروه بیمه نیز معاملات پرتقاضایی در جریان است و نمادهای #ودی، #اتکام، #ما، #نوین، #دانا، #اتکای و #پارسیان در سقف مجاز تقاضا دارند.
#بورس",[],[],[],0,0,0,"['#ودی', '#اتکام', '#ما', '#نوین', '#دانا', '#اتکای', '#پارسیان', '#بورس']",[],https://twitter.com/abandidgah/status/1137979252400316416,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9962143301963806
