Date,Close,Open,Low,High,Volume,Trades
2001-05-26,4078.0,4078.0,4078.0,4078.0,1590,2
2001-05-29,4079.0,4079.0,4079.0,4079.0,440,3
2001-06-13,4079.0,4079.0,4079.0,4079.0,50,1
2001-06-19,4079.0,4079.0,4078.0,4079.0,1264,3
2001-08-05,4450.0,4450.0,4450.0,4450.0,500,1
2001-08-15,4500.0,4500.0,4500.0,4500.0,1351,2
2001-08-19,4725.0,4725.0,4725.0,4725.0,1000,1
2001-11-03,4722.0,4722.0,4722.0,4722.0,540,1
2002-07-01,4722.0,4722.0,2722.0,4722.0,440400,48
2002-07-02,4721.0,4721.0,4721.0,4721.0,2000,2
2002-07-06,4719.0,4719.0,4719.0,4719.0,540,1
2002-08-10,4700.0,4700.0,4700.0,4700.0,150,3
2002-09-28,4690.0,4690.0,4690.0,4690.0,232,1
2002-11-04,4640.0,4656.0,4640.0,4656.0,25000,3
2002-11-05,4408.0,4408.0,4408.0,4408.0,20000,2
2002-11-06,4400.0,4400.0,4400.0,4400.0,220,1
2002-12-10,4180.0,4180.0,4180.0,4180.0,1000,1
2002-12-17,4180.0,4180.0,4180.0,4180.0,2075,2
2002-12-18,4180.0,4180.0,4180.0,4180.0,5000,1
2003-01-07,4240.0,4180.0,4180.0,4240.0,1708,2
2003-01-08,4240.0,4240.0,4240.0,4240.0,291,1
2003-03-17,4240.0,4240.0,4240.0,4240.0,689,1
2003-03-18,4408.0,4408.0,4408.0,4408.0,2000,1
2003-03-19,4408.0,4408.0,4408.0,4408.0,150000,1
2003-03-26,4408.0,4188.0,4188.0,4408.0,150000,16
2003-04-05,4628.0,4628.0,4628.0,4628.0,100100,2
2003-04-07,4859.0,4859.0,4859.0,4859.0,6291,2
2003-04-09,5101.0,5101.0,5101.0,5101.0,5642,2
2003-04-14,5100.0,5100.0,5100.0,5100.0,5400,1
2003-05-03,5100.0,5100.0,5100.0,5100.0,1265,1
2003-05-11,5100.0,5100.0,5100.0,5100.0,3735,1
2003-06-25,4845.0,4845.0,4845.0,4845.0,183,1
2003-11-29,4900.0,4900.0,4900.0,4900.0,1000,1
2003-11-30,4900.0,4900.0,4900.0,4900.0,148100,1
2003-12-02,4900.0,4900.0,4900.0,4900.0,148100,2
2003-12-03,4900.0,4900.0,4900.0,4900.0,100,1
2003-12-07,4900.0,4900.0,4900.0,4900.0,500,1
2003-12-08,4900.0,4900.0,4900.0,4900.0,150000,2
2003-12-16,4900.0,4900.0,4900.0,4900.0,149000,2
2003-12-23,4900.0,4900.0,4900.0,4900.0,500,1
2003-12-30,4900.0,4900.0,4900.0,4900.0,150000,2
2004-01-04,4897.0,4897.0,4897.0,4897.0,150000,2
2004-01-10,4890.0,4890.0,4890.0,4890.0,150000,2
2004-01-11,4894.0,4896.0,4894.0,4897.0,1291,3
2004-01-13,4850.0,4850.0,4850.0,4850.0,150000,2
2004-01-17,4900.0,4900.0,4900.0,4900.0,150000,2
2004-01-20,4900.0,4900.0,4900.0,4900.0,150000,2
2004-01-24,4919.0,4900.0,4900.0,4920.0,133464,7
2004-03-07,4919.0,4919.0,4919.0,4919.0,500,1
2004-07-11,2250.0,2250.0,2250.0,2250.0,1190,2
2004-07-13,2250.0,2250.0,2250.0,2250.0,100,1
2004-08-17,2249.0,2248.0,2248.0,2249.0,583,2
2004-09-04,2247.0,2246.0,2246.0,2247.0,908,2
2004-09-18,2246.0,2246.0,2246.0,2248.0,1928,5
2004-09-19,2246.0,2248.0,2246.0,2250.0,530,3
2004-09-25,2250.0,2250.0,2250.0,2250.0,8967,6
2004-10-12,2250.0,2251.0,2250.0,2251.0,5307,2
2004-10-25,2249.0,2249.0,2249.0,2249.0,1010,1
2004-10-26,2250.0,2250.0,2250.0,2267.0,361,3
2004-12-06,2380.0,2380.0,2380.0,2380.0,351,1
2004-12-12,2499.0,2499.0,2499.0,2499.0,8000,1
2004-12-13,2623.0,2623.0,2623.0,2623.0,8000,3
2004-12-14,2754.0,2754.0,2754.0,2754.0,8000,3
2004-12-19,2891.0,2891.0,2891.0,2891.0,8000,1
2004-12-20,3035.0,3035.0,3035.0,3035.0,29990,11
2004-12-28,3186.0,3186.0,3186.0,3186.0,8000,3
2004-12-29,3319.0,3345.0,3319.0,3345.0,6740,4
2005-01-01,3360.0,3484.0,3360.0,3484.0,2010,2
2005-02-08,4026.0,4000.0,4000.0,4400.0,10575,13
2005-02-09,4050.0,4002.0,4002.0,4227.0,1056,4
2005-02-12,4029.0,4050.0,4004.0,4249.0,12836,11
2005-02-13,4037.0,4050.0,4037.0,4050.0,3257,4
2005-02-14,4092.0,3902.0,3900.0,4238.0,33311,14
2005-02-15,4125.0,4151.0,4125.0,4296.0,3777,6
2005-02-22,4125.0,4125.0,4125.0,4125.0,240,1
2005-02-23,4098.0,3919.0,3919.0,4098.0,1025,3
2005-02-26,4187.0,4107.0,4107.0,4300.0,6485,6
2005-02-28,4234.0,4260.0,4234.0,4396.0,3310,3
2005-03-02,4312.0,4444.0,4312.0,4445.0,3010,5
2005-03-05,4505.0,4527.0,4505.0,4527.0,7266,7
2005-03-06,4505.0,4505.0,4505.0,4505.0,103,1
2005-03-07,4523.0,4552.0,4523.0,4552.0,3310,3
2005-03-09,4604.0,4690.0,4604.0,4748.0,3026,5
2005-03-12,4623.0,4807.0,4623.0,4809.0,764,3
2005-03-13,4629.0,4854.0,4629.0,4854.0,231,2
2005-03-15,4773.0,4860.0,4773.0,4860.0,5010,4
2005-03-16,4914.0,5000.0,4914.0,5000.0,5010,2
2005-03-28,4918.0,4951.0,4918.0,4951.0,1010,2
2005-03-30,5019.0,5163.0,5019.0,5163.0,3317,5
2005-04-04,5199.0,5260.0,5199.0,5260.0,6010,5
2005-04-06,5269.0,5450.0,5269.0,5450.0,2270,3
2005-04-10,5280.0,5532.0,5280.0,5532.0,368,2
2005-04-11,5356.0,5544.0,5293.0,5544.0,4777,5
2005-04-13,5503.0,5620.0,5503.0,5621.0,4482,3
2005-04-17,5547.0,5600.0,5547.0,5750.0,2110,5
2005-04-19,5564.0,5610.0,5564.0,5610.0,2245,4
2005-04-20,5571.0,5600.0,5571.0,5600.0,1619,3
2005-04-23,5728.0,5845.0,5728.0,5845.0,4610,8
2005-04-24,5752.0,5950.0,5752.0,5950.0,1128,6
2005-04-25,5753.0,5797.0,5753.0,5797.0,210,2
2005-04-27,5758.0,5900.0,5750.0,5900.0,1310,3
2005-04-30,5659.0,5700.0,5500.0,5700.0,3219,9
2005-05-01,5656.0,5488.0,5488.0,5656.0,150,2
2005-05-02,5601.0,5437.0,5437.0,5601.0,2010,4
2005-05-03,5321.0,5322.0,5321.0,5322.0,15010,13
2005-05-04,5064.0,5055.0,5055.0,5199.0,38084,21
2005-05-07,5017.0,4825.0,4813.0,5017.0,3247,7
2005-05-08,5103.0,5017.0,5016.0,5210.0,21160,22
2005-05-09,5200.0,5200.0,5200.0,5200.0,9920,6
2005-05-10,5278.0,5198.0,5198.0,5380.0,37082,16
2005-05-11,5435.0,5410.0,5410.0,5449.0,7997,6
2005-05-14,5436.0,5706.0,5436.0,5706.0,60,2
2005-05-15,5291.0,5435.0,5165.0,5439.0,15755,14
2005-05-16,5167.0,5200.0,5165.0,5200.0,9871,11
2005-06-14,4668.0,4800.0,4003.0,4800.0,21728,12
2005-06-15,4901.0,4901.0,4901.0,4901.0,17200,5
2005-06-18,5073.0,5146.0,5073.0,5146.0,5645,5
2005-06-19,5326.0,5326.0,5326.0,5326.0,8000,2
2005-06-20,5592.0,5592.0,5592.0,5592.0,37609,22
2005-06-21,5601.0,5871.0,5601.0,5871.0,270,3
2005-06-22,5881.0,5881.0,5881.0,5881.0,8400,6
2005-06-25,6173.0,6175.0,6000.0,6175.0,49616,38
2005-06-26,6330.0,6170.0,6170.0,6481.0,10591,8
2005-06-28,6646.0,6646.0,6646.0,6646.0,10951,4
2005-06-29,6677.0,6978.0,6677.0,6978.0,770,6
2005-07-02,6860.0,7010.0,6860.0,7010.0,4410,6
2005-07-03,7083.0,7203.0,7083.0,7203.0,5232,8
