Date,Close,Open,Low,High,Volume,Trades
2004-09-28,6805.0,7600.0,3750.0,7600.0,2891838,2623
2004-09-29,7145.0,7145.0,7145.0,7145.0,8191000,2537
2004-10-02,7502.0,7502.0,7502.0,7502.0,4950000,1705
2004-10-03,7877.0,7877.0,7877.0,7877.0,4950000,1482
2004-10-04,8270.0,8270.0,8270.0,8270.0,4977970,1359
2004-10-05,8683.0,8683.0,8683.0,8683.0,5068591,1175
2004-10-06,9117.0,9117.0,9117.0,9117.0,9339418,2533
2004-10-09,9078.0,9050.0,8684.0,9401.0,2179143,970
2004-10-10,8744.0,8975.0,8625.0,8979.0,1024731,550
2004-10-11,8893.0,8687.0,8687.0,9180.0,854012,373
2004-10-12,9086.0,9139.0,8947.0,9299.0,5255660,270
2004-10-13,9171.0,9100.0,9100.0,9249.0,408559,188
2004-10-16,9016.0,9100.0,8902.0,9140.0,356611,141
2004-10-17,8889.0,8900.0,8702.0,9000.0,377693,183
2004-10-18,8698.0,8744.0,8650.0,8800.0,403597,152
2004-10-19,8504.0,8677.0,8380.0,8677.0,343789,138
2004-10-20,8233.0,8280.0,8079.0,8400.0,389276,154
2004-10-23,8551.0,8233.0,8233.0,8644.0,308985,117
2004-10-24,8496.0,8552.0,8200.0,8670.0,160585,56
2004-10-25,8504.0,8600.0,8410.0,8601.0,157712,80
2004-10-26,8414.0,8499.0,8350.0,8499.0,273066,100
2004-10-27,8291.0,8414.0,8215.0,8414.0,819524,129
2004-10-30,7985.0,8201.0,7877.0,8201.0,396706,134
2004-10-31,7672.0,7894.0,7590.0,7895.0,197880,81
2004-11-01,7678.0,7520.0,7500.0,8055.0,100169,44
2004-11-02,7717.0,7741.0,7700.0,8061.0,4989977,320
2004-11-03,8101.0,8102.0,8099.0,8102.0,1103545,220
2004-11-06,8496.0,8505.0,8360.0,8506.0,1666388,286
2004-11-07,8797.0,8790.0,8510.0,8920.0,735137,173
2004-11-08,8567.0,8608.0,8500.0,8700.0,549789,240
2004-11-09,8606.0,8559.0,8499.0,8740.0,455203,206
2004-11-10,8876.0,8849.0,8700.0,9000.0,351836,170
2004-11-13,8572.0,8867.0,8451.0,8867.0,274408,142
2004-11-15,8986.0,9000.0,8600.0,9000.0,837991,208
2004-11-16,8945.0,9005.0,8810.0,9007.0,357131,153
