Date,Close,Open,Low,High,Volume,Trades
2015-04-07,4450.0,4450.0,4450.0,4450.0,70000000,24252
2015-04-08,4552.0,4628.0,4471.0,4628.0,28042309,23839
2015-04-11,4449.0,4461.0,4410.0,4489.0,12083331,8166
2015-04-12,4446.0,4400.0,4330.0,4451.0,12013649,7412
2015-04-13,4446.0,4367.0,4367.0,4451.0,6041985,3772
2015-04-14,4444.0,4385.0,4382.0,4451.0,2967364,2231
2015-04-15,4547.0,4450.0,4450.0,4621.0,5727661,4274
2015-04-18,4697.0,4650.0,4624.0,4728.0,8993075,5808
2015-04-19,4613.0,4710.0,4510.0,4850.0,3326139,1951
2015-04-20,4443.0,4454.0,4429.0,4490.0,1390872,1174
2015-04-21,4390.0,4429.0,4351.0,4452.0,1123898,616
2015-04-22,4419.0,4400.0,4392.0,4449.0,1174475,650
2015-04-25,4372.0,4425.0,4350.0,4425.0,554609,369
2015-04-26,4343.0,4340.0,4310.0,4400.0,684698,443
2015-04-27,4277.0,4301.0,4210.0,4343.0,845579,476
2015-04-28,4146.0,4180.0,4106.0,4250.0,1864663,1370
2015-04-29,4136.0,4131.0,4080.0,4189.0,559636,431
2015-05-03,4135.0,4078.0,4002.0,4199.0,967234,616
2015-05-04,4162.0,4050.0,4050.0,4180.0,759112,2054
2015-05-05,4220.0,4162.0,4132.0,4252.0,597812,1266
2015-05-06,4181.0,4157.0,4052.0,4221.0,1166866,2673
2015-05-09,4182.0,4140.0,4140.0,4210.0,720757,3781
2015-05-10,4255.0,4110.0,4110.0,4310.0,1038006,4467
2015-05-11,4287.0,4255.0,4255.0,4350.0,408223,296
2015-05-12,4379.0,4346.0,4330.0,4400.0,658741,489
2015-05-13,4424.0,4390.0,4390.0,4430.0,11698301,606
2015-05-17,4440.0,4392.0,4392.0,4450.0,3097466,1975
2015-05-18,4400.0,4400.0,4400.0,4407.0,297906,1408
2015-05-19,4404.0,4400.0,4400.0,4411.0,582204,329
2015-05-20,4388.0,4400.0,4320.0,4410.0,1069118,2499
2015-05-30,3497.0,3508.0,3470.0,3508.0,80167,56
2015-05-31,3413.0,3500.0,3323.0,3501.0,443935,198
2015-06-01,3287.0,3250.0,3243.0,3300.0,194010,94
2015-06-02,3251.0,3201.0,3150.0,3347.0,137109,105
2015-06-06,3238.0,3154.0,3154.0,3240.0,48528,38
2015-06-07,3214.0,3180.0,3110.0,3270.0,62995,63
2015-06-08,3145.0,3101.0,3055.0,3102.0,124606,67
2015-06-09,2994.0,3070.0,2988.0,3070.0,322105,81
2015-06-10,2988.0,3040.0,2902.0,3040.0,89322,60
2015-06-13,2978.0,2965.0,2851.0,3000.0,41883,36
2015-06-14,2952.0,2950.0,2912.0,2950.0,133218,53
2015-06-15,2934.0,2939.0,2855.0,2939.0,61163,40
2015-06-16,2904.0,2850.0,2848.0,2950.0,140266,61
2015-06-17,2966.0,2850.0,2850.0,3013.0,183453,60
2015-06-20,3092.0,3112.0,3070.0,3112.0,285015,86
2015-06-21,3199.0,3136.0,3135.0,3239.0,433356,138
2015-06-22,3337.0,3330.0,3310.0,3358.0,268345,140
2015-06-23,3464.0,3489.0,3358.0,3489.0,266298,113
2015-06-24,3440.0,3464.0,3291.0,3478.0,254777,195
2015-06-27,3555.0,3476.0,3450.0,3570.0,2224538,153
2015-06-28,3478.0,3381.0,3378.0,3381.0,113492,21
2015-06-29,3449.0,3305.0,3305.0,3399.0,49310,43
2015-06-30,3349.0,3280.0,3280.0,3379.0,204944,67
2015-07-01,3187.0,3186.0,3182.0,3210.0,267004,98
2015-07-04,3137.0,3180.0,3072.0,3190.0,397806,155
2015-07-05,3079.0,3080.0,3040.0,3160.0,200233,65
2015-07-06,3079.0,3061.0,3061.0,3110.0,119329,80
2015-07-07,3098.0,3121.0,3080.0,3160.0,165519,104
2015-07-11,3140.0,3052.0,3052.0,3200.0,204291,86
2015-07-12,3228.0,3270.0,3250.0,3297.0,147562,93
2015-07-13,3330.0,3389.0,3389.0,3389.0,163950,61
2015-07-14,3446.0,3390.0,3211.0,3496.0,420555,162
2015-07-15,3400.0,3352.0,3290.0,3389.0,103219,68
2015-07-20,3364.0,3271.0,3230.0,3315.0,65177,44
2015-07-21,3271.0,3200.0,3196.0,3299.0,146008,33
2015-07-22,3256.0,3130.0,3130.0,3249.0,63240,41
2015-07-25,3160.0,3140.0,3100.0,3164.0,216557,57
2015-07-26,3151.0,3100.0,3100.0,3170.0,55522,33
2015-07-27,3138.0,3016.0,3015.0,3144.0,33500,19
2015-07-28,3133.0,3040.0,3040.0,3155.0,21158,26
2015-07-29,3154.0,3175.0,3120.0,3250.0,119062,62
2015-08-01,3137.0,3100.0,3100.0,3160.0,388941,72
