Date,Close,Open,Low,High,Volume,Trades
2001-03-26,8999.0,8998.0,8998.0,8999.0,93,2
2001-03-27,9001.0,9002.0,9000.0,9002.0,4962,6
2001-03-28,9099.0,9099.0,9005.0,9099.0,1479,4
2001-03-31,9150.0,9098.0,9098.0,9150.0,12162,19
2001-04-03,9200.0,9200.0,9200.0,9200.0,4000,1
2001-04-07,9200.0,9200.0,9200.0,9200.0,1391,1
2001-04-08,9300.0,9203.0,9203.0,9364.0,9497,18
2001-04-09,9300.0,9300.0,9299.0,9301.0,25462,36
2001-04-10,9310.0,9301.0,9300.0,9310.0,13457,27
2001-04-11,9363.0,9311.0,9311.0,9363.0,6349,16
2001-05-01,8000.0,8000.0,8000.0,8000.0,1000,1
2001-05-02,8014.0,8011.0,8001.0,8020.0,9148,9
2001-05-05,8149.0,8016.0,8016.0,8149.0,7519,11
2001-05-06,8512.0,8300.0,8200.0,8512.0,11043,23
2001-05-07,8931.0,8515.0,8515.0,8931.0,20400,23
2001-05-08,9377.0,8931.0,8931.0,9377.0,11436,13
2001-05-09,9631.0,9820.0,9550.0,9820.0,9727,19
2001-05-12,9700.0,9700.0,9700.0,9730.0,6633,20
2001-05-13,9749.0,9700.0,9700.0,9749.0,4568,12
2001-05-15,9752.0,9751.0,9749.0,9760.0,5344,12
2001-05-16,9812.0,9800.0,9758.0,9813.0,6092,16
2001-05-19,10000.0,9812.0,9812.0,10000.0,9174,23
2001-05-20,10200.0,10000.0,10000.0,10200.0,9191,16
2001-05-21,10206.0,10200.0,10200.0,10300.0,5039,15
2001-05-23,10213.0,10207.0,10207.0,10213.0,1365,8
2001-05-26,10213.0,10213.0,10210.0,10213.0,5255,11
2001-05-27,10100.0,10100.0,10100.0,10100.0,18791,15
2001-05-28,10100.0,10100.0,10100.0,10100.0,5000,8
2001-05-29,9998.0,9999.0,9903.0,9999.0,2684,3
2001-05-30,9989.0,9989.0,9989.0,9990.0,1348,5
2001-06-02,9950.0,9970.0,9950.0,9970.0,4888,3
2001-06-03,9600.0,9701.0,9599.0,9750.0,6877,19
2001-06-06,9580.0,9580.0,9580.0,9600.0,3200,7
2001-06-12,9300.0,9400.0,9290.0,9400.0,8320,40
2001-06-13,9100.0,9250.0,9100.0,9250.0,7902,17
2001-06-16,8997.0,9085.0,8996.0,9085.0,4100,9
2001-06-17,8995.0,8895.0,8810.0,8995.0,15915,43
2001-06-18,8882.0,8880.0,8880.0,8888.0,18916,59
2001-06-19,8900.0,8920.0,8882.0,8926.0,9214,17
2001-06-20,8900.0,8900.0,8899.0,8901.0,11819,33
2001-06-23,9006.0,8924.0,8900.0,9006.0,11173,22
2001-06-24,9203.0,9083.0,9016.0,9203.0,9309,23
2001-06-25,9300.0,9203.0,9203.0,9300.0,5494,15
2001-06-26,9302.0,9300.0,9300.0,9306.0,6065,24
2001-06-27,9301.0,9301.0,9294.0,9301.0,4075,22
2001-06-30,9311.0,9301.0,9301.0,9311.0,2356,14
2001-07-01,9309.0,9311.0,9300.0,9311.0,15530,21
2001-07-02,9301.0,9300.0,9300.0,9310.0,8476,28
2001-07-03,9304.0,9300.0,9300.0,9304.0,2658,16
2001-07-04,9301.0,9303.0,9300.0,9304.0,5918,17
2001-07-07,9290.0,9300.0,9290.0,9300.0,1649,9
2001-07-08,9279.0,9275.0,9270.0,9280.0,4447,23
2001-07-09,9280.0,9280.0,9280.0,9280.0,673,5
2001-07-10,9000.0,9000.0,9000.0,9000.0,1275,9
2001-07-11,8986.0,8980.0,8972.0,8986.0,6867,14
2001-07-14,8986.0,8980.0,8980.0,8986.0,2440,15
2001-07-15,8986.0,8986.0,8986.0,9000.0,5866,13
2001-07-16,8901.0,8950.0,8900.0,8986.0,2666,14
2001-07-17,9001.0,8905.0,8905.0,9001.0,4269,8
2001-07-18,9000.0,9000.0,9000.0,9000.0,600,5
