Date,Close,Open,Low,High,Volume,Trades
2008-05-18,2500.0,2500.0,2500.0,2500.0,118668000,4493
2008-05-19,2575.0,2575.0,2575.0,2575.0,3029575,444
2008-05-20,2652.0,2652.0,2652.0,2652.0,6306240,758
2008-05-21,2666.0,2731.0,2666.0,2731.0,358285,76
2008-05-24,2679.0,2745.0,2679.0,2745.0,335510,76
2008-05-25,2696.0,2759.0,2696.0,2759.0,428253,107
2008-05-26,2705.0,2776.0,2705.0,2776.0,232680,51
2008-05-27,2717.0,2786.0,2717.0,2786.0,296200,53
2008-05-28,2731.0,2798.0,2731.0,2798.0,352893,91
2008-05-31,2741.0,2812.0,2741.0,2812.0,239059,62
2008-06-01,2823.0,2823.0,2823.0,2823.0,2221234,337
2008-06-02,2907.0,2907.0,2907.0,2907.0,2489701,303
2008-06-08,2941.0,2994.0,2941.0,2994.0,783049,101
2008-06-09,2960.0,3029.0,2960.0,3029.0,441460,70
2008-06-10,3003.0,3048.0,3003.0,3048.0,967536,120
2008-06-11,3033.0,3093.0,3033.0,3093.0,659750,91
2008-06-14,3052.0,3123.0,3052.0,3123.0,421405,85
2008-06-15,3070.0,3143.0,3070.0,3143.0,386610,80
2008-06-16,3085.0,3162.0,3085.0,3162.0,335060,75
2008-06-17,3107.0,3177.0,3107.0,3177.0,484064,102
2008-06-18,3168.0,3200.0,3168.0,3200.0,1310848,182
2008-06-21,3195.0,3263.0,3195.0,3263.0,576439,108
2008-06-22,3230.0,3290.0,3230.0,3290.0,734333,128
2008-06-23,3238.0,3326.0,3238.0,3326.0,177200,39
2008-06-24,3250.0,3335.0,3250.0,3335.0,250597,41
2008-07-05,5098.0,4644.0,4000.0,5569.0,27072882,4575
2008-07-06,5111.0,5250.0,5111.0,5250.0,176565,63
2008-07-07,5125.0,5264.0,4958.0,5264.0,13758187,2519
2008-07-08,5271.0,5278.0,5150.0,5278.0,13663515,2777
2008-07-09,5131.0,5280.0,5113.0,5369.0,11165645,1871
2008-07-12,4985.0,5110.0,4978.0,5130.0,5654954,1118
2008-07-13,5070.0,5129.0,5070.0,5134.0,1171493,301
2008-07-14,5143.0,5222.0,5143.0,5222.0,954980,240
2008-07-15,5174.0,5297.0,5174.0,5297.0,403259,143
2008-07-19,5185.0,5329.0,5185.0,5329.0,143534,62
2008-07-20,5239.0,5340.0,5239.0,5340.0,698927,277
2008-07-21,5395.0,5396.0,5340.0,5396.0,11619036,2288
2008-07-22,5401.0,5556.0,5401.0,5556.0,70890,38
2008-07-23,5405.0,5563.0,5405.0,5563.0,55010,24
2008-07-26,5511.0,5567.0,5511.0,5567.0,1302843,379
2008-07-27,5520.0,5676.0,5520.0,5676.0,113108,53
2008-07-28,5529.0,5685.0,5529.0,5685.0,114429,57
2008-07-29,5535.0,5694.0,5535.0,5694.0,72204,36
2008-08-02,5544.0,5701.0,5544.0,5701.0,109906,55
2008-08-03,5607.0,5710.0,5607.0,5710.0,757155,245
2008-08-04,5741.0,5607.0,5607.0,5775.0,6971431,1665
2008-08-05,5881.0,5913.0,5682.0,5913.0,13011759,2841
2008-08-06,5708.0,5760.0,5705.0,5822.0,10647701,2088
2008-08-09,5596.0,5603.0,5537.0,5830.0,5168193,998
2008-08-25,6338.0,6450.0,6131.0,6598.0,7284331,1764
2008-08-26,6509.0,6300.0,6288.0,6550.0,2784951,704
2008-08-27,6563.0,6704.0,6563.0,6704.0,558558,178
2008-08-30,6691.0,6690.0,6520.0,6759.0,4214985,1265
2008-08-31,6688.0,6491.0,6491.0,6688.0,31261,25
2008-09-01,6490.0,6488.0,6488.0,6682.0,8945953,1618
2008-09-02,6523.0,6490.0,1750.0,6600.0,125252349,714
2008-09-03,6702.0,6716.0,6545.0,6718.0,3883037,907
2008-09-06,6609.0,6718.0,6501.0,6881.0,1788527,494
2008-09-07,6596.0,6420.0,6411.0,6596.0,132084,41
2008-09-08,6399.0,6399.0,6399.0,6399.0,2488742,367
2008-09-09,6229.0,6208.0,6208.0,6399.0,1787944,409
2008-09-10,6229.0,6043.0,6043.0,6229.0,2524,4
2008-09-21,5312.0,5980.0,5085.0,6042.0,7664921,1707
2008-09-23,5215.0,5153.0,5153.0,5449.0,4971750,847
2008-09-24,5339.0,5371.0,5153.0,5371.0,1608133,368
2008-09-27,5276.0,5390.0,5181.0,5400.0,1572084,299
2008-09-28,5250.0,5248.0,5130.0,5399.0,921605,194
2008-09-29,5179.0,5215.0,5093.0,5246.0,973763,210
2008-09-30,5132.0,5079.0,5024.0,5132.0,605420,147
2008-10-04,5127.0,4979.0,4979.0,5127.0,61409,16
2008-10-05,5107.0,4974.0,4974.0,5107.0,266010,59
2008-10-06,5099.0,4954.0,4954.0,5099.0,100220,25
2008-10-07,5098.0,4947.0,4947.0,5098.0,17630,8
2008-10-08,5098.0,4946.0,4946.0,5098.0,3630,8
2008-10-11,4946.0,4946.0,4946.0,4946.0,2011510,399
2008-10-12,4798.0,4798.0,4798.0,4798.0,2791033,585
2008-10-13,4655.0,4655.0,4655.0,4655.0,2307600,479
2008-10-20,2788.0,3199.0,2600.0,3199.0,3626461,710
2008-10-21,2792.0,2871.0,2792.0,2871.0,96683,27
2008-10-22,2792.0,2875.0,2792.0,2875.0,56,2
2008-10-26,2800.0,2875.0,2800.0,2875.0,199263,54
2008-10-27,2801.0,2801.0,2801.0,2884.0,1275027018,16
2008-10-28,2811.0,2885.0,2811.0,2885.0,245665,48
2008-10-29,2811.0,2895.0,2811.0,2895.0,5353,3
2008-11-01,2811.0,2895.0,2811.0,2895.0,5011,4
2008-11-02,2883.0,2895.0,2883.0,2895.0,1720777,307
2008-11-03,2886.0,2969.0,2886.0,2969.0,74260,14
2008-11-04,2886.0,2972.0,2886.0,2972.0,1486,3
2008-11-05,2887.0,2972.0,2887.0,2972.0,15010,8
2008-11-08,2888.0,2973.0,2888.0,2973.0,23170,9
2008-11-09,2959.0,2974.0,2851.0,2974.0,4941918,823
2008-11-10,2938.0,2958.0,2871.0,2959.0,500372,114
2008-11-11,2925.0,2850.0,2850.0,2925.0,303599,54
2008-11-12,2893.0,2838.0,2838.0,2893.0,726248,142
2008-11-15,2850.0,2830.0,2807.0,2890.0,1608576,245
2008-11-16,2848.0,2850.0,2767.0,2900.0,1084497,64
2008-11-17,2828.0,2801.0,2763.0,2859.0,1895082,119
2008-11-18,2812.0,2746.0,2744.0,2812.0,627394,90
2008-11-19,2804.0,2800.0,2728.0,2804.0,212172,66
2008-11-22,2788.0,2760.0,2720.0,2788.0,1596162,99
2008-11-23,2781.0,2706.0,2705.0,2781.0,163686,39
2008-11-24,2780.0,2698.0,2698.0,2780.0,32441,11
2008-11-25,2779.0,2697.0,2697.0,2779.0,25930,10
2008-11-26,2778.0,2696.0,2696.0,2778.0,24810,14
2008-11-29,2777.0,2695.0,2695.0,2777.0,30010,11
2008-11-30,2776.0,2694.0,1250.0,2776.0,1200024333,12
2008-12-01,2774.0,2693.0,2693.0,2774.0,47010,12
2008-12-02,2773.0,2691.0,2691.0,2773.0,24010,8
2008-12-03,2773.0,2690.0,2690.0,2773.0,3770,11
2008-12-06,2747.0,2690.0,2690.0,2690.0,634817,136
2008-12-07,2740.0,2665.0,2665.0,2665.0,161110,19
2008-12-08,2738.0,2658.0,2658.0,2658.0,60000,8
2008-12-10,2738.0,2656.0,2656.0,2656.0,3000,2
2008-12-13,2736.0,2656.0,2656.0,2656.0,45456,11
2008-12-14,2735.0,2654.0,2654.0,2654.0,26119,5
2008-12-15,2733.0,2653.0,2653.0,2653.0,40000,9
