Date,Close,Open,Low,High,Volume,Trades
2015-03-18,14418.0,14400.0,14400.0,14976.0,616919,83
2015-03-25,14488.0,14699.0,14699.0,14798.0,17501,15
2015-03-28,14045.0,14502.0,13909.0,14502.0,233214,285
2015-03-29,14114.0,14500.0,14005.0,14599.0,317376,154
2015-03-30,14076.0,14120.0,13800.0,14120.0,19650,41
2015-03-31,14030.0,14200.0,13685.0,14200.0,45333,60
2015-04-04,14591.0,14591.0,14591.0,14591.0,80183,17
2015-04-05,15129.0,15174.0,14810.0,15174.0,522085,114
2015-04-06,14526.0,14740.0,14524.0,14740.0,214469,67
2015-04-07,14470.0,14222.0,14100.0,14520.0,27318,31
2015-04-08,14462.0,14130.0,14130.0,14310.0,3561,12
2015-04-11,14187.0,14700.0,14000.0,14750.0,63063,40
2015-04-12,14210.0,14200.0,14200.0,14400.0,52915,37
2015-04-13,14196.0,14022.0,14017.0,14024.0,6020,16
2015-04-14,14191.0,14009.0,14008.0,14200.0,2929,13
2015-04-15,14184.0,14200.0,14060.0,14400.0,22079,19
2015-04-18,14200.0,14290.0,14250.0,14500.0,6876,18
2015-04-19,14195.0,14100.0,14050.0,14400.0,40093,26
2015-04-20,14124.0,14060.0,14050.0,14090.0,42770,26
2015-04-21,14120.0,14019.0,14010.0,14019.0,3000,2
2015-04-22,14154.0,14350.0,14051.0,14350.0,18080,17
2015-04-25,14177.0,14399.0,14200.0,14399.0,11653,8
2015-04-26,14172.0,14001.0,14001.0,14299.0,22114,21
2015-04-27,14114.0,14101.0,14000.0,14101.0,30182,41
2015-04-28,14090.0,14000.0,13820.0,14249.0,9711,15
2015-04-29,14089.0,14290.0,13810.0,14290.0,779,9
2015-05-03,14047.0,13840.0,13800.0,13880.0,12754,27
2015-05-04,13818.0,13638.0,13486.0,13638.0,33272,29
2015-05-05,13816.0,13700.0,13540.0,13880.0,6299,10
2015-05-06,13804.0,13400.0,13400.0,13600.0,2470,6
2015-05-09,13772.0,13481.0,13480.0,13860.0,11080,15
2015-05-10,13669.0,13401.0,13300.0,13422.0,20400,29
2015-05-11,13660.0,13600.0,13500.0,13705.0,8951,11
2015-05-12,13660.0,13699.0,13500.0,13798.0,36700,14
2015-05-13,13636.0,13350.0,13350.0,13600.0,11454,25
2015-05-17,13612.0,13350.0,13201.0,13360.0,5175,8
2015-05-18,13594.0,13500.0,13300.0,13880.0,95425,43
2015-05-19,13583.0,13786.0,13310.0,13790.0,4030,7
