,Date,Trend
0,2015-08-23,0
1,2015-08-30,0
2,2015-09-06,0
3,2015-09-13,45
4,2015-09-20,0
5,2015-09-27,0
6,2015-10-04,0
7,2015-10-11,0
8,2015-10-18,0
9,2015-10-25,66
10,2015-11-01,0
11,2015-11-08,0
12,2015-11-15,0
13,2015-11-22,0
14,2015-11-29,0
15,2015-12-06,0
16,2015-12-13,45
17,2015-12-20,0
18,2015-12-27,0
19,2016-01-03,0
20,2016-01-10,0
21,2016-01-17,46
22,2016-01-24,0
23,2016-01-31,0
24,2016-02-07,0
25,2016-02-14,0
26,2016-02-21,0
27,2016-02-28,0
28,2016-03-06,0
29,2016-03-13,0
30,2016-03-20,0
31,2016-03-27,0
32,2016-04-03,46
33,2016-04-10,0
34,2016-04-17,0
35,2016-04-24,0
36,2016-05-01,0
37,2016-05-08,0
38,2016-05-15,0
39,2016-05-22,0
40,2016-05-29,0
41,2016-06-05,0
42,2016-06-12,0
43,2016-06-19,0
44,2016-06-26,0
45,2016-07-03,0
46,2016-07-10,0
47,2016-07-17,0
48,2016-07-24,50
49,2016-07-31,0
50,2016-08-07,0
51,2016-08-14,0
52,2016-08-21,0
53,2016-08-28,0
54,2016-09-04,0
55,2016-09-11,0
56,2016-09-18,0
57,2016-09-25,0
58,2016-10-02,0
59,2016-10-09,47
60,2016-10-16,46
61,2016-10-23,47
62,2016-10-30,0
63,2016-11-06,0
64,2016-11-13,47
65,2016-11-20,46
66,2016-11-27,0
67,2016-12-04,0
68,2016-12-11,45
69,2016-12-18,0
70,2016-12-25,49
71,2017-01-01,46
72,2017-01-08,0
73,2017-01-15,44
74,2017-01-22,0
75,2017-01-29,0
76,2017-02-05,0
77,2017-02-12,0
78,2017-02-19,0
79,2017-02-26,42
80,2017-03-05,42
81,2017-03-12,0
82,2017-03-19,43
83,2017-03-26,0
84,2017-04-02,0
85,2017-04-09,89
86,2017-04-16,0
87,2017-04-23,0
88,2017-04-30,43
89,2017-05-07,0
90,2017-05-14,0
91,2017-05-21,0
92,2017-05-28,0
93,2017-06-04,0
94,2017-06-11,45
95,2017-06-18,0
96,2017-06-25,0
97,2017-07-02,0
98,2017-07-09,0
99,2017-07-16,47
100,2017-07-23,0
101,2017-07-30,0
102,2017-08-06,44
103,2017-08-13,45
104,2017-08-20,45
105,2017-08-27,89
106,2017-09-03,0
107,2017-09-10,43
108,2017-09-17,43
109,2017-09-24,65
110,2017-10-01,44
111,2017-10-08,43
112,2017-10-15,65
113,2017-10-22,42
114,2017-10-29,0
115,2017-11-05,0
116,2017-11-12,84
117,2017-11-19,0
118,2017-11-26,0
119,2017-12-03,0
120,2017-12-10,42
121,2017-12-17,0
122,2017-12-24,47
123,2017-12-31,0
124,2018-01-07,41
125,2018-01-14,41
126,2018-01-21,0
127,2018-01-28,0
128,2018-02-04,0
129,2018-02-11,61
130,2018-02-18,41
131,2018-02-25,0
132,2018-03-04,0
133,2018-03-11,0
134,2018-03-18,0
135,2018-03-25,56
136,2018-04-01,41
137,2018-04-08,0
138,2018-04-15,40
139,2018-04-22,40
140,2018-04-29,0
141,2018-05-06,41
142,2018-05-13,0
143,2018-05-20,42
144,2018-05-27,41
145,2018-06-03,41
146,2018-06-10,40
147,2018-06-17,0
148,2018-06-24,0
149,2018-07-01,41
150,2018-07-08,60
151,2018-07-15,84
152,2018-07-22,41
153,2018-07-29,0
154,2018-08-05,40
155,2018-08-12,0
156,2018-08-19,0
157,2018-08-26,40
158,2018-09-02,40
159,2018-09-09,0
160,2018-09-16,0
161,2018-09-23,39
162,2018-09-30,0
163,2018-10-07,0
164,2018-10-14,0
165,2018-10-21,0
166,2018-10-28,0
167,2018-11-04,40
168,2018-11-11,0
169,2018-11-18,0
170,2018-11-25,39
171,2018-12-02,39
172,2018-12-09,0
173,2018-12-16,82
174,2018-12-23,0
175,2018-12-30,43
176,2019-01-06,40
177,2019-01-13,39
178,2019-01-20,39
179,2019-01-27,0
180,2019-02-03,0
181,2019-02-10,39
182,2019-02-17,0
183,2019-02-24,0
184,2019-03-03,39
185,2019-03-10,0
186,2019-03-17,0
187,2019-03-24,40
188,2019-03-31,39
189,2019-04-07,0
190,2019-04-14,41
191,2019-04-21,0
192,2019-04-28,40
193,2019-05-05,39
194,2019-05-12,0
195,2019-05-19,0
196,2019-05-26,0
197,2019-06-02,39
198,2019-06-09,38
199,2019-06-16,40
200,2019-06-23,39
201,2019-06-30,0
202,2019-07-07,0
203,2019-07-14,0
204,2019-07-21,41
205,2019-07-28,41
206,2019-08-04,40
207,2019-08-11,40
208,2019-08-18,39
209,2019-08-25,0
210,2019-09-01,0
211,2019-09-08,0
212,2019-09-15,0
213,2019-09-22,37
214,2019-09-29,37
215,2019-10-06,0
216,2019-10-13,74
217,2019-10-20,0
218,2019-10-27,37
219,2019-11-03,37
220,2019-11-10,36
221,2019-11-17,0
222,2019-11-24,36
223,2019-12-01,37
