,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Feel
0,0,0,0,0,0,0,236192609494769664,236192609494769664,1345147681000,2012-08-17,00:38:01,430,132541362,tunobs,Tunisian Observer,,#قابس: خروج كميات كبيرة من السمك على ساحل شط معتمدية #غنوش و #المطوية  http://www.shemsfm.net/ar/actualite/%25D8%25A7%25D9%2584%25D8%25A3%25D8%25AE%25D8%25A8%25D8%25A7%25D8%25B1_%25D8%25A3%25D8%25AE%25D8%25A8%25D8%25A7%25D8%25B1-%25D8%25AA%25D9%2588%25D9%2586%25D8%25B3_%25D8%25A7%25D9%2584%25D8%25A3%25D8%25AE%25D8%25A8%25D8%25A7%25D8%25B1-%25D8%25A7%25D9%2584%25D8%25AC%25D9%2587%25D9%2588%25D9%258A%25D8%25A9/%25D9%2582%25D8%25A7%25D8%25A8%25D8%25B3-%25D8%25AE%25D8%25B1%25D9%2588%25D8%25AC-%25D9%2583%25D9%2585%25D9%258A%25D8%25A7%25D8%25AA-%25D9%2583%25D8%25A8%25D9%258A%25D8%25B1%25D8%25A9-%25D9%2585%25D9%2586-%25D8%25A7%25D9%2584%25D8%25B3%25D9%2585%25D9%2583-%25D8%25B9%25D9%2584%25D9%2589-%25D8%25B3%25D8%25A7%25D8%25AD%25D9%2584-%25D8%25B4%25D8%25B7-%25D9%2585%25D8%25B9%25D8%25AA%25D9%2585%25D8%25AF%25D9%258A%25D8%25A9-%25D8%25BA%25D9%2586%25D9%2588%25D8%25B4-%25D9%2588%25D8%25A7%25D9%2584%25D9%2585%25D8%25B7%25D9%2588%25D9%258A%25D8%25A9/132 …,[],['http://www.shemsfm.net/ar/actualite/%25D8%25A7%25D9%2584%25D8%25A3%25D8%25AE%25D8%25A8%25D8%25A7%25D8%25B1_%25D8%25A3%25D8%25AE%25D8%25A8%25D8%25A7%25D8%25B1-%25D8%25AA%25D9%2588%25D9%2586%25D8%25B3_%25D8%25A7%25D9%2584%25D8%25A3%25D8%25AE%25D8%25A8%25D8%25A7%25D8%25B1-%25D8%25A7%25D9%2584%25D8%25AC%25D9%2587%25D9%2588%25D9%258A%25D8%25A9/%25D9%2582%25D8%25A7%25D8%25A8%25D8%25B3-%25D8%25AE%25D8%25B1%25D9%2588%25D8%25AC-%25D9%2583%25D9%2585%25D9%258A%25D8%25A7%25D8%25AA-%25D9%2583%25D8%25A8%25D9%258A%25D8%25B1%25D8%25A9-%25D9%2585%25D9%2586-%25D8%25A7%25D9%2584%25D8%25B3%25D9%2585%25D9%2583-%25D8%25B9%25D9%2584%25D9%2589-%25D8%25B3%25D8%25A7%25D8%25AD%25D9%2584-%25D8%25B4%25D8%25B7-%25D9%2585%25D8%25B9%25D8%25AA%25D9%2585%25D8%25AF%25D9%258A%25D8%25A9-%25D8%25BA%25D9%2586%25D9%2588%25D8%25B4-%25D9%2588%25D8%25A7%25D9%2584%25D9%2585%25D8%25B7%25D9%2588%25D9%258A%25D8%25A9/132'],[],0,0,0,"['#قابس', '#غنوش', '#المطوية']",[],https://twitter.com/TunObs/status/236192609494769664,False,,0,,,,,,,"[{'user_id': '132541362', 'username': 'TunObs'}]",,,,,0.9908533692359924
1,1,1,1,1,1,1,244957400111652866,244957400111652866,1347237369000,2012-09-10,05:06:09,430,791375749,sa_ba4,SKH,,اِلجميلآتَ '$غالباا تكونن ااِسسماائھم من ثلاث آحرف ♡♡$'^ ک : #غنوش مثلآ (=|:,[],[],[],0,0,0,['#غنوش'],[],https://twitter.com/Sa_Ba4/status/244957400111652866,False,,0,,,,,,,"[{'user_id': '791375749', 'username': 'Sa_Ba4'}]",,,,,0.9704153537750244
2,2,2,2,2,2,2,260514760557215746,260514760557215746,1350946533000,2012-10-23,02:25:33,430,37046196,selim_1976,SELIM,,الشرعية الشرعية، يا شر رعية  #غنوش...ي,[],[],[],0,0,0,['#غنوش'],[],https://twitter.com/selim_1976/status/260514760557215746,False,,0,,,,,,,"[{'user_id': '37046196', 'username': 'selim_1976'}]",,,,,0.9993467926979064
3,3,3,3,3,3,3,312015688535519233,312015688535519233,1363225311000,2013-03-14,05:11:51,430,1247055600,m0sha_d,Maha .,,#غنوش المطيري الله يشآفيهها ♡',[],[],[],0,0,0,['#غنوش'],[],https://twitter.com/m0sha_D/status/312015688535519233,False,,0,,,,,,,"[{'user_id': '1247055600', 'username': 'm0sha_D'}]",,,,,0.9287508726119996
4,4,4,4,4,4,4,343754628455878656,343754628455878656,1370792464000,2013-06-09,20:11:04,430,634967010,majd_mhareb,المَجدُ خَالِد♔,,"اعشق هذا النوع من الزواحف <3 
#غنوش :*  http://instagram.com/p/aV_KDiv--Q/ ",[],['http://instagram.com/p/aV_KDiv--Q/'],[],0,0,0,['#غنوش'],[],https://twitter.com/majd_mhareb/status/343754628455878656,False,,0,,,,,,,"[{'user_id': '634967010', 'username': 'majd_mhareb'}]",,,,,0.0420542061328888
5,5,5,5,5,5,5,347452241118113792,347452241118113792,1371674044000,2013-06-20,01:04:04,430,1219512835,noofa__12,Nofa.,,ياكثافة صورتك داخل فراغيكل نظره للمدى القاك فيها..#غنوش,[],[],[],0,0,0,['#غنوش'],[],https://twitter.com/noofa__12/status/347452241118113792,False,,0,,,,,,,"[{'user_id': '1219512835', 'username': 'noofa__12'}]",,,,,0.9909043908119202
6,6,6,6,6,6,6,350537694796976128,350537694796976128,1372409673000,2013-06-28,13:24:33,430,282955909,fofah2011,Fofah,,هتاف تحفه من تونس : يا #غنوش قول ل#بديع #مصر و #تونس مش للبيع,[],[],[],0,0,0,"['#غنوش', '#مصر', '#تونس']",[],https://twitter.com/Fofah2011/status/350537694796976128,False,,0,,,,,,,"[{'user_id': '282955909', 'username': 'Fofah2011'}]",,,,,0.9182376861572266
7,7,7,7,7,7,7,364891532446285824,364891532446285824,1375831895000,2013-08-07,04:01:35,430,451609030,albedwawi914,....,,"هي فرحة ل أغسطس

#غنوش حبيبتي",[],[],[],0,0,0,['#غنوش'],[],https://twitter.com/albedwawi914/status/364891532446285824,False,,0,,,,,,,"[{'user_id': '451609030', 'username': 'albedwawi914'}]",,,,,0.9900050759315492
8,8,8,8,8,8,8,364891731222724609,364891731222724609,1375831942000,2013-08-07,04:02:22,430,451609030,albedwawi914,....,,"هي ملاك آغسطس 

#غنوش حبيبتي",[],[],[],0,0,0,['#غنوش'],[],https://twitter.com/albedwawi914/status/364891731222724609,False,,0,,,,,,,"[{'user_id': '451609030', 'username': 'albedwawi914'}]",,,,,0.99199777841568
9,9,9,9,9,9,9,364891930909360128,364891930909360128,1375831990000,2013-08-07,04:03:10,430,451609030,albedwawi914,....,,"هي نبض آغسطس

#غنوش حبيبتي",[],[],[],0,0,0,['#غنوش'],[],https://twitter.com/albedwawi914/status/364891930909360128,False,,0,,,,,,,"[{'user_id': '451609030', 'username': 'albedwawi914'}]",,,,,0.992495894432068
