Date,Close,Open,Low,High,Volume,Trades
2004-02-04,3752.0,3700.0,3700.0,4203.0,3500000,1777
2004-02-07,3755.0,3939.0,3755.0,3939.0,3200,5
2004-02-08,3942.0,3942.0,3942.0,3942.0,600000,495
2004-02-09,4139.0,4139.0,4139.0,4139.0,650000,624
2004-02-14,4345.0,4345.0,4345.0,4345.0,650000,583
2004-02-15,4562.0,4562.0,4562.0,4562.0,992682,661
2004-02-16,4790.0,4790.0,4790.0,4790.0,918360,577
2004-02-17,5029.0,5029.0,5029.0,5029.0,184129,153
2004-02-18,5280.0,5280.0,5280.0,5280.0,227551,124
2004-02-21,5540.0,5544.0,5280.0,5544.0,1925814,977
2004-02-22,5644.0,5550.0,5540.0,5797.0,557010,465
2004-02-23,5584.0,5584.0,5500.0,5650.0,407527,322
2004-02-24,5444.0,5571.0,5321.0,5571.0,388866,226
2004-02-25,5288.0,5400.0,5200.0,5440.0,281836,147
2004-02-28,5404.0,5294.0,5289.0,5502.0,528809,221
2004-02-29,5479.0,5390.0,5390.0,5530.0,384654,183
2004-03-03,5678.0,5500.0,5500.0,5701.0,566597,186
2004-03-06,5706.0,5700.0,5670.0,5752.0,3590565,177
2004-03-07,5633.0,5706.0,5573.0,5710.0,349208,121
2004-03-10,5583.0,5630.0,5500.0,5750.0,150038,69
2004-03-13,5487.0,5512.0,5398.0,5582.0,339228,149
2004-03-14,5516.0,5564.0,5499.0,5564.0,1126270,74
2004-03-15,5491.0,5499.0,5355.0,5500.0,307037,83
2004-03-16,5433.0,5493.0,5304.0,5500.0,111086,67
2004-03-17,5462.0,5400.0,5300.0,5704.0,257839,101
2004-03-27,5470.0,5463.0,5463.0,5700.0,21283,16
2004-03-28,5708.0,5600.0,5504.0,5743.0,142043,54
2004-03-29,5780.0,5725.0,5710.0,5993.0,66418,33
2004-03-30,5759.0,5785.0,5749.0,5800.0,371628,91
2004-04-03,6001.0,6045.0,5779.0,6046.0,177645,60
2004-04-04,6301.0,6301.0,6301.0,6301.0,563732,142
2004-04-05,6473.0,6616.0,6302.0,6616.0,309952,103
2004-04-06,6576.0,6500.0,6499.0,6793.0,481539,173
2004-04-07,6812.0,6650.0,6650.0,6904.0,489465,180
