Date,Close,Open,Low,High,Volume,Trades
2001-04-17,25965.0,25400.0,25400.0,25965.0,4029,6
2001-04-18,25706.0,25706.0,25706.0,25990.0,7983,17
2001-04-21,25449.0,25449.0,25449.0,25449.0,300,1
2001-04-22,25195.0,25195.0,25195.0,25195.0,200,1
2001-04-23,24566.0,24566.0,24566.0,24566.0,1000,2
2001-04-24,23952.0,23952.0,23952.0,23952.0,1000,3
2001-04-25,23713.0,23713.0,23713.0,23713.0,1100,5
2001-04-28,23476.0,23476.0,23476.0,23476.0,1000,6
2001-04-29,23242.0,23242.0,23242.0,23242.0,1000,8
2001-04-30,23010.0,23010.0,23010.0,23010.0,1000,2
2001-05-01,22780.0,22780.0,22780.0,22780.0,1000,3
2001-05-02,22553.0,22553.0,22553.0,22553.0,1000,4
2001-05-05,22328.0,22328.0,22328.0,22328.0,1000,3
2001-05-06,22105.0,22105.0,22105.0,22105.0,2607,3
2001-05-07,21884.0,21884.0,21884.0,21885.0,9790,35
2001-05-08,22102.0,22102.0,22102.0,22102.0,1265,6
2001-05-09,22323.0,22323.0,22323.0,22323.0,3734,6
2001-05-13,22546.0,22546.0,22546.0,22546.0,1057,3
2001-05-15,22771.0,22771.0,22771.0,22771.0,1100,4
2001-05-16,22998.0,22780.0,22780.0,22998.0,5213,8
2001-05-21,23227.0,23227.0,23227.0,23227.0,1499,6
2001-05-23,23459.0,23459.0,23459.0,23459.0,1199,9
2001-05-27,23693.0,23693.0,23693.0,23693.0,1826,10
2001-05-29,23700.0,23929.0,23693.0,23929.0,31720,44
2001-05-30,23463.0,23678.0,23463.0,23690.0,24309,19
2001-06-02,23229.0,23229.0,23229.0,23459.0,1455,9
2001-06-03,22997.0,23227.0,22997.0,23227.0,8805,11
2001-06-06,22988.0,22997.0,22988.0,22997.0,530,3
2001-06-09,22759.0,22978.0,22759.0,22978.0,2508,12
2001-06-11,22532.0,22755.0,22532.0,22755.0,1421,2
2001-06-12,22307.0,22307.0,22307.0,22307.0,10965,11
2001-06-20,22084.0,22084.0,22084.0,22085.0,13286,33
2001-06-23,22090.0,22090.0,22090.0,22090.0,1857,1
2001-06-24,22117.0,22103.0,22103.0,22120.0,1887,6
2001-06-25,22250.0,22250.0,22244.0,22300.0,6850,13
2001-06-26,22110.0,22134.0,22100.0,22134.0,6639,17
2001-06-27,22112.0,22112.0,22112.0,22112.0,397,1
2001-06-30,22000.0,22116.0,21989.0,22116.0,4328,11
2001-07-01,22000.0,21995.0,21988.0,22000.0,8856,19
2001-07-02,22001.0,22007.0,21998.0,22050.0,7834,17
2001-07-29,20070.0,20000.0,20000.0,20070.0,3795,5
2001-07-31,21073.0,21073.0,21073.0,21073.0,1000,4
2001-08-01,22126.0,21785.0,21785.0,22126.0,499183,52
2001-08-04,22679.0,22679.0,22679.0,22679.0,2375,9
2001-08-05,22706.0,23000.0,22679.0,23245.0,27270,19
2001-08-07,22771.0,22792.0,22771.0,22792.0,2350,11
2001-08-08,22825.0,22780.0,22778.0,22849.0,3545,8
2001-08-11,22999.0,22998.0,22840.0,22999.0,1483,3
2001-08-12,23401.0,23150.0,23106.0,23401.0,3958,7
2001-08-13,23986.0,23730.0,23501.0,23986.0,5182,23
2001-08-14,23989.0,23989.0,23989.0,23989.0,200,1
2001-08-15,24011.0,24002.0,23996.0,24021.0,4834,15
2001-08-18,24011.0,24011.0,24011.0,24011.0,163,1
2001-08-19,24020.0,24020.0,24020.0,24020.0,1118,3
2001-08-20,24025.0,24025.0,24025.0,24025.0,80,1
2001-08-21,24108.0,24104.0,24104.0,24108.0,3136,9
2001-08-22,24106.0,24108.0,24105.0,24108.0,3032,8
2001-08-25,24108.0,24109.0,24108.0,24109.0,1236,2
2001-08-26,24130.0,24121.0,24113.0,24150.0,2933,7
2001-08-27,24136.0,24130.0,24130.0,24136.0,2460,11
2001-08-28,24147.0,24140.0,24140.0,24147.0,2032,5
2001-08-29,24500.0,24153.0,24153.0,24500.0,11950,6
2001-09-01,24510.0,24510.0,24510.0,24510.0,119,1
2001-09-02,24520.0,24512.0,24512.0,24520.0,562,2
2001-09-04,24530.0,24540.0,24530.0,24540.0,6109,16
2001-09-08,24507.0,24474.0,24474.0,24530.0,6000,13
2001-09-09,24449.0,24478.0,24449.0,24478.0,1047,3
2001-09-10,24349.0,24440.0,24347.0,24440.0,1379,6
2001-09-11,24106.0,24106.0,24106.0,24146.0,1170,4
2001-10-02,23865.0,23865.0,23865.0,23865.0,1002,7
2001-10-14,23627.0,23627.0,23627.0,23627.0,1000,2
2001-10-16,23037.0,23037.0,23037.0,23037.0,1000,2
2001-10-17,22462.0,22462.0,22462.0,22462.0,1000,5
2001-10-20,21901.0,21901.0,21901.0,22229.0,23057,38
2001-10-21,21901.0,21901.0,21901.0,21901.0,1589,9
2001-10-22,21905.0,21914.0,21904.0,21919.0,9807,18
2001-10-27,21905.0,21905.0,21905.0,21905.0,4097,13
2001-10-28,21890.0,21889.0,21889.0,21890.0,600,3
2001-10-29,21900.0,21889.0,21878.0,21900.0,7526,14
2001-10-30,21900.0,21900.0,21900.0,21900.0,2211,4
2001-11-03,22447.0,22447.0,22447.0,22447.0,2219,7
2001-11-04,22723.0,22700.0,22500.0,22723.0,2487,7
2001-11-06,23007.0,22999.0,22999.0,23007.0,3578,8
2001-11-07,23010.0,23017.0,23007.0,23051.0,7735,9
2001-11-10,23012.0,23011.0,23010.0,23012.0,1164,11
2001-11-11,23011.0,23013.0,23011.0,23013.0,1661,7
2001-11-12,23009.0,23011.0,23009.0,23011.0,2947,7
2001-11-13,22900.0,22996.0,22900.0,22996.0,1700,5
2001-11-14,22800.0,22800.0,22800.0,22800.0,2000,4
2001-11-18,22773.0,22773.0,22772.0,22773.0,840,6
2001-11-28,22204.0,22204.0,22204.0,22204.0,2055,2
2001-12-01,21649.0,21649.0,21649.0,21649.0,1000,3
2001-12-02,21588.0,21639.0,21588.0,21639.0,1237,6
2001-12-03,21460.0,21500.0,21460.0,21500.0,3159,6
2001-12-04,21653.0,21400.0,21400.0,21653.0,13074,41
2001-12-05,21656.0,21656.0,21656.0,21701.0,2618,12
2001-12-08,21656.0,21657.0,21656.0,21657.0,6083,19
2001-12-09,21665.0,21665.0,21663.0,21665.0,1736,7
2001-12-10,21665.0,21665.0,21350.0,21665.0,5963,17
2001-12-12,22000.0,21660.0,21660.0,22204.0,13620,22
2001-12-15,22204.0,22204.0,22001.0,22204.0,4157,6
2001-12-17,22300.0,22204.0,22024.0,22301.0,11299,22
2001-12-18,22855.0,22450.0,22450.0,22857.0,7357,19
2001-12-19,22820.0,22830.0,22820.0,22830.0,2385,10
2001-12-23,23200.0,23200.0,23009.0,23201.0,1894,9
2001-12-24,23576.0,23500.0,23200.0,23576.0,1794,8
2001-12-25,24106.0,23626.0,23626.0,24106.0,1244,10
2001-12-26,24000.0,24106.0,23899.0,24106.0,268647,35
2001-12-29,23760.0,23761.0,23760.0,23761.0,4453,23
2001-12-31,23758.0,23759.0,23758.0,23760.0,3112,7
2002-01-01,23757.0,23757.0,23755.0,23757.0,7778,20
2002-01-02,23757.0,23757.0,23757.0,23757.0,1530,2
2002-01-05,23760.0,23763.0,23757.0,23763.0,12020,19
2002-01-06,23769.0,23761.0,23761.0,23773.0,4342,4
2002-01-07,23779.0,23772.0,23772.0,23779.0,327,2
2002-01-08,23779.0,23776.0,23776.0,23997.0,2352,6
2002-01-12,23600.0,23780.0,23600.0,23800.0,3685,12
2002-01-13,23600.0,23600.0,23600.0,23600.0,847,4
2002-01-14,23600.0,23600.0,23599.0,23602.0,14610,17
2002-01-15,23600.0,23599.0,23599.0,23600.0,2072,5
2002-01-16,23600.0,23600.0,23590.0,23600.0,1585,9
2002-01-19,23599.0,23550.0,23549.0,23599.0,4704,13
2002-01-21,23558.0,23570.0,23558.0,23589.0,1696,3
2002-01-22,23580.0,23580.0,23578.0,23580.0,11932,30
2002-01-23,23578.0,23578.0,23578.0,23580.0,6220,8
2002-01-27,23500.0,23000.0,23000.0,23500.0,1129,2
2002-01-28,23578.0,23444.0,23444.0,23578.0,11464,18
2002-01-29,24167.0,24000.0,24000.0,24167.0,14569,11
2002-02-03,25103.0,24172.0,24167.0,25103.0,15628,34
2002-02-04,25500.0,25100.0,25000.0,25500.0,5982,19
2002-02-05,25500.0,25600.0,25497.0,25600.0,2465,12
2002-02-06,25498.0,25500.0,25498.0,25500.0,3530,8
2002-02-10,25482.0,25482.0,25482.0,25482.0,180,2
2002-02-13,24946.0,24986.0,24946.0,24986.0,1179,5
2002-02-16,24799.0,24859.0,24795.0,24859.0,2853,4
2002-02-18,24400.0,24700.0,24400.0,24787.0,2759,8
2002-02-19,24400.0,24395.0,24350.0,24410.0,6170,19
2002-02-20,24397.0,24396.0,24396.0,24397.0,148,2
2002-02-24,24400.0,24396.0,24396.0,24402.0,7676,19
2002-02-25,24457.0,24454.0,24400.0,24457.0,2240,5
2002-02-26,24800.0,24900.0,24800.0,24900.0,3790,9
2002-02-27,24789.0,24789.0,24789.0,24789.0,277,1
2002-03-02,24770.0,24770.0,24770.0,24770.0,1176,2
2002-03-05,24748.0,24748.0,24748.0,24748.0,622,1
2002-03-09,24700.0,24743.0,24700.0,24743.0,571,3
2002-03-10,24700.0,24695.0,24694.0,24700.0,8994,15
2002-03-11,24760.0,24741.0,24729.0,24760.0,4418,14
2002-03-12,24763.0,24763.0,24763.0,24763.0,2080,2
2002-03-13,25382.0,25200.0,25000.0,25382.0,11802,20
2002-03-18,26016.0,26016.0,26015.0,26016.0,6819,22
2002-03-19,26016.0,26016.0,26016.0,26016.0,1492,5
2002-03-26,26016.0,26016.0,26016.0,26016.0,290,1
2002-03-27,26016.0,26016.0,26016.0,26016.0,2316,6
2002-03-31,26666.0,26666.0,26666.0,26666.0,2429,6
2002-04-14,27332.0,27332.0,27332.0,27332.0,2388,8
2002-04-16,28015.0,28015.0,28015.0,28015.0,3583,11
2002-04-27,28295.0,28295.0,28295.0,28295.0,8782,29
2002-04-28,28577.0,28577.0,28577.0,28577.0,1600,1
2002-05-01,28862.0,28862.0,28862.0,28862.0,1010,5
2002-05-04,29150.0,29150.0,29150.0,29150.0,301279,123
2002-05-06,29441.0,29441.0,29441.0,29441.0,3254,5
2002-05-12,29735.0,29735.0,29735.0,29735.0,1690,10
2002-05-14,30478.0,30478.0,30478.0,30478.0,1500,2
2002-05-19,31239.0,31239.0,31239.0,31239.0,1500,6
2002-05-20,32019.0,32019.0,32019.0,32019.0,1630,10
2002-05-21,32339.0,32339.0,32339.0,32339.0,2000,16
2002-05-25,44000.0,38630.0,35141.0,45450.0,18439,57
2002-05-26,43560.0,44440.0,43560.0,44440.0,11063,28
2002-05-27,43125.0,43125.0,43125.0,43125.0,1000,3
2002-06-01,42694.0,42694.0,42694.0,42694.0,1126,6
2002-06-02,42722.0,42268.0,42268.0,42722.0,122613,154
2002-06-03,43000.0,42756.0,42712.0,43000.0,37494,89
2002-06-08,43000.0,43001.0,43000.0,43300.0,12665,25
2002-06-09,42950.0,43000.0,42950.0,43001.0,11807,26
2002-06-10,42930.0,42939.0,42924.0,42939.0,10046,17
2002-06-11,42650.0,42899.0,42650.0,42899.0,3587,15
2002-06-12,42472.0,42646.0,42450.0,42650.0,11388,23
2002-06-15,42496.0,42472.0,42471.0,42656.0,45148,95
2002-06-16,42496.0,42550.0,42490.0,42550.0,1062280,96
2002-07-23,49005.0,48999.0,38000.0,49005.0,38717,102
2002-07-24,50230.0,50230.0,50230.0,50230.0,41786,55
2002-07-27,48975.0,51485.0,48975.0,51485.0,38079,39
2002-07-28,48900.0,48975.0,47751.0,50199.0,786311,45
2002-07-29,47678.0,48799.0,47678.0,50000.0,33435,66
2002-07-30,47400.0,47678.0,47400.0,48869.0,55227,28
2002-07-31,46230.0,47103.0,46230.0,47801.0,44645,70
2002-08-03,47385.0,45507.0,45100.0,47385.0,1209779,57
