,Date,Trend
0,2015-08-23,0
1,2015-08-30,26
2,2015-09-06,0
3,2015-09-13,0
4,2015-09-20,10
5,2015-09-27,6
6,2015-10-04,6
7,2015-10-11,13
8,2015-10-18,6
9,2015-10-25,0
10,2015-11-01,6
11,2015-11-08,6
12,2015-11-15,17
13,2015-11-22,8
14,2015-11-29,0
15,2015-12-06,10
16,2015-12-13,13
17,2015-12-20,9
18,2015-12-27,14
19,2016-01-03,17
20,2016-01-10,16
21,2016-01-17,13
22,2016-01-24,20
23,2016-01-31,16
24,2016-02-07,15
25,2016-02-14,22
26,2016-02-21,32
27,2016-02-28,8
28,2016-03-06,21
29,2016-03-13,0
30,2016-03-20,10
31,2016-03-27,7
32,2016-04-03,7
33,2016-04-10,13
34,2016-04-17,15
35,2016-04-24,13
36,2016-05-01,17
37,2016-05-08,24
38,2016-05-15,26
39,2016-05-22,10
40,2016-05-29,16
41,2016-06-05,10
42,2016-06-12,13
43,2016-06-19,13
44,2016-06-26,11
45,2016-07-03,7
46,2016-07-10,24
47,2016-07-17,32
48,2016-07-24,11
49,2016-07-31,11
50,2016-08-07,7
51,2016-08-14,11
52,2016-08-21,7
53,2016-08-28,7
54,2016-09-04,0
55,2016-09-11,7
56,2016-09-18,9
57,2016-09-25,13
58,2016-10-02,20
59,2016-10-09,7
60,2016-10-16,15
61,2016-10-23,29
62,2016-10-30,20
63,2016-11-06,11
64,2016-11-13,11
65,2016-11-20,15
66,2016-11-27,6
67,2016-12-04,9
68,2016-12-11,6
69,2016-12-18,7
70,2016-12-25,14
71,2017-01-01,6
72,2017-01-08,8
73,2017-01-15,8
74,2017-01-22,15
75,2017-01-29,15
76,2017-02-05,6
77,2017-02-12,0
78,2017-02-19,12
79,2017-02-26,6
80,2017-03-05,15
81,2017-03-12,12
82,2017-03-19,0
83,2017-03-26,8
84,2017-04-02,9
85,2017-04-09,10
86,2017-04-16,24
87,2017-04-23,14
88,2017-04-30,6
89,2017-05-07,6
90,2017-05-14,9
91,2017-05-21,7
92,2017-05-28,0
93,2017-06-04,6
94,2017-06-11,6
95,2017-06-18,0
96,2017-06-25,13
97,2017-07-02,18
98,2017-07-09,33
99,2017-07-16,26
100,2017-07-23,22
101,2017-07-30,19
102,2017-08-06,10
103,2017-08-13,13
104,2017-08-20,10
105,2017-08-27,19
106,2017-09-03,12
107,2017-09-10,12
108,2017-09-17,6
109,2017-09-24,19
110,2017-10-01,12
111,2017-10-08,10
112,2017-10-15,12
113,2017-10-22,12
114,2017-10-29,15
115,2017-11-05,15
116,2017-11-12,9
117,2017-11-19,15
118,2017-11-26,12
119,2017-12-03,18
120,2017-12-10,12
121,2017-12-17,31
122,2017-12-24,23
123,2017-12-31,14
124,2018-01-07,15
125,2018-01-14,17
126,2018-01-21,11
127,2018-01-28,11
128,2018-02-04,23
129,2018-02-11,6
130,2018-02-18,8
131,2018-02-25,17
132,2018-03-04,8
133,2018-03-11,13
134,2018-03-18,9
135,2018-03-25,15
136,2018-04-01,6
137,2018-04-08,10
138,2018-04-15,8
139,2018-04-22,6
140,2018-04-29,6
141,2018-05-06,12
142,2018-05-13,14
143,2018-05-20,8
144,2018-05-27,0
145,2018-06-03,8
146,2018-06-10,11
147,2018-06-17,10
148,2018-06-24,17
149,2018-07-01,11
150,2018-07-08,11
151,2018-07-15,15
152,2018-07-22,15
153,2018-07-29,19
154,2018-08-05,9
155,2018-08-12,6
156,2018-08-19,10
157,2018-08-26,11
158,2018-09-02,13
159,2018-09-09,19
160,2018-09-16,11
161,2018-09-23,13
162,2018-09-30,21
163,2018-10-07,11
164,2018-10-14,23
165,2018-10-21,17
166,2018-10-28,9
167,2018-11-04,11
168,2018-11-11,13
169,2018-11-18,13
170,2018-11-25,11
171,2018-12-02,23
172,2018-12-09,13
173,2018-12-16,15
174,2018-12-23,17
175,2018-12-30,22
176,2019-01-06,17
177,2019-01-13,24
178,2019-01-20,18
179,2019-01-27,24
180,2019-02-03,30
181,2019-02-10,11
182,2019-02-17,16
183,2019-02-24,8
184,2019-03-03,18
185,2019-03-10,9
186,2019-03-17,11
187,2019-03-24,9
188,2019-03-31,11
189,2019-04-07,9
190,2019-04-14,31
191,2019-04-21,23
192,2019-04-28,24
193,2019-05-05,15
194,2019-05-12,24
195,2019-05-19,29
196,2019-05-26,20
197,2019-06-02,13
198,2019-06-09,24
199,2019-06-16,6
200,2019-06-23,9
201,2019-06-30,15
202,2019-07-07,26
203,2019-07-14,11
204,2019-07-21,21
205,2019-07-28,25
206,2019-08-04,17
207,2019-08-11,21
208,2019-08-18,15
209,2019-08-25,7
210,2019-09-01,20
211,2019-09-08,19
212,2019-09-15,11
213,2019-09-22,35
214,2019-09-29,23
215,2019-10-06,17
216,2019-10-13,21
217,2019-10-20,26
218,2019-10-27,21
219,2019-11-03,10
220,2019-11-10,15
221,2019-11-17,0
222,2019-11-24,10
223,2019-12-01,33
224,2019-12-08,21
225,2019-12-15,21
226,2019-12-22,30
227,2019-12-29,22
228,2020-01-05,10
229,2020-01-12,19
230,2020-01-19,27
231,2020-01-26,12
232,2020-02-02,20
233,2020-02-09,30
234,2020-02-16,26
235,2020-02-23,24
236,2020-03-01,36
237,2020-03-08,28
238,2020-03-15,28
239,2020-03-22,27
240,2020-03-29,28
241,2020-04-05,52
242,2020-04-12,51
243,2020-04-19,100
244,2020-04-26,85
245,2020-05-03,79
246,2020-05-10,72
247,2020-05-17,50
248,2020-05-24,35
249,2020-05-31,46
250,2020-06-07,54
251,2020-06-14,64
252,2020-06-21,79
253,2020-06-28,63
254,2020-07-05,59
255,2020-07-12,85
256,2020-07-19,49
257,2020-07-26,51
258,2020-08-02,42
259,2020-08-09,33
