,Date,Trend
0,2015-08-23,38
1,2015-08-30,36
2,2015-09-06,36
3,2015-09-13,34
4,2015-09-20,34
5,2015-09-27,37
6,2015-10-04,36
7,2015-10-11,31
8,2015-10-18,18
9,2015-10-25,25
10,2015-11-01,28
11,2015-11-08,30
12,2015-11-15,27
13,2015-11-22,34
14,2015-11-29,28
15,2015-12-06,37
16,2015-12-13,50
17,2015-12-20,45
18,2015-12-27,43
19,2016-01-03,42
20,2016-01-10,53
21,2016-01-17,57
22,2016-01-24,41
23,2016-01-31,42
24,2016-02-07,44
25,2016-02-14,44
26,2016-02-21,64
27,2016-02-28,46
28,2016-03-06,43
29,2016-03-13,45
30,2016-03-20,44
31,2016-03-27,43
32,2016-04-03,42
33,2016-04-10,46
34,2016-04-17,48
35,2016-04-24,54
36,2016-05-01,42
37,2016-05-08,41
38,2016-05-15,43
39,2016-05-22,50
40,2016-05-29,45
41,2016-06-05,43
42,2016-06-12,41
43,2016-06-19,41
44,2016-06-26,39
45,2016-07-03,43
46,2016-07-10,45
47,2016-07-17,48
48,2016-07-24,42
49,2016-07-31,44
50,2016-08-07,42
51,2016-08-14,60
52,2016-08-21,49
53,2016-08-28,44
54,2016-09-04,43
55,2016-09-11,40
56,2016-09-18,40
57,2016-09-25,34
58,2016-10-02,29
59,2016-10-09,24
60,2016-10-16,31
61,2016-10-23,35
62,2016-10-30,36
63,2016-11-06,33
64,2016-11-13,30
65,2016-11-20,34
66,2016-11-27,34
67,2016-12-04,42
68,2016-12-11,43
69,2016-12-18,53
70,2016-12-25,56
71,2017-01-01,53
72,2017-01-08,46
73,2017-01-15,42
74,2017-01-22,44
75,2017-01-29,43
76,2017-02-05,41
77,2017-02-12,41
78,2017-02-19,42
79,2017-02-26,35
80,2017-03-05,41
81,2017-03-12,37
82,2017-03-19,36
83,2017-03-26,38
84,2017-04-02,44
85,2017-04-09,49
86,2017-04-16,45
87,2017-04-23,48
88,2017-04-30,56
89,2017-05-07,45
90,2017-05-14,56
91,2017-05-21,45
92,2017-05-28,38
93,2017-06-04,35
94,2017-06-11,30
95,2017-06-18,34
96,2017-06-25,35
97,2017-07-02,38
98,2017-07-09,39
99,2017-07-16,39
100,2017-07-23,39
101,2017-07-30,47
102,2017-08-06,38
103,2017-08-13,41
104,2017-08-20,48
105,2017-08-27,52
106,2017-09-03,41
107,2017-09-10,50
108,2017-09-17,37
109,2017-09-24,25
110,2017-10-01,28
111,2017-10-08,33
112,2017-10-15,35
113,2017-10-22,35
114,2017-10-29,35
115,2017-11-05,36
116,2017-11-12,31
117,2017-11-19,42
