,Date,Trend
0,2015-08-23,0
1,2015-08-30,0
2,2015-09-06,0
3,2015-09-13,8
4,2015-09-20,8
5,2015-09-27,0
6,2015-10-04,0
7,2015-10-11,7
8,2015-10-18,0
9,2015-10-25,7
10,2015-11-01,0
11,2015-11-08,7
12,2015-11-15,0
13,2015-11-22,0
14,2015-11-29,0
15,2015-12-06,0
16,2015-12-13,8
17,2015-12-20,8
18,2015-12-27,0
19,2016-01-03,8
20,2016-01-10,0
21,2016-01-17,8
22,2016-01-24,8
23,2016-01-31,0
24,2016-02-07,8
25,2016-02-14,8
26,2016-02-21,8
27,2016-02-28,8
28,2016-03-06,8
29,2016-03-13,15
30,2016-03-20,8
31,2016-03-27,0
32,2016-04-03,15
33,2016-04-10,8
34,2016-04-17,8
35,2016-04-24,0
36,2016-05-01,0
37,2016-05-08,0
38,2016-05-15,8
39,2016-05-22,8
40,2016-05-29,0
41,2016-06-05,8
42,2016-06-12,0
43,2016-06-19,8
44,2016-06-26,0
45,2016-07-03,8
46,2016-07-10,16
47,2016-07-17,8
48,2016-07-24,0
49,2016-07-31,0
50,2016-08-07,0
51,2016-08-14,9
52,2016-08-21,0
53,2016-08-28,0
54,2016-09-04,0
55,2016-09-11,8
56,2016-09-18,0
57,2016-09-25,8
58,2016-10-02,8
59,2016-10-09,0
60,2016-10-16,8
61,2016-10-23,8
62,2016-10-30,31
63,2016-11-06,0
64,2016-11-13,8
65,2016-11-20,0
66,2016-11-27,7
67,2016-12-04,7
68,2016-12-11,7
69,2016-12-18,0
70,2016-12-25,16
71,2017-01-01,8
72,2017-01-08,0
73,2017-01-15,0
74,2017-01-22,14
75,2017-01-29,22
76,2017-02-05,22
77,2017-02-12,7
78,2017-02-19,14
79,2017-02-26,16
80,2017-03-05,10
81,2017-03-12,7
82,2017-03-19,0
83,2017-03-26,21
84,2017-04-02,17
85,2017-04-09,22
86,2017-04-16,21
87,2017-04-23,12
88,2017-04-30,22
89,2017-05-07,14
90,2017-05-14,0
91,2017-05-21,18
92,2017-05-28,15
93,2017-06-04,15
94,2017-06-11,8
95,2017-06-18,0
96,2017-06-25,0
97,2017-07-02,12
98,2017-07-09,12
99,2017-07-16,10
100,2017-07-23,19
101,2017-07-30,0
102,2017-08-06,7
103,2017-08-13,12
104,2017-08-20,11
105,2017-08-27,11
106,2017-09-03,7
107,2017-09-10,10
108,2017-09-17,7
109,2017-09-24,7
110,2017-10-01,7
111,2017-10-08,18
112,2017-10-15,15
113,2017-10-22,11
114,2017-10-29,9
115,2017-11-05,19
116,2017-11-12,7
117,2017-11-19,7
118,2017-11-26,21
119,2017-12-03,11
120,2017-12-10,7
121,2017-12-17,7
122,2017-12-24,19
123,2017-12-31,15
124,2018-01-07,21
125,2018-01-14,7
126,2018-01-21,18
127,2018-01-28,7
128,2018-02-04,10
129,2018-02-11,7
130,2018-02-18,24
131,2018-02-25,10
132,2018-03-04,7
133,2018-03-11,7
134,2018-03-18,0
135,2018-03-25,11
136,2018-04-01,20
137,2018-04-08,7
138,2018-04-15,0
139,2018-04-22,7
140,2018-04-29,7
141,2018-05-06,0
142,2018-05-13,14
143,2018-05-20,7
144,2018-05-27,7
145,2018-06-03,0
146,2018-06-10,7
147,2018-06-17,13
148,2018-06-24,7
149,2018-07-01,7
150,2018-07-08,7
151,2018-07-15,14
152,2018-07-22,7
153,2018-07-29,0
154,2018-08-05,0
155,2018-08-12,7
156,2018-08-19,7
157,2018-08-26,0
158,2018-09-02,7
159,2018-09-09,7
160,2018-09-16,13
161,2018-09-23,7
162,2018-09-30,7
163,2018-10-07,7
164,2018-10-14,7
165,2018-10-21,7
166,2018-10-28,0
167,2018-11-04,0
168,2018-11-11,7
169,2018-11-18,10
170,2018-11-25,0
171,2018-12-02,7
172,2018-12-09,13
173,2018-12-16,7
174,2018-12-23,7
175,2018-12-30,7
176,2019-01-06,7
177,2019-01-13,7
178,2019-01-20,6
179,2019-01-27,6
180,2019-02-03,6
181,2019-02-10,0
182,2019-02-17,16
183,2019-02-24,13
184,2019-03-03,13
185,2019-03-10,13
186,2019-03-17,7
187,2019-03-24,0
188,2019-03-31,7
189,2019-04-07,7
190,2019-04-14,14
191,2019-04-21,0
192,2019-04-28,7
193,2019-05-05,0
194,2019-05-12,7
195,2019-05-19,7
196,2019-05-26,6
197,2019-06-02,0
198,2019-06-09,6
199,2019-06-16,11
200,2019-06-23,13
201,2019-06-30,7
202,2019-07-07,7
203,2019-07-14,13
204,2019-07-21,14
205,2019-07-28,25
206,2019-08-04,20
207,2019-08-11,23
208,2019-08-18,17
209,2019-08-25,6
210,2019-09-01,29
211,2019-09-08,6
212,2019-09-15,10
213,2019-09-22,17
214,2019-09-29,23
215,2019-10-06,27
216,2019-10-13,12
217,2019-10-20,9
218,2019-10-27,16
219,2019-11-03,18
220,2019-11-10,20
221,2019-11-17,0
222,2019-11-24,24
223,2019-12-01,10
