,Date,Trend
0,2015-08-23,12
1,2015-08-30,15
2,2015-09-06,8
3,2015-09-13,9
4,2015-09-20,6
5,2015-09-27,9
6,2015-10-04,9
7,2015-10-11,6
8,2015-10-18,9
9,2015-10-25,10
10,2015-11-01,17
11,2015-11-08,10
12,2015-11-15,6
13,2015-11-22,12
14,2015-11-29,6
15,2015-12-06,10
16,2015-12-13,12
17,2015-12-20,16
18,2015-12-27,13
19,2016-01-03,6
20,2016-01-10,9
21,2016-01-17,15
22,2016-01-24,9
23,2016-01-31,12
24,2016-02-07,15
25,2016-02-14,15
26,2016-02-21,0
27,2016-02-28,12
28,2016-03-06,6
29,2016-03-13,6
30,2016-03-20,6
31,2016-03-27,6
32,2016-04-03,6
33,2016-04-10,8
34,2016-04-17,9
35,2016-04-24,6
36,2016-05-01,12
37,2016-05-08,12
38,2016-05-15,0
39,2016-05-22,8
40,2016-05-29,8
41,2016-06-05,6
42,2016-06-12,9
43,2016-06-19,17
44,2016-06-26,6
45,2016-07-03,13
46,2016-07-10,9
47,2016-07-17,13
48,2016-07-24,13
49,2016-07-31,13
50,2016-08-07,7
51,2016-08-14,7
52,2016-08-21,10
53,2016-08-28,8
54,2016-09-04,6
55,2016-09-11,6
56,2016-09-18,12
57,2016-09-25,12
58,2016-10-02,12
59,2016-10-09,6
60,2016-10-16,6
61,2016-10-23,6
62,2016-10-30,6
63,2016-11-06,6
64,2016-11-13,12
65,2016-11-20,0
66,2016-11-27,0
67,2016-12-04,6
68,2016-12-11,6
69,2016-12-18,6
70,2016-12-25,10
71,2017-01-01,6
72,2017-01-08,6
73,2017-01-15,6
74,2017-01-22,6
75,2017-01-29,11
76,2017-02-05,11
77,2017-02-12,9
78,2017-02-19,22
79,2017-02-26,20
80,2017-03-05,5
81,2017-03-12,5
82,2017-03-19,6
83,2017-03-26,6
84,2017-04-02,6
85,2017-04-09,12
86,2017-04-16,6
87,2017-04-23,0
88,2017-04-30,11
89,2017-05-07,22
90,2017-05-14,6
91,2017-05-21,0
92,2017-05-28,6
93,2017-06-04,6
94,2017-06-11,6
95,2017-06-18,6
96,2017-06-25,6
97,2017-07-02,6
98,2017-07-09,6
99,2017-07-16,6
100,2017-07-23,10
101,2017-07-30,6
102,2017-08-06,9
103,2017-08-13,10
104,2017-08-20,12
105,2017-08-27,6
106,2017-09-03,6
107,2017-09-10,15
108,2017-09-17,11
109,2017-09-24,11
110,2017-10-01,9
111,2017-10-08,0
112,2017-10-15,11
113,2017-10-22,0
114,2017-10-29,11
115,2017-11-05,5
116,2017-11-12,8
117,2017-11-19,8
118,2017-11-26,8
119,2017-12-03,5
120,2017-12-10,8
121,2017-12-17,8
122,2017-12-24,6
123,2017-12-31,6
124,2018-01-07,5
125,2018-01-14,7
126,2018-01-21,5
127,2018-01-28,7
128,2018-02-04,11
129,2018-02-11,11
130,2018-02-18,11
131,2018-02-25,0
132,2018-03-04,10
133,2018-03-11,10
134,2018-03-18,0
135,2018-03-25,0
136,2018-04-01,21
137,2018-04-08,5
138,2018-04-15,5
139,2018-04-22,5
140,2018-04-29,0
141,2018-05-06,8
142,2018-05-13,11
143,2018-05-20,11
144,2018-05-27,5
145,2018-06-03,5
146,2018-06-10,5
147,2018-06-17,5
148,2018-06-24,9
149,2018-07-01,8
150,2018-07-08,5
151,2018-07-15,11
152,2018-07-22,5
153,2018-07-29,5
154,2018-08-05,11
155,2018-08-12,5
156,2018-08-19,5
157,2018-08-26,5
158,2018-09-02,8
159,2018-09-09,5
160,2018-09-16,15
161,2018-09-23,10
162,2018-09-30,10
163,2018-10-07,10
164,2018-10-14,11
165,2018-10-21,5
166,2018-10-28,5
167,2018-11-04,5
168,2018-11-11,13
169,2018-11-18,10
170,2018-11-25,10
171,2018-12-02,10
172,2018-12-09,8
173,2018-12-16,8
174,2018-12-23,8
175,2018-12-30,11
176,2019-01-06,5
177,2019-01-13,10
178,2019-01-20,5
179,2019-01-27,13
180,2019-02-03,10
181,2019-02-10,10
182,2019-02-17,5
183,2019-02-24,7
184,2019-03-03,13
185,2019-03-10,5
186,2019-03-17,13
187,2019-03-24,10
188,2019-03-31,0
189,2019-04-07,13
190,2019-04-14,5
191,2019-04-21,11
192,2019-04-28,5
193,2019-05-05,8
194,2019-05-12,14
195,2019-05-19,8
196,2019-05-26,5
197,2019-06-02,10
198,2019-06-09,13
199,2019-06-16,13
200,2019-06-23,15
201,2019-06-30,7
202,2019-07-07,7
203,2019-07-14,12
204,2019-07-21,11
205,2019-07-28,11
206,2019-08-04,5
207,2019-08-11,8
208,2019-08-18,13
209,2019-08-25,8
210,2019-09-01,13
211,2019-09-08,8
212,2019-09-15,10
213,2019-09-22,7
214,2019-09-29,11
215,2019-10-06,12
216,2019-10-13,0
217,2019-10-20,7
218,2019-10-27,7
219,2019-11-03,11
220,2019-11-10,5
221,2019-11-17,0
222,2019-11-24,5
223,2019-12-01,14
224,2019-12-08,11
225,2019-12-15,10
226,2019-12-22,5
227,2019-12-29,7
228,2020-01-05,9
229,2020-01-12,11
230,2020-01-19,9
231,2020-01-26,7
232,2020-02-02,33
233,2020-02-09,20
234,2020-02-16,36
235,2020-02-23,53
236,2020-03-01,34
237,2020-03-08,32
238,2020-03-15,75
239,2020-03-22,76
240,2020-03-29,89
241,2020-04-05,100
242,2020-04-12,84
243,2020-04-19,96
244,2020-04-26,93
245,2020-05-03,73
246,2020-05-10,85
247,2020-05-17,55
248,2020-05-24,30
249,2020-05-31,49
250,2020-06-07,63
251,2020-06-14,62
252,2020-06-21,79
253,2020-06-28,70
254,2020-07-05,71
255,2020-07-12,54
256,2020-07-19,59
257,2020-07-26,53
258,2020-08-02,47
259,2020-08-09,41
