Date,Close,Open,Low,High,Volume,Trades
2011-11-13,4500.0,4500.0,4500.0,4500.0,23506127,1922
2011-11-14,4680.0,4680.0,4680.0,4680.0,1894814,414
2011-11-16,4744.0,4867.0,4867.0,4867.0,242962,62
2011-11-19,4781.0,4933.0,4933.0,4933.0,136506,37
2011-11-20,4922.0,4972.0,4972.0,4972.0,520395,118
2011-11-21,5118.0,5118.0,5118.0,5118.0,1225377,201
2011-11-22,5257.0,5290.0,5150.0,5499.0,23453026,4311
2011-11-23,5273.0,5250.0,5164.0,5370.0,2994070,723
2011-11-26,5263.0,5250.0,5153.0,5300.0,3950957,716
2011-11-27,5259.0,5250.0,5200.0,5268.0,3876362,494
2011-11-28,5255.0,5259.0,5220.0,5260.0,1590310,296
2011-11-29,5296.0,5255.0,5255.0,5349.0,1589069,214
2011-11-30,5294.0,5296.0,5280.0,5300.0,980666,174
2011-12-03,5265.0,5268.0,5201.0,5300.0,1289112,137
2011-12-04,5276.0,5220.0,5220.0,5320.0,427830,114
2011-12-07,5279.0,5276.0,5272.0,5330.0,314118,89
2011-12-10,5277.0,5279.0,5200.0,5300.0,565497,114
2011-12-11,5276.0,5276.0,5260.0,5280.0,206820,37
2011-12-12,5405.0,5350.0,5350.0,5469.0,732528,204
2011-12-13,5462.0,5406.0,5405.0,5621.0,2792270,271
2011-12-14,5456.0,5480.0,5421.0,5480.0,505057,74
2011-12-17,5455.0,5456.0,5400.0,5480.0,835142,138
2011-12-18,5425.0,5450.0,5301.0,5450.0,304147,113
2011-12-19,5371.0,5260.0,5208.0,5320.0,229953,105
2011-12-20,5301.0,5258.0,5157.0,5258.0,231280,90
2011-12-21,5141.0,5089.0,5089.0,5148.0,562259,155
2011-12-24,5137.0,5100.0,5001.0,5299.0,413915,120
2011-12-25,5143.0,5136.0,5125.0,5200.0,2722335,151
2011-12-26,5111.0,5150.0,5000.0,5150.0,177595,97
2011-12-27,5079.0,5049.0,4953.0,5049.0,170680,86
2011-12-28,5047.0,4960.0,4951.0,5050.0,225424,104
2011-12-31,5079.0,5147.0,5051.0,5200.0,221438,75
2012-01-01,5054.0,5147.0,5000.0,5147.0,470159,108
2012-01-02,5042.0,5048.0,4950.0,5048.0,124308,74
2012-01-03,5184.0,4980.0,4980.0,5243.0,1400622,265
2012-01-04,5362.0,5205.0,5179.0,5391.0,1227531,231
2012-01-07,5262.0,5277.0,5150.0,5277.0,414811,134
2012-01-08,5214.0,5169.0,5085.0,5169.0,216988,68
2012-01-09,5238.0,5150.0,5100.0,5400.0,317859,113
2012-01-10,5284.0,5319.0,5223.0,5339.0,524758,147
2012-01-11,5373.0,5350.0,5250.0,5440.0,1006596,215
2012-01-15,5450.0,5400.0,5390.0,5519.0,518283,139
2012-01-16,5609.0,5560.0,5550.0,5668.0,606460,87
2012-01-17,5819.0,5833.0,5703.0,5833.0,2289615,444
2012-01-18,5952.0,5815.0,5815.0,6051.0,747509,159
2012-01-21,6182.0,6150.0,6147.0,6190.0,1056199,223
2012-02-04,3631.0,3752.0,3602.0,3752.0,2095125,404
2012-02-05,3583.0,3520.0,3486.0,3540.0,251243,63
2012-02-06,3581.0,3440.0,3440.0,3440.0,12212,8
2012-02-07,3547.0,3438.0,3438.0,3438.0,165855,35
2012-02-08,3537.0,3406.0,3406.0,3406.0,48331,14
2012-02-12,3396.0,3396.0,3396.0,3396.0,753505,71
2012-02-13,3308.0,3261.0,3261.0,3261.0,459974,52
2012-02-14,3004.0,3044.0,2923.0,3100.0,1522820,326
2012-02-15,3020.0,2951.0,2951.0,3038.0,88635580,156
