Date,Close,Open,Low,High,Volume,Trades
2011-04-18,17500.0,17501.0,17500.0,17501.0,49782460,720
2011-04-19,18375.0,18375.0,18375.0,18375.0,13789,14
2011-04-20,19293.0,19293.0,19293.0,19293.0,1336796,333
2011-04-23,20257.0,20257.0,20257.0,20257.0,306291,267
2011-04-24,21269.0,21269.0,21269.0,21269.0,5610417,2634
2011-04-25,22167.0,21980.0,21800.0,22332.0,25082271,13541
2011-04-26,22330.0,22471.0,22168.0,23260.0,25120332,8903
2011-04-27,22123.0,22332.0,21501.0,22800.0,6063966,2612
2011-04-30,21017.0,21022.0,21017.0,21128.0,10530783,2498
2011-05-01,21627.0,20500.0,20500.0,22067.0,1582158,675
2011-05-02,22708.0,22708.0,22700.0,22708.0,33362483,2169
2011-05-03,22837.0,23201.0,22323.0,23500.0,9501971,866
2011-05-04,23710.0,22846.0,22846.0,23978.0,2077756,650
2011-05-08,23292.0,23803.0,22710.0,24289.0,3005087,745
2011-05-09,24427.0,23910.0,23900.0,24456.0,3151059,675
2011-05-10,24574.0,25200.0,23910.0,25200.0,2141889,507
2011-05-11,24046.0,24052.0,23650.0,24250.0,1123067,356
2011-05-14,23725.0,23825.0,23560.0,23904.0,90767,79
2011-05-15,23369.0,24000.0,23057.0,24000.0,472134,248
2011-05-16,22439.0,23360.0,22210.0,23900.0,3619336,1204
2011-05-17,22938.0,22809.0,22502.0,23279.0,548058,168
2011-05-18,23150.0,23249.0,23100.0,23998.0,5969898,202
2011-05-21,23200.0,23000.0,23000.0,23397.0,760616,221
2011-05-22,23004.0,22704.0,22704.0,23300.0,681752,214
2011-05-23,23125.0,23000.0,23000.0,23500.0,503172,164
2011-05-24,23023.0,23150.0,22700.0,23213.0,761728,210
2011-05-25,22094.0,22749.0,21985.0,22749.0,1105657,262
2011-05-28,21821.0,22500.0,21404.0,22500.0,936829,216
2011-05-29,20912.0,21501.0,20730.0,21800.0,2256535,423
2011-05-30,21734.0,21000.0,20995.0,21957.0,834248,249
2011-05-31,22488.0,22600.0,22361.0,22660.0,719750,192
2011-06-01,22448.0,22439.0,22109.0,22620.0,415728,97
2011-06-06,23001.0,23000.0,22764.0,23298.0,231001,108
2011-06-07,23038.0,23004.0,22853.0,23485.0,587846,167
2011-06-08,23663.0,22980.0,22510.0,24189.0,1946332,389
2011-06-11,24780.0,24846.0,24055.0,24846.0,5129044,814
2011-06-12,24897.0,24000.0,24000.0,25489.0,1082943,391
2011-06-13,25693.0,25001.0,25000.0,25899.0,1272054,400
2011-06-14,24939.0,24671.0,24671.0,25799.0,852538,320
2011-06-15,24312.0,24412.0,24013.0,24599.0,426640,120
2011-06-18,24783.0,24800.0,24400.0,24999.0,331068,145
2011-06-19,24910.0,25001.0,24720.0,25248.0,234742,112
2011-06-20,24454.0,24989.0,24350.0,24989.0,451507,124
2011-06-21,24386.0,24400.0,24300.0,24499.0,386448,121
2011-06-22,24506.0,24590.0,24300.0,24600.0,887222,114
2011-06-25,24308.0,24400.0,24221.0,24450.0,273893,77
2011-06-26,24032.0,24310.0,23824.0,24500.0,707950,162
2011-06-27,22970.0,23025.0,22831.0,23251.0,1837507,251
2011-06-28,23384.0,22401.0,22401.0,24000.0,121149,78
2011-06-29,24377.0,23979.0,23970.0,24553.0,468833,151
2011-07-02,24726.0,24496.0,24496.0,25000.0,249315,122
2011-07-03,24232.0,24750.0,24000.0,24750.0,235495,103
2011-07-04,23785.0,23416.0,23400.0,24139.0,494020,99
2011-07-05,24567.0,24498.0,24400.0,24973.0,3068670,264
2011-07-06,24961.0,24950.0,24500.0,25190.0,1026752,213
2011-07-09,24976.0,24961.0,24752.0,25794.0,869217,138
2011-07-10,24288.0,24560.0,24159.0,24560.0,304146,102
