,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Feel
0,0,0,0,0,0,0,728829000160776192,728829000160776192,1462601349000,2016-05-07,10:39:09,430,2463165061,bourseiness,بورسینس,,#کسرام شرکت پارس سرام پیش بینی درآمد هر سهم سال مالی منتهی به 1395…  http://goo.gl/fb/bggk5F  #اقتصاد,[],['http://goo.gl/fb/bggk5F'],[],0,0,0,"['#کسرام', '#اقتصاد']",[],https://twitter.com/bourseiness/status/728829000160776192,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.2790977656841278
1,1,1,1,1,1,1,736422403128066048,736422403128066048,1464411757000,2016-05-28,09:32:37,430,2463165061,bourseiness,بورسینس,,#کسرام شرکت پارس سرام پیش بینی درآمد هر سهم سال مالی منتهی به 1395…  http://goo.gl/fb/TuSR9S  #اقتصاد,[],['http://goo.gl/fb/TuSR9S'],[],0,0,0,"['#کسرام', '#اقتصاد']",[],https://twitter.com/bourseiness/status/736422403128066048,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.2790977656841278
2,2,2,2,2,2,2,745134381560279042,745134381560279042,1466488855000,2016-06-21,10:30:55,430,2463165061,bourseiness,بورسینس,,نمادهای #کسرا #کسرام #لخزر #وبشهر #قپیرا #قهکمت صف فروش هستند تضعیف #دلار‌، #طلا را…  http://goo.gl/fb/vhhgoG  #اقتصاد,[],['http://goo.gl/fb/vhhgoG'],[],0,0,0,"['#کسرا', '#کسرام', '#لخزر', '#وبشهر', '#قپیرا', '#قهکمت', '#دلار\u200c', '#طلا', '#اقتصاد']",[],https://twitter.com/bourseiness/status/745134381560279042,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9895793795585632
3,3,3,3,3,3,3,885236561373220864,885236561373220864,1499891817000,2017-07-13,01:06:57,430,830770031705206788,radiosaham_ir,radiosaham,,"شروطی که #کسرام به بودجه خود خواهد رسید
 http://radiosaham.ir/169950/ 

گزارش #مجمع_عمومی_عادی سال مالی ۱۳۹۵ #نفت_سپاهان
 http://radiosaham.ir/169967/ ",[],"['http://radiosaham.ir/169950/', 'http://radiosaham.ir/169967/']",[],0,0,0,"['#کسرام', '#مجمع_عمومی_عادی', '#نفت_سپاهان']",[],https://twitter.com/radiosaham_ir/status/885236561373220864,False,,0,,,,,,,"[{'user_id': '830770031705206788', 'username': 'radiosaham_ir'}]",,,,,0.7468830347061157
4,4,4,4,4,4,4,886934524986359808,886934524986359808,1500296643000,2017-07-17,17:34:03,430,236541476,saadizadeh,shahram sadizadeh,,"#کسرام از کوچکترین سهمهای بازار مسیر احتمالی سهم برخود به حمایت و خط روند صعودی 327 , هدف اول 388 و هدف دوم 450 : حد ضرر 310  pic.twitter.com/QJdBA8KRg1",[],[],['https://pbs.twimg.com/media/DE8FgrLWAAAZqhG.jpg'],0,0,0,['#کسرام'],[],https://twitter.com/saadizadeh/status/886934524986359808,False,,0,,,,,,,"[{'user_id': '236541476', 'username': 'saadizadeh'}]",,,,,0.730190098285675
5,5,5,5,5,5,5,990496563456872449,990496563456872449,1524987757000,2018-04-29,12:12:37,430,986116312920453120,abandidgah,دیدگاه آبان,,"طی دادوستدهای امروز #صف_خرید نمادهای #کاذر و #کسرام و معاملات مثبت نماد #کگاز درگروه منفی #کانی_های_غیر_فلزی جلب توجه می نماید.
#بورس",[],[],[],1,0,1,"['#صف_خرید', '#کاذر', '#کسرام', '#کگاز', '#کانی_های_غیر_فلزی', '#بورس']",[],https://twitter.com/abandidgah/status/990496563456872449,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.7158451080322266
6,6,6,6,6,6,6,990811472052834305,990811472052834305,1525062837000,2018-04-30,09:03:57,430,986116312920453120,abandidgah,دیدگاه آبان,,"* توقف نماد *
فرابورس
#كسرام
با توجه به تغييرات بيش از 20 درصدي قيمت سهام طی 5 روز متوالی
#بورس",[],[],[],0,0,0,"['#كسرام', '#بورس']",[],https://twitter.com/abandidgah/status/990811472052834305,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9763651490211488
7,7,7,7,7,7,7,991182005516820480,991182005516820480,1525151180000,2018-05-01,09:36:20,430,986116312920453120,abandidgah,دیدگاه آبان,,"#کسرام
اطلاعیه
*#پارس #سرام*       
شفاف سازی در خصوص نوسان قیمت سهام pic.twitter.com/Gz5XzMWxIn",[],[],['https://pbs.twimg.com/media/DcFiu5nWkAEakUY.jpg'],0,0,0,"['#کسرام', '#پارس', '#سرام']",[],https://twitter.com/abandidgah/status/991182005516820480,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.8238492012023926
8,8,8,8,8,8,8,1036477983916097538,1036477983916097538,1535950582000,2018-09-03,09:26:22,430,986116312920453120,abandidgah,دیدگاه آبان,,"صف های خرید
#شپنا 48 میلیون سهم
#ددام 19.1 میلیون سهم
#اتکام 18.4 میلیون سهم
#کسرام 17.2 میلیون سهم
#شتران 16.2 میلیون سهم
#بورس",[],[],[],0,0,0,"['#شپنا', '#ددام', '#اتکام', '#کسرام', '#شتران', '#بورس']",[],https://twitter.com/abandidgah/status/1036477983916097538,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.32826781272888184
9,9,9,9,9,9,9,1036835114603302912,1036835114603302912,1536035729000,2018-09-04,09:05:29,430,986116312920453120,abandidgah,دیدگاه آبان,,"صف های خرید
#فولاژ 43.9 میلیون سهم
#شپنا 20.6 میلیون سهم
#کسرام 19.7 میلیون سهم
#لکما 13.4 میلیون سهم
#اتکام 12.1 میلیون سهم
#بورس",[],[],[],0,0,0,"['#فولاژ', '#شپنا', '#کسرام', '#لکما', '#اتکام', '#بورس']",[],https://twitter.com/abandidgah/status/1036835114603302912,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.2701028883457184
