,Date,Trend
0,2015-08-23,12
1,2015-08-30,7
2,2015-09-06,17
3,2015-09-13,8
4,2015-09-20,10
5,2015-09-27,7
6,2015-10-04,10
7,2015-10-11,11
8,2015-10-18,6
9,2015-10-25,7
10,2015-11-01,9
11,2015-11-08,11
12,2015-11-15,11
13,2015-11-22,9
14,2015-11-29,5
15,2015-12-06,7
16,2015-12-13,9
17,2015-12-20,8
18,2015-12-27,8
19,2016-01-03,7
20,2016-01-10,10
21,2016-01-17,9
22,2016-01-24,14
23,2016-01-31,14
24,2016-02-07,17
25,2016-02-14,14
26,2016-02-21,15
27,2016-02-28,12
28,2016-03-06,13
29,2016-03-13,10
30,2016-03-20,2
31,2016-03-27,8
32,2016-04-03,10
33,2016-04-10,8
34,2016-04-17,7
35,2016-04-24,6
36,2016-05-01,10
37,2016-05-08,6
38,2016-05-15,9
39,2016-05-22,8
40,2016-05-29,12
41,2016-06-05,7
42,2016-06-12,10
43,2016-06-19,14
44,2016-06-26,8
45,2016-07-03,5
46,2016-07-10,6
47,2016-07-17,8
48,2016-07-24,8
49,2016-07-31,10
50,2016-08-07,8
51,2016-08-14,7
52,2016-08-21,9
53,2016-08-28,2
54,2016-09-04,9
55,2016-09-11,7
56,2016-09-18,10
57,2016-09-25,6
58,2016-10-02,10
59,2016-10-09,9
60,2016-10-16,7
61,2016-10-23,9
62,2016-10-30,9
63,2016-11-06,6
64,2016-11-13,15
65,2016-11-20,13
66,2016-11-27,8
67,2016-12-04,10
68,2016-12-11,9
69,2016-12-18,11
70,2016-12-25,10
71,2017-01-01,9
72,2017-01-08,8
73,2017-01-15,10
74,2017-01-22,6
75,2017-01-29,7
76,2017-02-05,8
77,2017-02-12,8
78,2017-02-19,8
79,2017-02-26,8
80,2017-03-05,8
81,2017-03-12,3
82,2017-03-19,2
83,2017-03-26,3
84,2017-04-02,5
85,2017-04-09,5
86,2017-04-16,7
87,2017-04-23,8
88,2017-04-30,8
89,2017-05-07,10
90,2017-05-14,8
91,2017-05-21,7
92,2017-05-28,3
93,2017-06-04,3
94,2017-06-11,6
95,2017-06-18,6
96,2017-06-25,3
97,2017-07-02,5
98,2017-07-09,4
99,2017-07-16,5
100,2017-07-23,7
101,2017-07-30,7
102,2017-08-06,5
103,2017-08-13,10
104,2017-08-20,9
105,2017-08-27,7
106,2017-09-03,7
107,2017-09-10,7
108,2017-09-17,11
109,2017-09-24,6
110,2017-10-01,15
111,2017-10-08,12
112,2017-10-15,8
113,2017-10-22,13
114,2017-10-29,13
115,2017-11-05,8
116,2017-11-12,8
117,2017-11-19,10
118,2017-11-26,18
119,2017-12-03,18
120,2017-12-10,15
121,2017-12-17,17
122,2017-12-24,14
123,2017-12-31,12
124,2018-01-07,6
125,2018-01-14,12
126,2018-01-21,9
127,2018-01-28,11
128,2018-02-04,15
129,2018-02-11,8
130,2018-02-18,6
131,2018-02-25,11
132,2018-03-04,8
133,2018-03-11,9
134,2018-03-18,3
135,2018-03-25,10
136,2018-04-01,5
137,2018-04-08,8
138,2018-04-15,10
139,2018-04-22,7
140,2018-04-29,6
141,2018-05-06,9
142,2018-05-13,12
143,2018-05-20,10
144,2018-05-27,7
145,2018-06-03,7
146,2018-06-10,8
147,2018-06-17,13
148,2018-06-24,15
149,2018-07-01,11
150,2018-07-08,9
151,2018-07-15,14
152,2018-07-22,10
153,2018-07-29,13
154,2018-08-05,20
155,2018-08-12,21
156,2018-08-19,14
157,2018-08-26,14
158,2018-09-02,14
159,2018-09-09,19
160,2018-09-16,20
161,2018-09-23,29
162,2018-09-30,34
163,2018-10-07,27
164,2018-10-14,30
165,2018-10-21,33
166,2018-10-28,24
167,2018-11-04,16
168,2018-11-11,16
169,2018-11-18,21
170,2018-11-25,10
171,2018-12-02,17
172,2018-12-09,12
173,2018-12-16,14
174,2018-12-23,19
175,2018-12-30,16
176,2019-01-06,18
177,2019-01-13,12
178,2019-01-20,9
179,2019-01-27,14
180,2019-02-03,14
181,2019-02-10,7
182,2019-02-17,16
183,2019-02-24,11
184,2019-03-03,7
185,2019-03-10,15
186,2019-03-17,5
187,2019-03-24,12
188,2019-03-31,9
189,2019-04-07,14
190,2019-04-14,14
191,2019-04-21,12
192,2019-04-28,19
193,2019-05-05,22
194,2019-05-12,15
195,2019-05-19,14
196,2019-05-26,13
197,2019-06-02,8
198,2019-06-09,12
199,2019-06-16,17
200,2019-06-23,12
201,2019-06-30,12
202,2019-07-07,18
203,2019-07-14,13
204,2019-07-21,10
205,2019-07-28,17
206,2019-08-04,18
207,2019-08-11,18
208,2019-08-18,18
209,2019-08-25,22
210,2019-09-01,11
211,2019-09-08,10
212,2019-09-15,15
213,2019-09-22,15
214,2019-09-29,15
215,2019-10-06,12
216,2019-10-13,13
217,2019-10-20,13
218,2019-10-27,9
219,2019-11-03,7
220,2019-11-10,10
221,2019-11-17,1
222,2019-11-24,5
223,2019-12-01,10
224,2019-12-08,15
225,2019-12-15,14
226,2019-12-22,15
227,2019-12-29,12
228,2020-01-05,8
229,2020-01-12,12
230,2020-01-19,9
231,2020-01-26,13
232,2020-02-02,16
233,2020-02-09,11
234,2020-02-16,11
235,2020-02-23,10
236,2020-03-01,13
237,2020-03-08,11
238,2020-03-15,7
239,2020-03-22,6
240,2020-03-29,6
241,2020-04-05,19
242,2020-04-12,27
243,2020-04-19,28
244,2020-04-26,38
245,2020-05-03,56
246,2020-05-10,50
247,2020-05-17,35
248,2020-05-24,26
249,2020-05-31,27
250,2020-06-07,43
251,2020-06-14,38
252,2020-06-21,40
253,2020-06-28,52
254,2020-07-05,57
255,2020-07-12,75
256,2020-07-19,100
257,2020-07-26,75
258,2020-08-02,57
259,2020-08-09,57
