,Date,Trend
0,2015-08-23,19
1,2015-08-30,0
2,2015-09-06,0
3,2015-09-13,0
4,2015-09-20,0
5,2015-09-27,0
6,2015-10-04,0
7,2015-10-11,0
8,2015-10-18,0
9,2015-10-25,0
10,2015-11-01,0
11,2015-11-08,0
12,2015-11-15,0
13,2015-11-22,0
14,2015-11-29,0
15,2015-12-06,0
16,2015-12-13,0
17,2015-12-20,0
18,2015-12-27,0
19,2016-01-03,0
20,2016-01-10,0
21,2016-01-17,0
22,2016-01-24,0
23,2016-01-31,19
24,2016-02-07,0
25,2016-02-14,0
26,2016-02-21,0
27,2016-02-28,0
28,2016-03-06,0
29,2016-03-13,0
30,2016-03-20,0
31,2016-03-27,0
32,2016-04-03,0
33,2016-04-10,0
34,2016-04-17,57
35,2016-04-24,0
36,2016-05-01,0
37,2016-05-08,0
38,2016-05-15,0
39,2016-05-22,0
40,2016-05-29,0
41,2016-06-05,0
42,2016-06-12,0
43,2016-06-19,0
44,2016-06-26,0
45,2016-07-03,21
46,2016-07-10,0
47,2016-07-17,0
48,2016-07-24,0
49,2016-07-31,0
50,2016-08-07,0
51,2016-08-14,22
52,2016-08-21,0
53,2016-08-28,0
54,2016-09-04,0
55,2016-09-11,0
56,2016-09-18,0
57,2016-09-25,20
58,2016-10-02,0
59,2016-10-09,0
60,2016-10-16,19
61,2016-10-23,20
62,2016-10-30,0
63,2016-11-06,0
64,2016-11-13,0
65,2016-11-20,0
66,2016-11-27,18
67,2016-12-04,0
68,2016-12-11,0
69,2016-12-18,20
70,2016-12-25,0
71,2017-01-01,19
72,2017-01-08,0
73,2017-01-15,0
74,2017-01-22,0
75,2017-01-29,0
76,2017-02-05,18
77,2017-02-12,18
78,2017-02-19,18
79,2017-02-26,0
80,2017-03-05,0
81,2017-03-12,0
82,2017-03-19,0
83,2017-03-26,18
84,2017-04-02,0
85,2017-04-09,18
86,2017-04-16,18
87,2017-04-23,18
88,2017-04-30,0
89,2017-05-07,18
90,2017-05-14,28
91,2017-05-21,19
92,2017-05-28,19
93,2017-06-04,37
94,2017-06-11,28
95,2017-06-18,37
96,2017-06-25,19
97,2017-07-02,19
98,2017-07-09,29
99,2017-07-16,19
100,2017-07-23,19
101,2017-07-30,18
102,2017-08-06,18
103,2017-08-13,0
104,2017-08-20,37
105,2017-08-27,18
106,2017-09-03,18
107,2017-09-10,27
108,2017-09-17,0
109,2017-09-24,18
110,2017-10-01,18
111,2017-10-08,0
112,2017-10-15,0
113,2017-10-22,0
114,2017-10-29,18
115,2017-11-05,0
116,2017-11-12,17
117,2017-11-19,17
118,2017-11-26,17
119,2017-12-03,0
120,2017-12-10,17
121,2017-12-17,18
122,2017-12-24,19
123,2017-12-31,36
124,2018-01-07,0
125,2018-01-14,17
126,2018-01-21,17
127,2018-01-28,34
128,2018-02-04,34
129,2018-02-11,17
130,2018-02-18,0
131,2018-02-25,0
132,2018-03-04,16
133,2018-03-11,17
134,2018-03-18,0
135,2018-03-25,0
136,2018-04-01,17
137,2018-04-08,0
138,2018-04-15,17
139,2018-04-22,0
140,2018-04-29,17
141,2018-05-06,0
142,2018-05-13,17
143,2018-05-20,17
144,2018-05-27,17
145,2018-06-03,17
146,2018-06-10,16
147,2018-06-17,34
148,2018-06-24,50
149,2018-07-01,33
150,2018-07-08,0
151,2018-07-15,0
152,2018-07-22,34
153,2018-07-29,0
154,2018-08-05,17
155,2018-08-12,17
156,2018-08-19,17
157,2018-08-26,41
158,2018-09-02,17
159,2018-09-09,41
160,2018-09-16,25
161,2018-09-23,16
162,2018-09-30,17
163,2018-10-07,0
164,2018-10-14,17
165,2018-10-21,0
166,2018-10-28,17
167,2018-11-04,0
168,2018-11-11,0
169,2018-11-18,25
