,Date,Trend
0,2015-08-23,0
1,2015-08-30,7
2,2015-09-06,15
3,2015-09-13,14
4,2015-09-20,14
5,2015-09-27,11
6,2015-10-04,14
7,2015-10-11,0
8,2015-10-18,7
9,2015-10-25,10
10,2015-11-01,0
11,2015-11-08,7
12,2015-11-15,0
13,2015-11-22,7
14,2015-11-29,0
15,2015-12-06,7
16,2015-12-13,0
17,2015-12-20,8
18,2015-12-27,12
19,2016-01-03,15
20,2016-01-10,7
21,2016-01-17,7
22,2016-01-24,0
23,2016-01-31,7
24,2016-02-07,7
25,2016-02-14,11
26,2016-02-21,7
27,2016-02-28,7
28,2016-03-06,11
29,2016-03-13,7
30,2016-03-20,0
31,2016-03-27,7
32,2016-04-03,7
33,2016-04-10,10
34,2016-04-17,7
35,2016-04-24,0
36,2016-05-01,15
37,2016-05-08,7
38,2016-05-15,11
39,2016-05-22,7
40,2016-05-29,0
41,2016-06-05,0
42,2016-06-12,7
43,2016-06-19,8
44,2016-06-26,7
45,2016-07-03,8
46,2016-07-10,12
47,2016-07-17,0
48,2016-07-24,16
49,2016-07-31,8
50,2016-08-07,16
51,2016-08-14,8
52,2016-08-21,8
53,2016-08-28,0
54,2016-09-04,0
55,2016-09-11,0
56,2016-09-18,15
57,2016-09-25,0
58,2016-10-02,22
59,2016-10-09,0
60,2016-10-16,7
61,2016-10-23,0
62,2016-10-30,7
63,2016-11-06,22
64,2016-11-13,15
65,2016-11-20,7
66,2016-11-27,7
67,2016-12-04,10
68,2016-12-11,7
69,2016-12-18,15
70,2016-12-25,15
71,2017-01-01,7
72,2017-01-08,14
73,2017-01-15,10
74,2017-01-22,14
75,2017-01-29,0
76,2017-02-05,7
77,2017-02-12,13
78,2017-02-19,7
79,2017-02-26,10
80,2017-03-05,0
81,2017-03-12,7
82,2017-03-19,7
83,2017-03-26,7
84,2017-04-02,9
85,2017-04-09,11
86,2017-04-16,10
87,2017-04-23,7
88,2017-04-30,21
89,2017-05-07,10
90,2017-05-14,7
91,2017-05-21,7
92,2017-05-28,10
93,2017-06-04,0
94,2017-06-11,14
95,2017-06-18,9
96,2017-06-25,15
97,2017-07-02,11
98,2017-07-09,0
99,2017-07-16,7
100,2017-07-23,7
101,2017-07-30,7
102,2017-08-06,10
103,2017-08-13,7
104,2017-08-20,12
105,2017-08-27,0
106,2017-09-03,7
107,2017-09-10,9
108,2017-09-17,11
109,2017-09-24,12
110,2017-10-01,14
111,2017-10-08,7
112,2017-10-15,14
113,2017-10-22,10
114,2017-10-29,10
115,2017-11-05,10
116,2017-11-12,10
117,2017-11-19,7
118,2017-11-26,13
119,2017-12-03,10
120,2017-12-10,7
121,2017-12-17,12
122,2017-12-24,15
123,2017-12-31,14
124,2018-01-07,19
125,2018-01-14,6
126,2018-01-21,13
127,2018-01-28,10
128,2018-02-04,6
129,2018-02-11,19
130,2018-02-18,6
131,2018-02-25,6
132,2018-03-04,31
133,2018-03-11,11
134,2018-03-18,6
135,2018-03-25,13
136,2018-04-01,10
137,2018-04-08,13
138,2018-04-15,10
139,2018-04-22,6
140,2018-04-29,7
141,2018-05-06,13
142,2018-05-13,7
143,2018-05-20,7
144,2018-05-27,10
145,2018-06-03,6
146,2018-06-10,13
147,2018-06-17,6
148,2018-06-24,6
149,2018-07-01,0
150,2018-07-08,6
151,2018-07-15,7
152,2018-07-22,13
153,2018-07-29,6
154,2018-08-05,6
155,2018-08-12,0
156,2018-08-19,0
157,2018-08-26,13
158,2018-09-02,6
159,2018-09-09,13
160,2018-09-16,13
161,2018-09-23,13
162,2018-09-30,11
163,2018-10-07,13
164,2018-10-14,10
165,2018-10-21,13
166,2018-10-28,10
167,2018-11-04,6
168,2018-11-11,11
169,2018-11-18,6
170,2018-11-25,9
171,2018-12-02,6
172,2018-12-09,13
173,2018-12-16,6
174,2018-12-23,14
175,2018-12-30,7
176,2019-01-06,6
177,2019-01-13,12
178,2019-01-20,12
179,2019-01-27,6
180,2019-02-03,12
181,2019-02-10,15
182,2019-02-17,9
183,2019-02-24,6
184,2019-03-03,19
185,2019-03-10,12
186,2019-03-17,10
187,2019-03-24,10
188,2019-03-31,9
189,2019-04-07,21
190,2019-04-14,10
191,2019-04-21,19
192,2019-04-28,6
193,2019-05-05,17
194,2019-05-12,19
195,2019-05-19,14
196,2019-05-26,15
197,2019-06-02,6
198,2019-06-09,10
199,2019-06-16,13
200,2019-06-23,9
201,2019-06-30,10
202,2019-07-07,19
203,2019-07-14,6
204,2019-07-21,16
205,2019-07-28,9
206,2019-08-04,8
207,2019-08-11,13
208,2019-08-18,19
209,2019-08-25,16
210,2019-09-01,12
211,2019-09-08,12
212,2019-09-15,24
213,2019-09-22,21
214,2019-09-29,12
215,2019-10-06,22
216,2019-10-13,18
217,2019-10-20,9
218,2019-10-27,8
219,2019-11-03,11
220,2019-11-10,19
221,2019-11-17,0
222,2019-11-24,14
223,2019-12-01,17
224,2019-12-08,25
225,2019-12-15,24
226,2019-12-22,38
227,2019-12-29,45
228,2020-01-05,23
229,2020-01-12,20
230,2020-01-19,21
231,2020-01-26,20
232,2020-02-02,22
233,2020-02-09,28
234,2020-02-16,26
235,2020-02-23,28
236,2020-03-01,28
237,2020-03-08,16
238,2020-03-15,19
239,2020-03-22,25
240,2020-03-29,17
241,2020-04-05,38
242,2020-04-12,37
243,2020-04-19,40
244,2020-04-26,37
245,2020-05-03,40
246,2020-05-10,44
247,2020-05-17,36
248,2020-05-24,14
249,2020-05-31,22
250,2020-06-07,49
251,2020-06-14,53
252,2020-06-21,73
253,2020-06-28,92
254,2020-07-05,100
255,2020-07-12,98
256,2020-07-19,66
257,2020-07-26,72
258,2020-08-02,44
259,2020-08-09,77
