Date,Close,Open,Low,High,Volume,Trades
2001-03-25,1520.0,1520.0,1520.0,1520.0,26694,14
2001-03-26,1500.0,1492.0,1490.0,1514.0,61373,29
2001-03-27,1500.0,1500.0,1500.0,1501.0,73589,34
2001-03-28,1505.0,1500.0,1499.0,1519.0,84307,38
2001-03-31,1550.0,1523.0,1512.0,1570.0,142772,34
2001-04-03,1550.0,1550.0,1550.0,1550.0,3000,3
2001-04-07,1580.0,1565.0,1565.0,1585.0,168430,52
2001-04-08,1570.0,1580.0,1565.0,1581.0,233367,80
2001-04-09,1554.0,1560.0,1552.0,1570.0,252788,71
2001-04-10,1554.0,1545.0,1510.0,1554.0,173217,61
2001-04-11,1550.0,1548.0,1541.0,1555.0,235400,105
2001-04-14,1548.0,1540.0,1517.0,1548.0,516715,111
2001-04-15,1557.0,1544.0,1544.0,1580.0,483322,139
2001-04-16,1566.0,1600.0,1562.0,1610.0,1116013,243
2001-04-17,1585.0,1600.0,1585.0,1603.0,1923699,176
2001-04-18,1631.0,1610.0,1610.0,1631.0,20050,6
2001-04-21,1661.0,1712.0,1652.0,1712.0,2172289,519
2001-04-22,1700.0,1737.0,1680.0,1737.0,1763120,453
2001-04-23,1700.0,1715.0,1700.0,1735.0,1208489,310
2001-04-24,1736.0,1730.0,1720.0,1754.0,387690,131
2001-04-25,1800.0,1800.0,1779.0,1822.0,764033,206
2001-04-28,1818.0,1890.0,1800.0,1890.0,2963252,592
2001-04-29,1870.0,1870.0,1861.0,1893.0,134282,73
2001-04-30,1870.0,1920.0,1870.0,1925.0,1062585,345
2001-05-01,1800.0,1840.0,1781.0,1870.0,305059,151
2001-05-02,1774.0,1794.0,1731.0,1794.0,413643,186
2001-05-05,1768.0,1770.0,1740.0,1774.0,204004,101
2001-05-06,1770.0,1750.0,1750.0,1800.0,246020,93
2001-05-07,1801.0,1780.0,1771.0,1801.0,670269,166
2001-05-08,1850.0,1800.0,1800.0,1870.0,377823,125
2001-05-09,1850.0,1870.0,1850.0,1920.0,1203720,278
2001-05-12,1825.0,1857.0,1825.0,1872.0,264819,89
2001-05-13,1799.0,1825.0,1770.0,1825.0,202891,93
2001-05-15,1789.0,1786.0,1780.0,1800.0,162120,76
2001-05-16,1800.0,1783.0,1770.0,1801.0,301435,124
2001-05-19,1820.0,1800.0,1800.0,1841.0,233245,75
2001-05-20,1820.0,1830.0,1814.0,1847.0,225291,111
2001-05-21,1800.0,1820.0,1798.0,1821.0,211416,103
2001-05-23,1812.0,1815.0,1800.0,1820.0,59481,41
2001-05-26,1831.0,1811.0,1810.0,1844.0,320873,93
2001-05-27,1855.0,1849.0,1832.0,1880.0,1464320,252
2001-05-28,1844.0,1853.0,1840.0,1870.0,367963,93
2001-05-29,1811.0,1839.0,1800.0,1839.0,271000,89
2001-05-30,1800.0,1811.0,1799.0,1820.0,226879,80
2001-06-02,1823.0,1800.0,1800.0,1823.0,197684,93
2001-06-03,1830.0,1824.0,1820.0,1835.0,186349,78
2001-06-06,1831.0,1840.0,1830.0,1860.0,409449,125
2001-06-09,1838.0,1854.0,1838.0,1860.0,296571,114
2001-06-11,1840.0,1855.0,1840.0,1860.0,401735,93
2001-06-12,1860.0,1880.0,1849.0,1883.0,502766,124
2001-06-13,1860.0,1870.0,1860.0,1880.0,284830,63
2001-06-16,1850.0,1862.0,1835.0,1862.0,156859,52
2001-06-17,1800.0,1821.0,1799.0,1822.0,137288,55
2001-06-18,1800.0,1800.0,1789.0,1800.0,218029,76
2001-06-19,1820.0,1799.0,1799.0,1820.0,161438,63
2001-06-20,1852.0,1806.0,1801.0,1855.0,1509553,68
2001-06-23,1860.0,1919.0,1853.0,1920.0,666579,140
2001-06-24,1862.0,1882.0,1860.0,1890.0,1090125,259
2001-06-25,1825.0,1863.0,1825.0,1863.0,255698,98
2001-06-26,1824.0,1824.0,1811.0,1825.0,178003,75
2001-06-27,1825.0,1823.0,1820.0,1830.0,381246,106
2001-06-30,1820.0,1825.0,1800.0,1850.0,409346,115
2001-07-01,1824.0,1819.0,1819.0,1830.0,1265086,225
2001-07-02,1819.0,1822.0,1811.0,1822.0,268557,75
2001-07-03,1820.0,1819.0,1815.0,1825.0,135983,74
2001-07-04,1813.0,1820.0,1813.0,1825.0,281075,65
2001-07-07,1814.0,1810.0,1810.0,1820.0,951661,162
2001-07-08,1840.0,1820.0,1820.0,1850.0,284386,72
2001-07-09,1840.0,1870.0,1840.0,1880.0,749210,145
2001-07-10,1869.0,1859.0,1840.0,1869.0,187322,82
2001-07-11,1845.0,1870.0,1841.0,1880.0,666808,192
