Date,Close,Open,Low,High,Volume,Trades
2001-03-27,1048.0,1048.0,1030.0,1048.0,4200,4
2001-03-28,1046.0,1046.0,1020.0,1046.0,3742,3
2001-03-31,1040.0,1040.0,1040.0,1040.0,4791,2
2001-04-07,1040.0,1039.0,1039.0,1040.0,15330,4
2001-04-08,1050.0,1040.0,1040.0,1050.0,90728,23
2001-04-09,1050.0,1052.0,1050.0,1052.0,60150,18
2001-04-10,1060.0,1061.0,1060.0,1061.0,18918,6
2001-04-11,1061.0,1060.0,1060.0,1061.0,360,2
2001-04-14,1070.0,1070.0,1070.0,1070.0,201,1
2001-04-15,1085.0,1082.0,1082.0,1086.0,7000,3
2001-04-16,1139.0,1112.0,1100.0,1139.0,71850,18
2001-04-17,1195.0,1144.0,1144.0,1195.0,237700,41
2001-04-18,1254.0,1254.0,1254.0,1254.0,10752,4
2001-04-21,1316.0,1316.0,1316.0,1316.0,1427000,209
2001-04-22,1316.0,1316.0,1315.0,1317.0,941726,191
2001-04-23,1320.0,1339.0,1318.0,1340.0,1389990,49
2001-04-24,1300.0,1320.0,1300.0,1320.0,101030,31
2001-04-25,1300.0,1300.0,1300.0,1300.0,71538,23
2001-04-28,1280.0,1300.0,1280.0,1300.0,83819,19
2001-04-29,1279.0,1278.0,1261.0,1279.0,179889,37
2001-04-30,1300.0,1280.0,1280.0,1310.0,95853,37
2001-05-01,1280.0,1300.0,1280.0,1300.0,93914,26
2001-05-02,1300.0,1280.0,1280.0,1300.0,32714,44
2001-05-05,1283.0,1300.0,1282.0,1300.0,24932,9
2001-05-06,1300.0,1285.0,1283.0,1300.0,144991,40
2001-05-07,1309.0,1300.0,1300.0,1310.0,235462,63
2001-05-08,1310.0,1309.0,1300.0,1310.0,263767,36
2001-05-09,1321.0,1310.0,1308.0,1330.0,536772,60
2001-05-12,1351.0,1351.0,1347.0,1351.0,31700,11
2001-05-13,1360.0,1376.0,1359.0,1400.0,230859,59
2001-05-15,1402.0,1376.0,1360.0,1410.0,308742,60
2001-05-16,1451.0,1450.0,1410.0,1455.0,422000,97
2001-05-19,1407.0,1470.0,1407.0,1470.0,153315,53
2001-05-23,1421.0,1407.0,1407.0,1421.0,76165,15
2001-05-26,1492.0,1440.0,1440.0,1492.0,706571,162
2001-05-27,1520.0,1565.0,1507.0,1566.0,259186,73
2001-05-28,1505.0,1550.0,1503.0,1560.0,379041,101
2001-05-29,1496.0,1497.0,1460.0,1500.0,151115,61
2001-05-30,1480.0,1480.0,1460.0,1482.0,203220,59
