,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Feel
0,0,0,0,0,0,524561984789155840,524561984789155840,1413900297000,2014-10-21,17:34:57,430,2778040873,hibourse,hibourse,,"نمادهای با  #بیشترین #کاهش قیمت:
#غدام ۳.۹۸
#قزوین ۳.۹۱
#بالبر ۳.۹
#تکشا ۳.۸۶
#رکیش ۳.۸۶
#لسرما ۳.۸۳
#TSE
#هایبورس
#بورس",[],[],[],0,0,0,"['#بیشترین', '#کاهش', '#غدام', '#قزوین', '#بالبر', '#تکشا', '#رکیش', '#لسرما', '#tse', '#هایبورس', '#بورس']",[],https://twitter.com/hibourse/status/524561984789155840,False,,0,,,,,,,"[{'user_id': '2778040873', 'username': 'hibourse'}]",,,,,0.6593050956726074
1,1,1,1,1,1,702397162282459136,702397162282459136,1456299508000,2016-02-24,11:08:28,430,2463165061,bourseiness,بورسینس,,بازگشايي نمادهاي معاملاتي #خنصيركلوند،#لسرما،#غدشت ،#غپاك،#كپارس،#قمرو  http://goo.gl/fb/zNeNxA  #اقتصاد #بورس,[],['http://goo.gl/fb/zNeNxA'],[],0,0,0,"['#خنصيركلوند', '#لسرما', '#غدشت', '#غپاك', '#كپارس', '#قمرو', '#اقتصاد', '#بورس']",[],https://twitter.com/bourseiness/status/702397162282459136,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9846090078353882
2,2,2,2,2,2,703456525579395072,703456525579395072,1456552079000,2016-02-27,09:17:59,430,2463165061,bourseiness,بورسینس,,حراج مجدد نمادهاي معاملاتي #خنصيركلوند،#لسرما،#غدشت،#كپارس،#قمرو  http://goo.gl/fb/gOuk4I  #اقتصاد,[],['http://goo.gl/fb/gOuk4I'],[],0,0,0,"['#خنصيركلوند', '#لسرما', '#غدشت', '#كپارس', '#قمرو', '#اقتصاد']",[],https://twitter.com/bourseiness/status/703456525579395072,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912059903144836
3,3,3,3,3,3,716117615823990785,716117615823990785,1459570719000,2016-04-02,08:48:39,430,2463165061,bourseiness,بورسینس,,👇 #لسرما ۱۴فروردین همانطور که مشاهده می کنید نمودار سهم داخل یک کانال صعودی…  http://goo.gl/fb/4aJpKt  #اقتصاد,[],['http://goo.gl/fb/4aJpKt'],[],0,0,0,"['#لسرما', '#اقتصاد']",[],https://twitter.com/bourseiness/status/716117615823990785,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.6912378072738647
4,4,4,4,4,4,746566044442071040,746566044442071040,1466830190000,2016-06-25,09:19:50,430,2463165061,bourseiness,بورسینس,,نمادهای #کیمیا #ساینا #وغدیر #قشکر #جم #لسرما #قزوین در کف ماهیانه خود هستند در…  http://goo.gl/fb/4wCFoI  #اقتصاد,[],['http://goo.gl/fb/4wCFoI'],[],0,0,0,"['#کیمیا', '#ساینا', '#وغدیر', '#قشکر', '#جم', '#لسرما', '#قزوین', '#اقتصاد']",[],https://twitter.com/bourseiness/status/746566044442071040,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.710720419883728
5,5,5,5,5,5,990450693994696710,990450693994696710,1524976821000,2018-04-29,09:10:21,430,986116312920453120,abandidgah,دیدگاه آبان,,"نمادهای #ثعمرا، #لسرما، #فزرین و #غگلستا به دليل افشاي اطلاعات با اهميت متوقف شدند.
#بورس",[],[],[],0,0,0,"['#ثعمرا', '#لسرما', '#فزرین', '#غگلستا', '#بورس']",[],https://twitter.com/abandidgah/status/990450693994696710,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9910508394241332
6,6,6,6,6,6,1014365749228404736,1014365749228404736,1530678615000,2018-07-04,09:00:15,430,986116312920453120,abandidgah,دیدگاه آبان,,"#لسرما
بررسی #اطلاعیه 97/04/13
* صنايع سرما آفرين ايران*
12ماهه منتهی به 96/12/29 (حسابرسی نشده) مبلغ 157 ریال سود به ازای هر سهم محقق گردید 
30% افزایش سود نسبت به سال مالی 95
درصد پوشش سود: 85 درصد 
#بورس",[],[],[],0,0,0,"['#لسرما', '#اطلاعیه', '#بورس']",[],https://twitter.com/abandidgah/status/1014365749228404736,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9982019662857056
7,7,7,7,7,7,1014463681852141573,1014463681852141573,1530701964000,2018-07-04,15:29:24,430,986116312920453120,abandidgah,دیدگاه آبان,,"کاهش حاشیه سود ناخالص #لسرما در سال ۹۶
صنايع سرما آفرين ايران در  سال مالی ۹۶ با سرمایه ۱۴۸ میلیارد ریالی، سود هر سهم خود را با افزایش ۳۰ درصدی نسبت به سال ۹۵ به ۱۵۷ ریال افزایش داده است که این مبلغ نسبت به آنچه در بودجه ....ادامه در https://bit.ly/2MOk99b 
#تحلیل_اطلاعیه #بورس pic.twitter.com/LxAZ16iP55",[],['https://bit.ly/2MOk99b'],['https://pbs.twimg.com/media/DhQZN2hVAAAHnLF.jpg'],0,0,0,"['#لسرما', '#تحلیل_اطلاعیه', '#بورس']",[],https://twitter.com/abandidgah/status/1014463681852141573,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.3723867833614349
8,8,8,8,8,8,1016952812008161280,1016952812008161280,1531295419000,2018-07-11,12:20:19,430,986116312920453120,abandidgah,دیدگاه آبان,,"#لسرما
بررسی #اطلاعیه 97/04/20
*صنايع سرما آفرين ايران*
آگهی دعوت به مجمع عمومی عادی سالیانه       
در ساعت 8:00 روز شنبه مورخ 1397/04/30 
درمحل تهران، خيابان خرمشهر، پلاک 194 طبقه همکف
#بورس",[],[],[],0,0,0,"['#لسرما', '#اطلاعیه', '#بورس']",[],https://twitter.com/abandidgah/status/1016952812008161280,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9985831975936892
9,9,9,9,9,9,1019106601662156801,1019106601662156801,1531808922000,2018-07-17,10:58:42,430,986116312920453120,abandidgah,دیدگاه آبان,,"* توقف نماد *
#فولاد #كهرام #سصفها #ونيرو #وتوشه #لابسا #غبهنوش #شفن #کحافظ #کدما #لسرما #کحافظ
جهت برگزاري مجمع عمومي عادي ساليانه به منظور تصويب صورت هاي مالي 
#بورس",[],[],[],0,0,0,"['#فولاد', '#كهرام', '#سصفها', '#ونيرو', '#وتوشه', '#لابسا', '#غبهنوش', '#شفن', '#کحافظ', '#کدما', '#لسرما', '#کحافظ', '#بورس']",[],https://twitter.com/abandidgah/status/1019106601662156801,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.985651969909668
