,Date,Trend
0,2015-08-23,20
1,2015-08-30,0
2,2015-09-06,7
3,2015-09-13,7
4,2015-09-20,0
5,2015-09-27,7
6,2015-10-04,7
7,2015-10-11,10
8,2015-10-18,0
9,2015-10-25,16
10,2015-11-01,0
11,2015-11-08,6
12,2015-11-15,0
13,2015-11-22,0
14,2015-11-29,6
15,2015-12-06,7
16,2015-12-13,13
17,2015-12-20,0
18,2015-12-27,0
19,2016-01-03,14
20,2016-01-10,7
21,2016-01-17,7
22,2016-01-24,7
23,2016-01-31,14
24,2016-02-07,7
25,2016-02-14,0
26,2016-02-21,7
27,2016-02-28,7
28,2016-03-06,7
29,2016-03-13,7
30,2016-03-20,7
31,2016-03-27,7
32,2016-04-03,7
33,2016-04-10,7
34,2016-04-17,10
35,2016-04-24,9
36,2016-05-01,7
37,2016-05-08,7
38,2016-05-15,7
39,2016-05-22,14
40,2016-05-29,14
41,2016-06-05,7
42,2016-06-12,10
43,2016-06-19,14
44,2016-06-26,0
45,2016-07-03,7
46,2016-07-10,7
47,2016-07-17,7
48,2016-07-24,0
49,2016-07-31,7
50,2016-08-07,7
51,2016-08-14,8
52,2016-08-21,11
53,2016-08-28,7
54,2016-09-04,7
55,2016-09-11,7
56,2016-09-18,9
57,2016-09-25,11
58,2016-10-02,10
59,2016-10-09,7
60,2016-10-16,9
61,2016-10-23,24
62,2016-10-30,14
63,2016-11-06,7
64,2016-11-13,13
65,2016-11-20,7
66,2016-11-27,6
67,2016-12-04,15
68,2016-12-11,7
69,2016-12-18,21
70,2016-12-25,7
71,2017-01-01,7
72,2017-01-08,0
73,2017-01-15,16
74,2017-01-22,9
75,2017-01-29,6
76,2017-02-05,6
77,2017-02-12,15
78,2017-02-19,6
79,2017-02-26,0
80,2017-03-05,6
81,2017-03-12,6
82,2017-03-19,0
83,2017-03-26,6
84,2017-04-02,12
85,2017-04-09,10
86,2017-04-16,8
87,2017-04-23,9
88,2017-04-30,13
89,2017-05-07,12
90,2017-05-14,0
91,2017-05-21,7
92,2017-05-28,27
93,2017-06-04,7
94,2017-06-11,7
95,2017-06-18,13
96,2017-06-25,0
97,2017-07-02,14
98,2017-07-09,17
99,2017-07-16,10
100,2017-07-23,7
101,2017-07-30,11
102,2017-08-06,10
103,2017-08-13,10
104,2017-08-20,6
105,2017-08-27,7
106,2017-09-03,6
107,2017-09-10,6
108,2017-09-17,6
109,2017-09-24,0
110,2017-10-01,13
111,2017-10-08,13
112,2017-10-15,0
113,2017-10-22,12
114,2017-10-29,0
115,2017-11-05,6
116,2017-11-12,6
117,2017-11-19,6
118,2017-11-26,6
119,2017-12-03,6
120,2017-12-10,6
121,2017-12-17,6
122,2017-12-24,10
123,2017-12-31,6
124,2018-01-07,6
125,2018-01-14,6
126,2018-01-21,6
127,2018-01-28,6
128,2018-02-04,10
129,2018-02-11,12
130,2018-02-18,0
131,2018-02-25,6
132,2018-03-04,6
133,2018-03-11,0
134,2018-03-18,12
135,2018-03-25,6
136,2018-04-01,9
137,2018-04-08,0
138,2018-04-15,0
139,2018-04-22,6
140,2018-04-29,6
141,2018-05-06,6
142,2018-05-13,6
143,2018-05-20,6
144,2018-05-27,6
145,2018-06-03,9
146,2018-06-10,10
147,2018-06-17,9
148,2018-06-24,6
149,2018-07-01,14
150,2018-07-08,6
151,2018-07-15,0
152,2018-07-22,9
153,2018-07-29,9
154,2018-08-05,6
155,2018-08-12,6
156,2018-08-19,6
157,2018-08-26,12
158,2018-09-02,8
159,2018-09-09,9
160,2018-09-16,17
161,2018-09-23,10
162,2018-09-30,9
163,2018-10-07,12
164,2018-10-14,18
165,2018-10-21,6
166,2018-10-28,12
167,2018-11-04,6
168,2018-11-11,6
169,2018-11-18,8
170,2018-11-25,10
171,2018-12-02,12
172,2018-12-09,15
173,2018-12-16,9
174,2018-12-23,7
175,2018-12-30,15
176,2019-01-06,6
177,2019-01-13,8
178,2019-01-20,17
179,2019-01-27,15
180,2019-02-03,0
181,2019-02-10,6
182,2019-02-17,11
183,2019-02-24,9
184,2019-03-03,8
185,2019-03-10,19
186,2019-03-17,10
187,2019-03-24,10
188,2019-03-31,9
189,2019-04-07,23
190,2019-04-14,10
191,2019-04-21,14
192,2019-04-28,19
193,2019-05-05,10
194,2019-05-12,17
195,2019-05-19,9
196,2019-05-26,28
197,2019-06-02,6
198,2019-06-09,13
199,2019-06-16,6
200,2019-06-23,8
201,2019-06-30,13
202,2019-07-07,11
203,2019-07-14,11
204,2019-07-21,18
205,2019-07-28,12
206,2019-08-04,18
207,2019-08-11,19
208,2019-08-18,27
209,2019-08-25,32
210,2019-09-01,22
211,2019-09-08,16
212,2019-09-15,20
213,2019-09-22,23
214,2019-09-29,16
215,2019-10-06,16
216,2019-10-13,13
217,2019-10-20,18
218,2019-10-27,20
219,2019-11-03,10
220,2019-11-10,18
221,2019-11-17,5
222,2019-11-24,9
223,2019-12-01,21
224,2019-12-08,20
225,2019-12-15,27
226,2019-12-22,25
227,2019-12-29,37
228,2020-01-05,21
229,2020-01-12,28
230,2020-01-19,38
231,2020-01-26,34
232,2020-02-02,49
233,2020-02-09,42
234,2020-02-16,24
235,2020-02-23,47
236,2020-03-01,42
237,2020-03-08,44
238,2020-03-15,33
239,2020-03-22,35
240,2020-03-29,20
241,2020-04-05,42
242,2020-04-12,60
243,2020-04-19,52
244,2020-04-26,54
245,2020-05-03,71
246,2020-05-10,66
247,2020-05-17,67
248,2020-05-24,28
249,2020-05-31,38
250,2020-06-07,39
251,2020-06-14,43
252,2020-06-21,78
253,2020-06-28,70
254,2020-07-05,100
255,2020-07-12,99
256,2020-07-19,99
257,2020-07-26,91
258,2020-08-02,90
259,2020-08-09,76
