Date,Close,Open,Low,High,Volume,Trades
2007-11-27,5050.0,5050.0,5050.0,5050.0,2468031,415
2007-11-28,4954.0,5050.0,4949.0,5050.0,86109,25
2007-12-01,5025.0,5049.0,5025.0,5050.0,30101,9
2007-12-02,5025.0,5025.0,5025.0,5025.0,486,1
2007-12-08,5053.0,5124.0,5025.0,5124.0,31410,28
2007-12-09,5129.0,5121.0,5121.0,5130.0,43010,7
2007-12-12,5129.0,5130.0,5129.0,5130.0,5010,4
2007-12-22,5129.0,5129.0,5129.0,5129.0,1000,1
2007-12-23,5129.0,5129.0,5129.0,5129.0,5000,1
2007-12-25,5138.0,5230.0,5138.0,5230.0,3602,3
2007-12-26,5164.0,5240.0,5164.0,5240.0,10010,2
2007-12-30,5267.0,5267.0,5267.0,5267.0,40000,5
2007-12-31,5372.0,5372.0,5372.0,5372.0,66150,17
2008-01-01,5479.0,5479.0,5479.0,5479.0,157000,48
2008-01-02,5588.0,5588.0,5588.0,5588.0,225000,55
2008-01-05,5698.0,5699.0,5690.0,5699.0,376865,113
2008-01-06,5698.0,5700.0,5698.0,5701.0,9490,4
2008-01-08,5692.0,5700.0,5585.0,5700.0,2121,4
2008-01-09,5628.0,5579.0,5579.0,5805.0,103415,32
2008-01-12,5629.0,5632.0,5629.0,5632.0,14230,4
2008-01-13,5599.0,5517.0,5517.0,5599.0,11010,8
2008-01-16,5488.0,5488.0,5488.0,5488.0,41000,14
2008-01-20,5379.0,5379.0,5379.0,5379.0,42771,17
2008-01-26,5372.0,5275.0,5275.0,5372.0,2542,6
2008-01-27,5359.0,5265.0,5265.0,5359.0,5010,3
2008-01-28,5354.0,5252.0,5252.0,5354.0,1904,2
2008-02-02,5344.0,5247.0,5247.0,5344.0,3802,5
2008-02-04,5314.0,5238.0,5238.0,5314.0,11210,7
2008-02-09,5295.0,5208.0,5208.0,5295.0,7010,5
2008-02-16,5295.0,5294.0,5294.0,5295.0,1210,2
2008-02-20,5295.0,5290.0,5290.0,5295.0,1010,2
2008-02-26,5295.0,5285.0,5285.0,5295.0,1010,2
2008-03-01,5292.0,5190.0,5190.0,5292.0,1210,2
2008-03-02,5289.0,5187.0,5187.0,5289.0,1010,2
2008-03-10,5283.0,5184.0,5184.0,5283.0,2210,3
2008-03-12,5234.0,5181.0,5181.0,5234.0,19130,7
2008-03-29,5233.0,5130.0,5130.0,5233.0,210,2
2008-04-09,5129.0,5129.0,5129.0,5129.0,350,2
2008-04-13,5027.0,5027.0,5027.0,5027.0,1000,1
2008-04-19,4927.0,4927.0,4927.0,4927.0,100,1
2008-04-21,4829.0,4829.0,4829.0,4829.0,40000,9
2008-04-26,4826.0,4733.0,4733.0,4826.0,1154,4
2008-04-28,4812.0,4730.0,4730.0,4812.0,6010,5
2008-04-29,4798.0,4716.0,4716.0,4798.0,6010,2
2008-04-30,4710.0,4797.0,4703.0,4797.0,64576,16
2008-05-04,4722.0,4804.0,4722.0,4804.0,5010,4
2008-05-05,4816.0,4816.0,4816.0,4816.0,40000,7
2008-05-06,4818.0,4912.0,4818.0,4912.0,1010,2
2008-05-12,4890.0,4962.0,4890.0,4962.0,20010,6
2008-05-18,4700.0,4700.0,4700.0,4700.0,2000,1
2008-05-19,4700.0,4700.0,4700.0,4710.0,19859,17
2008-05-20,4811.0,4841.0,4700.0,4841.0,50010,10
2008-05-21,4812.0,4835.0,4701.0,4835.0,1890,3
2008-05-24,4815.0,4828.0,4815.0,4829.0,9749,5
2008-05-25,4791.0,4720.0,4720.0,4791.0,10010,3
2008-05-26,4784.0,4720.0,4720.0,4784.0,3904,4
2008-05-27,4820.0,4799.0,4799.0,4840.0,33870,9
2008-05-28,4906.0,4925.0,4906.0,4926.0,32805,11
2008-05-31,4922.0,4926.0,4922.0,4926.0,31010,10
2008-06-01,4923.0,4927.0,4923.0,4927.0,9772,3
2008-06-02,4963.0,4974.0,4963.0,4978.0,30010,8
2008-06-09,4963.0,4970.0,4963.0,4970.0,205,2
2008-06-21,4959.0,4900.0,4900.0,4959.0,2242,2
2008-06-29,4955.0,4811.0,4811.0,4955.0,1010,2
2008-06-30,4807.0,4807.0,4807.0,4807.0,46817,9
2008-07-01,4810.0,4811.0,4810.0,4811.0,32322,7
2008-07-07,4814.0,4954.0,4814.0,4954.0,1010,2
2008-07-15,4815.0,4958.0,4815.0,4958.0,210,2
2008-07-22,4959.0,4959.0,4959.0,4959.0,10100,5
2008-07-23,4959.0,5107.0,4959.0,5107.0,110,2
2008-07-26,5107.0,5107.0,5107.0,5107.0,50,1
2008-07-27,5260.0,5260.0,5260.0,5260.0,50,1
2008-07-28,5417.0,5417.0,5417.0,5417.0,50,1
2008-07-29,5579.0,5579.0,5579.0,5579.0,8241,4
2008-08-02,5746.0,5746.0,5746.0,5746.0,50,1
2008-08-03,5918.0,5918.0,5918.0,5918.0,40000,4
2008-08-04,6094.0,6095.0,6094.0,6095.0,137152,46
2008-08-05,6098.0,6098.0,6093.0,6099.0,35611,13
2008-08-06,6091.0,6095.0,6000.0,6097.0,11093,11
2008-08-10,6086.0,5909.0,5909.0,6086.0,1010,2
2008-08-11,6075.0,5909.0,5904.0,6100.0,3071,6
2008-08-12,5921.0,6000.0,5893.0,6073.0,48162,12
2008-08-13,5917.0,5744.0,5744.0,5917.0,837,2
2008-08-24,5937.0,5917.0,5917.0,5999.0,10210,3
2008-08-30,5937.0,5937.0,5937.0,5937.0,1350010,2
2008-09-07,5925.0,5759.0,5759.0,5925.0,2671,2
2008-09-21,5943.0,5743.0,5743.0,6200.0,100010,23
2008-09-29,5936.0,5767.0,5767.0,5936.0,1650,3
2008-10-05,5935.0,5766.0,5766.0,5935.0,285,2
2008-10-08,5757.0,5757.0,5757.0,5757.0,46317,10
2008-10-12,5675.0,5585.0,5585.0,5675.0,19010,5
2008-10-19,5651.0,5579.0,5579.0,5651.0,10010,5
2008-11-03,5627.0,5585.0,5585.0,5651.0,1010,3
2008-11-05,5636.0,5649.0,5636.0,5649.0,16710,4
2008-11-08,5622.0,5467.0,5467.0,5622.0,3310,2
2008-11-10,5611.0,5454.0,5454.0,5622.0,7526,4
2008-11-12,5611.0,5611.0,5611.0,5611.0,1000,1
2008-11-15,5612.0,5670.0,5612.0,5670.0,1010,2
2008-11-16,5614.0,5675.0,5614.0,5675.0,1010,2
2008-11-18,5616.0,5675.0,5616.0,5675.0,1010,2
2008-11-22,5613.0,5611.0,5600.0,5613.0,10010,4
2008-11-23,5612.0,5500.0,5500.0,5612.0,345,3
2008-11-24,5603.0,5500.0,5445.0,5603.0,3072,4
2008-11-29,5602.0,5435.0,5435.0,5602.0,245,2
2008-12-30,5602.0,5434.0,5434.0,5434.0,99,1
2008-12-31,5597.0,5434.0,5434.0,5434.0,1269,1
2009-04-22,5597.0,5430.0,5430.0,5430.0,100,1
2009-05-03,5593.0,5430.0,5430.0,5430.0,900,1
2009-05-04,5592.0,5426.0,5426.0,5426.0,300,1
2009-05-16,5592.0,5759.0,5759.0,5759.0,100,1
2009-05-23,5594.0,5759.0,5759.0,5759.0,518,2
2009-06-02,4500.0,4500.0,4500.0,4500.0,1200,1
2009-06-16,4499.0,4400.0,4400.0,4400.0,500,1
2009-06-22,4493.0,4400.0,4400.0,4400.0,2600,1
2009-07-28,4470.0,4401.0,4401.0,4401.0,9858,1
2009-08-25,4436.0,4400.0,4400.0,4400.0,19190,4
2009-08-30,4569.0,4569.0,4569.0,4569.0,40000,4
2009-08-31,4706.0,4706.0,4706.0,4706.0,40000,8
2009-09-06,4713.0,4847.0,4847.0,4847.0,2000,1
2009-09-07,4854.0,4854.0,4854.0,4854.0,200000,40
2009-09-08,4999.0,4999.0,4999.0,4999.0,230000,23
2009-09-09,5148.0,5148.0,5148.0,5148.0,40000,4
2009-09-13,5302.0,5302.0,5302.0,5302.0,40000,4
2009-09-14,5461.0,5461.0,5461.0,5461.0,40000,4
2009-09-15,5624.0,5624.0,5624.0,5624.0,40300,10
2009-09-16,5791.0,5792.0,5784.0,5792.0,234000,70
2009-09-22,5742.0,5770.0,5618.0,5770.0,20000,2
2009-09-23,5635.0,5570.0,5570.0,5789.0,178981,36
2009-09-27,5627.0,5466.0,5466.0,5635.0,6000,3
2009-10-05,5784.0,5785.0,5785.0,5795.0,38265,9
2009-10-10,5799.0,5957.0,5957.0,5957.0,3570,2
2009-10-19,5804.0,5972.0,5972.0,5972.0,1200,1
2010-03-06,5812.0,6007.0,6007.0,6007.0,1630,1
2010-05-09,5807.0,5609.0,5609.0,5609.0,1000,1
2010-05-15,5792.0,5604.0,5604.0,5604.0,2998,1
2010-05-22,4593.0,4500.0,4500.0,4752.0,2717,2
2010-05-30,4749.0,4753.0,4753.0,4753.0,39000,3
2010-06-01,4763.0,4915.0,4915.0,4915.0,3410,1
2010-06-06,4763.0,4764.0,4764.0,4764.0,4220,1
