,Date,Trend
0,2015-08-09,12
1,2015-08-16,20
2,2015-08-23,12
3,2015-08-30,23
4,2015-09-06,15
5,2015-09-13,23
6,2015-09-20,15
7,2015-09-27,11
8,2015-10-04,0
9,2015-10-11,17
10,2015-10-18,17
11,2015-10-25,17
12,2015-11-01,17
13,2015-11-08,0
14,2015-11-15,16
15,2015-11-22,11
16,2015-11-29,0
17,2015-12-06,11
18,2015-12-13,11
19,2015-12-20,0
20,2015-12-27,19
21,2016-01-03,12
22,2016-01-10,23
23,2016-01-17,12
24,2016-01-24,29
25,2016-01-31,27
26,2016-02-07,23
27,2016-02-14,23
28,2016-02-21,19
29,2016-02-28,19
30,2016-03-06,23
31,2016-03-13,0
32,2016-03-20,12
33,2016-03-27,17
34,2016-04-03,17
35,2016-04-10,23
36,2016-04-17,12
37,2016-04-24,11
38,2016-05-01,12
39,2016-05-08,11
40,2016-05-15,0
41,2016-05-22,12
42,2016-05-29,12
43,2016-06-05,12
44,2016-06-12,12
45,2016-06-19,18
46,2016-06-26,0
47,2016-07-03,25
48,2016-07-10,12
49,2016-07-17,12
50,2016-07-24,0
51,2016-07-31,13
52,2016-08-07,17
53,2016-08-14,13
54,2016-08-21,13
55,2016-08-28,12
56,2016-09-04,12
57,2016-09-11,0
58,2016-09-18,18
59,2016-09-25,0
60,2016-10-02,12
61,2016-10-09,24
62,2016-10-16,12
63,2016-10-23,18
64,2016-10-30,29
65,2016-11-06,11
66,2016-11-13,17
67,2016-11-20,15
68,2016-11-27,11
69,2016-12-04,11
70,2016-12-11,17
71,2016-12-18,18
72,2016-12-25,12
73,2017-01-01,11
74,2017-01-08,0
75,2017-01-15,27
76,2017-01-22,22
77,2017-01-29,16
78,2017-02-05,11
79,2017-02-12,11
80,2017-02-19,27
81,2017-02-26,21
82,2017-03-05,16
83,2017-03-12,0
84,2017-03-19,0
85,2017-03-26,0
86,2017-04-02,21
87,2017-04-09,17
88,2017-04-16,43
89,2017-04-23,21
90,2017-04-30,18
91,2017-05-07,11
92,2017-05-14,0
93,2017-05-21,0
94,2017-05-28,23
95,2017-06-04,22
96,2017-06-11,34
97,2017-06-18,22
98,2017-06-25,17
99,2017-07-02,18
100,2017-07-09,12
101,2017-07-16,19
102,2017-07-23,19
103,2017-07-30,0
104,2017-08-06,17
105,2017-08-13,11
106,2017-08-20,17
107,2017-08-27,17
108,2017-09-03,0
109,2017-09-10,11
110,2017-09-17,11
111,2017-09-24,0
112,2017-10-01,11
113,2017-10-08,21
114,2017-10-15,11
115,2017-10-22,11
116,2017-10-29,11
117,2017-11-05,21
118,2017-11-12,16
119,2017-11-19,21
120,2017-11-26,0
121,2017-12-03,21
122,2017-12-10,10
123,2017-12-17,11
124,2017-12-24,0
125,2017-12-31,22
126,2018-01-07,10
127,2018-01-14,15
128,2018-01-21,0
129,2018-01-28,0
130,2018-02-04,0
131,2018-02-11,0
132,2018-02-18,20
133,2018-02-25,13
134,2018-03-04,0
135,2018-03-11,15
136,2018-03-18,0
137,2018-03-25,10
138,2018-04-01,0
139,2018-04-08,10
140,2018-04-15,0
141,2018-04-22,0
142,2018-04-29,14
143,2018-05-06,0
144,2018-05-13,15
145,2018-05-20,10
146,2018-05-27,10
147,2018-06-03,0
148,2018-06-10,10
149,2018-06-17,25
150,2018-06-24,15
151,2018-07-01,10
152,2018-07-08,20
153,2018-07-15,10
154,2018-07-22,10
155,2018-07-29,24
156,2018-08-05,15
157,2018-08-12,10
158,2018-08-19,10
159,2018-08-26,13
