Date,Close,Open,Low,High,Volume,Trades
2005-05-15,8500.0,8500.0,8500.0,8500.0,490400,1223
2005-05-16,8925.0,8925.0,8925.0,8925.0,129600,109
2005-06-07,11082.0,10000.0,9371.0,13000.0,228752,483
2005-06-08,11636.0,11636.0,11636.0,11636.0,15000,40
2005-06-11,12217.0,12217.0,12217.0,12217.0,15051,20
2005-06-12,12827.0,12827.0,12827.0,12827.0,22720,33
2005-06-13,13283.0,12900.0,12305.0,13468.0,362263,542
2005-06-14,13946.0,13947.0,13946.0,13947.0,147669,126
2005-06-15,14615.0,14643.0,14310.0,14643.0,41310,98
2005-06-18,15299.0,15345.0,15001.0,15345.0,47373,101
2005-06-19,14536.0,14700.0,14535.0,14700.0,13784,23
2005-06-20,14445.0,13810.0,13810.0,15262.0,232919,185
2005-06-21,15167.0,15167.0,15167.0,15167.0,84945,65
2005-06-22,15918.0,15925.0,15870.0,15925.0,34554,49
2005-07-05,15123.0,15123.0,15123.0,15123.0,8000,1
2005-07-06,14367.0,14367.0,14367.0,14367.0,10000,8
2005-07-09,13650.0,13649.0,13649.0,13677.0,214347,173
2005-07-11,13043.0,13330.0,12968.0,13339.0,54662,60
2005-07-12,13327.0,13500.0,12502.0,13695.0,49173,68
2005-07-13,13347.0,13550.0,13000.0,13991.0,15245,44
2005-07-16,13227.0,13148.0,12800.0,13485.0,15504,28
2005-07-17,13196.0,13100.0,12800.0,13450.0,21066,26
2005-07-18,13182.0,12952.0,12924.0,13450.0,57170,39
2005-07-19,13131.0,13330.0,12803.0,13449.0,31458,29
2005-07-20,13334.0,13400.0,13205.0,13777.0,10410,18
2005-07-23,13326.0,13334.0,13110.0,13400.0,2520,11
2005-07-24,13393.0,13500.0,12686.0,13500.0,10528,24
2005-07-25,13454.0,13399.0,13005.0,13998.0,23665,42
2005-07-26,13436.0,13460.0,13110.0,13650.0,3249,9
2005-07-27,13672.0,13575.0,13570.0,13800.0,20977,21
2005-07-30,13720.0,13800.0,13650.0,13800.0,8033,15
2005-07-31,13739.0,13780.0,13500.0,13780.0,12590,17
2005-08-01,13679.0,13220.0,13220.0,13696.0,8510,13
2005-08-02,13679.0,13694.0,13679.0,13694.0,49,4
2005-08-03,13780.0,13660.0,13653.0,13800.0,166620,37
2005-08-06,13740.0,13780.0,13113.0,13999.0,9146,19
2005-08-07,13818.0,13400.0,13400.0,13889.0,8598,12
2005-08-09,13816.0,13654.0,13654.0,13816.0,70,2
2005-08-10,13804.0,13330.0,13330.0,13804.0,207,5
2005-08-13,13795.0,13637.0,13637.0,13795.0,410,4
2005-08-15,13609.0,13497.0,13260.0,13676.0,3540,15
