Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-04-06,707310,28794316436,556,41700.0,39615.0,40710.0,41570.0,31323.0
2016-04-09,19049,814249505,18,42745.0,42745.0,42745.0,42745.0,40710.0
2016-04-10,38284,1718262488,24,44882.0,44882.0,44882.0,44882.0,42745.0
2016-04-11,140794,6635058044,27,47126.0,47126.0,47126.0,47126.0,44882.0
2016-04-12,33449,1655123418,27,49482.0,49482.0,49482.0,49482.0,47126.0
2016-04-13,37293,1937595108,14,51956.0,51956.0,51956.0,51956.0,49482.0
2016-04-16,1989670,108123717115,1445,54553.0,51110.0,54343.0,51500.0,51956.0
2016-04-17,765864,40847078850,687,56987.0,51626.0,53335.0,55489.0,54343.0
2016-04-18,483867,27043566430,515,56001.0,54555.0,55890.0,56000.0,53335.0
2016-04-19,320088,17190632139,399,57000.0,53096.0,53706.0,53096.0,55890.0
2016-04-20,230575,11946595092,336,54300.0,51021.0,51812.0,52500.0,53706.0
2016-04-23,257197,13466821860,272,53890.0,50700.0,52360.0,50700.0,51812.0
2016-04-24,227527,11471301182,248,51750.0,50005.0,50417.0,50157.0,52360.0
2016-04-25,252785,13352221195,218,52937.0,49005.0,52820.0,52937.0,50417.0
2016-04-26,577277,31927834915,711,55461.0,53500.0,55308.0,55461.0,52820.0
2016-04-27,280192,16139294025,446,58073.0,55461.0,57601.0,58073.0,55308.0
2016-04-30,403650,24209076618,510,60481.0,58073.0,59975.0,60481.0,57601.0
2016-05-01,107667,6749969708,122,62973.0,60700.0,62693.0,62973.0,59975.0
2016-05-02,795229,51556283443,976,65827.0,60101.0,64832.0,64380.0,62693.0
2016-05-03,831547,55705041222,990,68073.0,62000.0,66990.0,67990.0,64832.0
2016-05-04,634816,43697908528,799,70339.0,67000.0,68836.0,70339.0,66990.0
2016-05-07,133770,9663358283,106,72277.0,71009.0,72239.0,72277.0,68836.0
2016-05-08,76884,5831651400,75,75850.0,75850.0,75850.0,75850.0,72239.0
2016-05-09,2369887,171687436353,1380,75850.0,72058.0,72445.0,72058.0,75850.0
2016-05-10,411777,31006023317,535,76067.0,72500.0,75298.0,76067.0,72445.0
2016-05-11,385405,30460630146,539,79062.0,78000.0,79035.0,79062.0,75298.0
2016-05-14,684474,54884430096,1344,82986.0,76104.0,80185.0,78999.0,79035.0
2016-05-15,520132,39839651085,777,79000.0,76176.0,76595.0,76176.0,80185.0
2016-05-16,520023,37938066291,675,74950.0,72766.0,72955.0,72766.0,76595.0
2016-05-17,503938,35613899725,878,74380.0,69308.0,70671.0,69310.0,72955.0
2016-05-18,154921,10531578424,385,70000.0,67138.0,67980.0,67138.0,70671.0
2016-05-21,1581411,107001064662,900,70980.0,64601.0,67662.0,68520.0,67980.0
2016-05-23,838215,56349249204,1089,70880.0,64313.0,67225.0,64800.0,67662.0
