,Date,Trend
0,2015-08-09,5
1,2015-08-16,6
2,2015-08-23,7
3,2015-08-30,7
4,2015-09-06,7
5,2015-09-13,4
6,2015-09-20,6
7,2015-09-27,1
8,2015-10-04,6
9,2015-10-11,3
10,2015-10-18,5
11,2015-10-25,5
12,2015-11-01,5
13,2015-11-08,6
14,2015-11-15,5
15,2015-11-22,7
16,2015-11-29,6
17,2015-12-06,4
18,2015-12-13,7
19,2015-12-20,4
20,2015-12-27,7
21,2016-01-03,8
22,2016-01-10,8
23,2016-01-17,9
24,2016-01-24,6
25,2016-01-31,9
26,2016-02-07,7
27,2016-02-14,12
28,2016-02-21,5
29,2016-02-28,4
30,2016-03-06,6
31,2016-03-13,3
32,2016-03-20,3
33,2016-03-27,5
34,2016-04-03,10
35,2016-04-10,9
36,2016-04-17,7
37,2016-04-24,11
38,2016-05-01,15
39,2016-05-08,15
40,2016-05-15,11
41,2016-05-22,14
42,2016-05-29,7
43,2016-06-05,17
44,2016-06-12,12
45,2016-06-19,10
46,2016-06-26,13
47,2016-07-03,15
48,2016-07-10,16
49,2016-07-17,10
50,2016-07-24,10
51,2016-07-31,16
52,2016-08-07,12
53,2016-08-14,13
54,2016-08-21,12
55,2016-08-28,13
56,2016-09-04,9
57,2016-09-11,14
58,2016-09-18,15
59,2016-09-25,15
60,2016-10-02,16
61,2016-10-09,9
62,2016-10-16,21
63,2016-10-23,23
64,2016-10-30,20
65,2016-11-06,21
66,2016-11-13,14
67,2016-11-20,17
68,2016-11-27,18
69,2016-12-04,23
70,2016-12-11,18
71,2016-12-18,16
72,2016-12-25,17
73,2017-01-01,13
74,2017-01-08,19
75,2017-01-15,17
76,2017-01-22,14
77,2017-01-29,15
78,2017-02-05,17
79,2017-02-12,18
80,2017-02-19,21
81,2017-02-26,16
82,2017-03-05,15
83,2017-03-12,16
84,2017-03-19,6
85,2017-03-26,9
86,2017-04-02,10
87,2017-04-09,15
88,2017-04-16,16
89,2017-04-23,14
90,2017-04-30,27
91,2017-05-07,13
92,2017-05-14,17
93,2017-05-21,13
94,2017-05-28,12
95,2017-06-04,10
96,2017-06-11,7
97,2017-06-18,10
98,2017-06-25,12
99,2017-07-02,15
100,2017-07-09,12
101,2017-07-16,11
102,2017-07-23,18
103,2017-07-30,15
104,2017-08-06,9
105,2017-08-13,18
106,2017-08-20,11
107,2017-08-27,13
108,2017-09-03,13
109,2017-09-10,9
110,2017-09-17,10
111,2017-09-24,13
112,2017-10-01,10
113,2017-10-08,12
114,2017-10-15,11
115,2017-10-22,9
116,2017-10-29,13
117,2017-11-05,16
118,2017-11-12,13
119,2017-11-19,16
120,2017-11-26,6
121,2017-12-03,14
122,2017-12-10,15
123,2017-12-17,15
124,2017-12-24,20
125,2017-12-31,16
126,2018-01-07,13
127,2018-01-14,14
128,2018-01-21,14
129,2018-01-28,10
130,2018-02-04,10
131,2018-02-11,11
132,2018-02-18,15
133,2018-02-25,12
134,2018-03-04,11
135,2018-03-11,10
136,2018-03-18,7
137,2018-03-25,15
138,2018-04-01,13
139,2018-04-08,9
140,2018-04-15,10
141,2018-04-22,11
142,2018-04-29,10
143,2018-05-06,15
144,2018-05-13,7
145,2018-05-20,11
146,2018-05-27,10
147,2018-06-03,8
148,2018-06-10,15
149,2018-06-17,12
150,2018-06-24,16
151,2018-07-01,13
152,2018-07-08,8
153,2018-07-15,16
154,2018-07-22,13
155,2018-07-29,13
156,2018-08-05,17
157,2018-08-12,15
158,2018-08-19,17
159,2018-08-26,21
160,2018-09-02,24
161,2018-09-09,18
162,2018-09-16,18
163,2018-09-23,11
164,2018-09-30,18
165,2018-10-07,15
166,2018-10-14,20
167,2018-10-21,18
168,2018-10-28,13
169,2018-11-04,13
170,2018-11-11,13
171,2018-11-18,19
172,2018-11-25,18
173,2018-12-02,15
174,2018-12-09,15
175,2018-12-16,18
176,2018-12-23,13
177,2018-12-30,18
178,2019-01-06,17
179,2019-01-13,18
180,2019-01-20,17
181,2019-01-27,17
182,2019-02-03,11
183,2019-02-10,15
184,2019-02-17,20
185,2019-02-24,17
186,2019-03-03,23
187,2019-03-10,13
188,2019-03-17,16
189,2019-03-24,13
190,2019-03-31,14
191,2019-04-07,26
192,2019-04-14,21
193,2019-04-21,20
194,2019-04-28,24
195,2019-05-05,25
196,2019-05-12,27
197,2019-05-19,24
198,2019-05-26,24
199,2019-06-02,18
200,2019-06-09,25
201,2019-06-16,18
202,2019-06-23,20
203,2019-06-30,24
204,2019-07-07,28
205,2019-07-14,26
206,2019-07-21,29
207,2019-07-28,29
208,2019-08-04,30
209,2019-08-11,35
210,2019-08-18,34
211,2019-08-25,37
212,2019-09-01,31
213,2019-09-08,25
214,2019-09-15,29
215,2019-09-22,38
216,2019-09-29,36
217,2019-10-06,36
218,2019-10-13,35
219,2019-10-20,49
220,2019-10-27,32
221,2019-11-03,42
222,2019-11-10,40
223,2019-11-17,4
224,2019-11-24,46
225,2019-12-01,71
226,2019-12-08,56
227,2019-12-15,55
228,2019-12-22,57
229,2019-12-29,47
230,2020-01-05,36
231,2020-01-12,52
232,2020-01-19,49
233,2020-01-26,47
234,2020-02-02,48
235,2020-02-09,41
236,2020-02-16,54
237,2020-02-23,45
238,2020-03-01,45
239,2020-03-08,40
240,2020-03-15,38
241,2020-03-22,37
242,2020-03-29,41
243,2020-04-05,46
244,2020-04-12,56
245,2020-04-19,55
246,2020-04-26,44
247,2020-05-03,49
248,2020-05-10,44
249,2020-05-17,45
250,2020-05-24,42
251,2020-05-31,42
252,2020-06-07,52
253,2020-06-14,49
254,2020-06-21,59
255,2020-06-28,52
256,2020-07-05,60
257,2020-07-12,55
258,2020-07-19,55
259,2020-07-26,79
260,2020-08-02,100
