,Date,Trend
0,2015-08-09,6
1,2015-08-16,4
2,2015-08-23,11
3,2015-08-30,11
4,2015-09-06,7
5,2015-09-13,0
6,2015-09-20,9
7,2015-09-27,4
8,2015-10-04,6
9,2015-10-11,6
10,2015-10-18,12
11,2015-10-25,4
12,2015-11-01,4
13,2015-11-08,6
14,2015-11-15,10
15,2015-11-22,6
16,2015-11-29,11
17,2015-12-06,15
18,2015-12-13,6
19,2015-12-20,5
20,2015-12-27,6
21,2016-01-03,6
22,2016-01-10,6
23,2016-01-17,11
24,2016-01-24,4
25,2016-01-31,17
26,2016-02-07,9
27,2016-02-14,4
28,2016-02-21,13
29,2016-02-28,8
30,2016-03-06,20
31,2016-03-13,9
32,2016-03-20,7
33,2016-03-27,4
34,2016-04-03,4
35,2016-04-10,10
36,2016-04-17,16
37,2016-04-24,13
38,2016-05-01,12
39,2016-05-08,13
40,2016-05-15,6
41,2016-05-22,7
42,2016-05-29,9
43,2016-06-05,7
44,2016-06-12,10
45,2016-06-19,9
46,2016-06-26,10
47,2016-07-03,5
48,2016-07-10,15
49,2016-07-17,23
50,2016-07-24,12
51,2016-07-31,6
52,2016-08-07,16
53,2016-08-14,11
54,2016-08-21,8
55,2016-08-28,5
56,2016-09-04,9
57,2016-09-11,9
58,2016-09-18,6
59,2016-09-25,9
60,2016-10-02,10
61,2016-10-09,7
62,2016-10-16,12
63,2016-10-23,24
64,2016-10-30,16
65,2016-11-06,11
66,2016-11-13,15
67,2016-11-20,13
68,2016-11-27,7
69,2016-12-04,14
70,2016-12-11,10
71,2016-12-18,21
72,2016-12-25,14
73,2017-01-01,11
74,2017-01-08,6
75,2017-01-15,7
76,2017-01-22,5
77,2017-01-29,15
78,2017-02-05,8
79,2017-02-12,12
80,2017-02-19,12
81,2017-02-26,12
82,2017-03-05,8
83,2017-03-12,6
84,2017-03-19,4
85,2017-03-26,4
86,2017-04-02,9
87,2017-04-09,10
88,2017-04-16,11
89,2017-04-23,12
90,2017-04-30,12
91,2017-05-07,9
92,2017-05-14,8
93,2017-05-21,9
94,2017-05-28,4
95,2017-06-04,6
96,2017-06-11,8
97,2017-06-18,6
98,2017-06-25,7
99,2017-07-02,10
100,2017-07-09,4
101,2017-07-16,14
102,2017-07-23,11
103,2017-07-30,10
104,2017-08-06,15
105,2017-08-13,13
106,2017-08-20,7
107,2017-08-27,8
108,2017-09-03,14
109,2017-09-10,10
110,2017-09-17,11
111,2017-09-24,8
112,2017-10-01,4
113,2017-10-08,4
114,2017-10-15,8
115,2017-10-22,4
116,2017-10-29,4
117,2017-11-05,9
118,2017-11-12,7
119,2017-11-19,4
120,2017-11-26,12
121,2017-12-03,8
122,2017-12-10,6
123,2017-12-17,6
124,2017-12-24,13
125,2017-12-31,23
126,2018-01-07,8
127,2018-01-14,6
128,2018-01-21,4
129,2018-01-28,10
130,2018-02-04,11
131,2018-02-11,10
132,2018-02-18,9
133,2018-02-25,10
134,2018-03-04,11
135,2018-03-11,4
136,2018-03-18,4
137,2018-03-25,8
138,2018-04-01,12
139,2018-04-08,6
140,2018-04-15,13
141,2018-04-22,8
142,2018-04-29,8
143,2018-05-06,4
144,2018-05-13,10
145,2018-05-20,10
146,2018-05-27,10
147,2018-06-03,6
148,2018-06-10,7
