Date,Close,Open,Low,High,Volume,Trades
2001-04-09,37000.0,36895.0,36895.0,37000.0,4049,17
2001-04-10,37018.0,37011.0,37005.0,37018.0,3905,9
2001-04-11,37038.0,37036.0,37025.0,37038.0,2450,4
2001-04-14,37151.0,37038.0,37038.0,37151.0,3448,11
2001-04-15,37201.0,37170.0,37170.0,37201.0,19759,40
2001-04-16,37400.0,37300.0,37300.0,37400.0,2530,9
2001-04-18,38101.0,38101.0,37580.0,38101.0,2952,17
2001-04-21,39500.0,39500.0,39500.0,39500.0,1000,4
2001-04-22,39501.0,39501.0,39500.0,40000.0,53393,53
2001-04-23,39501.0,39510.0,39501.0,39511.0,10401,19
2001-04-24,39512.0,39501.0,39501.0,39520.0,2675,12
2001-04-25,39509.0,39512.0,39509.0,39512.0,6497,24
2001-04-28,39000.0,39505.0,39000.0,39505.0,6694,16
2001-04-29,38989.0,39000.0,38500.0,39000.0,74738,13
2001-04-30,38500.0,38500.0,38490.0,38500.0,5358,19
2001-05-01,38500.0,38501.0,38490.0,38989.0,48615,16
2001-05-02,38500.0,38500.0,38499.0,38500.0,1771,8
2001-05-05,38499.0,38499.0,38499.0,38500.0,3774,12
2001-05-06,38600.0,38499.0,38499.0,38600.0,7710,10
2001-05-07,39100.0,38600.0,38500.0,39100.0,105069,24
2001-05-08,40000.0,39500.0,39500.0,40005.0,8224,19
2001-05-09,40500.0,40500.0,40005.0,40500.0,4712,19
2001-05-12,40520.0,40513.0,40512.0,40528.0,8600,17
2001-05-13,40557.0,40522.0,40522.0,40557.0,1187,6
2001-05-15,41064.0,41000.0,40999.0,41064.0,2168,13
2001-05-16,42420.0,41217.0,41217.0,42420.0,8911,31
2001-05-19,43200.0,42421.0,42421.0,43200.0,11234,33
2001-05-20,42470.0,43201.0,42470.0,43205.0,5407,17
2001-05-21,40347.0,42200.0,40347.0,42200.0,4124,14
2001-05-27,39012.0,39399.0,39000.0,39399.0,1866,10
2001-05-28,39000.0,39000.0,38999.0,39000.0,1337,5
2001-05-29,38500.0,38900.0,38500.0,38900.0,1432,12
2001-05-30,38001.0,38001.0,38000.0,38498.0,9110,10
2001-06-02,38001.0,38001.0,37999.0,38001.0,4417,21
2001-06-03,37800.0,38001.0,37800.0,38001.0,2515,8
2001-06-09,37125.0,37797.0,37100.0,37798.0,2539,22
2001-06-11,37298.0,37300.0,37297.0,37300.0,3729,27
2001-06-12,37502.0,37298.0,37298.0,37502.0,8929,19
2001-06-13,37602.0,37510.0,37504.0,37602.0,2330,17
2001-06-16,37599.0,37601.0,37599.0,37602.0,596,10
2001-06-17,37490.0,37596.0,37489.0,37597.0,2638,17
2001-06-19,36800.0,36800.0,36800.0,37400.0,2135,14
2001-06-20,37000.0,36802.0,36800.0,37000.0,5877,31
2001-06-23,37000.0,37000.0,36999.0,37000.0,1033,9
2001-06-24,37002.0,37000.0,37000.0,37008.0,1733,12
2001-06-25,37100.0,37004.0,37002.0,37100.0,10744,42
2001-06-27,37150.0,36930.0,36750.0,37150.0,22489,22
