,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Feel
0,0,0.0,0.0,0.0,700355860132982785,700355860132982785,1455812823000,2016-02-18,19:57:03,430,2463165061,bourseiness,بورسینس,,#کبافق شرکت معادن بافق اولین پیش بینی درآمد هر سهم سال مالی منتهی…  http://goo.gl/fb/vxK4VR  #اخبار,[],['http://goo.gl/fb/vxK4VR'],[],0,0,0,"['#کبافق', '#اخبار']",[],https://twitter.com/bourseiness/status/700355860132982785,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
1,1,1.0,1.0,1.0,708579429602217984,708579429602217984,1457773475000,2016-03-12,12:34:35,430,2463165061,bourseiness,بورسینس,,تاریخ 94.12.22 ساعت 12:30 خلاصه بازار توقف نمادهای #كبافق، #خگستر، #سخزر، #شبندر…  http://goo.gl/fb/65cfC8  #اقتصاد,[],['http://goo.gl/fb/65cfC8'],[],0,0,0,"['#كبافق', '#خگستر', '#سخزر', '#شبندر', '#اقتصاد']",[],https://twitter.com/bourseiness/status/708579429602217984,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
2,2,2.0,2.0,2.0,709649486654664705,709649486654664705,1458028596000,2016-03-15,11:26:36,430,2463165061,bourseiness,بورسینس,,بازگشايي نماد معاملاتي #كبافق  http://goo.gl/fb/HJMPuv  #اقتصاد,[],['http://goo.gl/fb/HJMPuv'],[],0,0,0,"['#كبافق', '#اقتصاد']",[],https://twitter.com/bourseiness/status/709649486654664705,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
3,3,3.0,3.0,3.0,709623402961752064,709623402961752064,1458022378000,2016-03-15,09:42:58,430,2463165061,bourseiness,بورسینس,,#کبافق شفاف سازی EPS  http://goo.gl/fb/GdZ1Lo  #اقتصاد,[],['http://goo.gl/fb/GdZ1Lo'],[],0,0,0,"['#کبافق', '#اقتصاد']",[],https://twitter.com/bourseiness/status/709623402961752064,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
4,4,4.0,4.0,4.0,714688711150149633,714688711150149633,1459230041000,2016-03-29,10:10:41,430,2463165061,bourseiness,بورسینس,,نمادهای #آکنتور #کبافق #دعبید #چفیبر #چکاوه #قزوین #وساپا #شپلی صف خرید هستند  http://goo.gl/fb/ysYwIx  #اقتصاد,[],['http://goo.gl/fb/ysYwIx'],[],0,0,0,"['#آکنتور', '#کبافق', '#دعبید', '#چفیبر', '#چکاوه', '#قزوین', '#وساپا', '#شپلی', '#اقتصاد']",[],https://twitter.com/bourseiness/status/714688711150149633,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
5,5,5.0,5.0,5.0,719381435984056320,719381435984056320,1460348874000,2016-04-11,08:57:54,430,2463165061,bourseiness,بورسینس,,نمادهای #واتی، #تجار، #خاذین، #خمحور، #وآذر، #کبافق، #وتوصا و …در مرحله پیش گشایش صف…  http://goo.gl/fb/b63JQS  #اقتصاد,[],['http://goo.gl/fb/b63JQS'],[],0,0,0,"['#واتی', '#تجار', '#خاذین', '#خمحور', '#وآذر', '#کبافق', '#وتوصا', '#اقتصاد']",[],https://twitter.com/bourseiness/status/719381435984056320,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
6,6,6.0,6.0,6.0,720132754336309248,720132754336309248,1460528002000,2016-04-13,10:43:22,430,2463165061,bourseiness,بورسینس,,نمادهای #کمرجان #کبافق #تپمپی #کسرا #خمحور #تکنو صف خرید تشکیل داده اند  http://goo.gl/fb/dEGr78  #اقتصاد,[],['http://goo.gl/fb/dEGr78'],[],0,0,0,"['#کمرجان', '#کبافق', '#تپمپی', '#کسرا', '#خمحور', '#تکنو', '#اقتصاد']",[],https://twitter.com/bourseiness/status/720132754336309248,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
7,7,7.0,7.0,7.0,721194064243269632,721194064243269632,1460781038000,2016-04-16,09:00:38,430,2463165061,bourseiness,بورسینس,,نمادهای #تکنو #شپارس #کبافق #بکام #کمرجان در مرحله پیش گشایش صف خرید تشکیل داده…  http://goo.gl/fb/mnFPmw  #اقتصاد,[],['http://goo.gl/fb/mnFPmw'],[],0,0,0,"['#تکنو', '#شپارس', '#کبافق', '#بکام', '#کمرجان', '#اقتصاد']",[],https://twitter.com/bourseiness/status/721194064243269632,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
8,8,8.0,8.0,8.0,721208346460692480,721208346460692480,1460784443000,2016-04-16,09:57:23,430,2463165061,bourseiness,بورسینس,,نمادهای #کسرا #کبافق #خعتبار #بکام #سخزر #خمحور صف خرید هستند  http://goo.gl/fb/MEPNTk  #اقتصاد,[],['http://goo.gl/fb/MEPNTk'],[],0,0,0,"['#کسرا', '#کبافق', '#خعتبار', '#بکام', '#سخزر', '#خمحور', '#اقتصاد']",[],https://twitter.com/bourseiness/status/721208346460692480,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
9,9,9.0,9.0,9.0,740046789647159296,740046789647159296,1465275878000,2016-06-07,09:34:38,430,2463165061,bourseiness,بورسینس,,حراج مجدد نمادهاي معاملاتي #خموتور،#دلر،#زمگسا،#سدشت،#سدور،#شلعاب،#غچين،#كبافق…  http://goo.gl/fb/TJI22Z  #اقتصاد,[],['http://goo.gl/fb/TJI22Z'],[],0,0,0,"['#خموتور', '#دلر', '#زمگسا', '#سدشت', '#سدور', '#شلعاب', '#غچين', '#كبافق', '#اقتصاد']",[],https://twitter.com/bourseiness/status/740046789647159296,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
