,Date,Trend
0,2015-08-09,36
1,2015-08-16,32
2,2015-08-23,32
3,2015-08-30,0
4,2015-09-06,21
5,2015-09-13,21
6,2015-09-20,35
7,2015-09-27,72
8,2015-10-04,47
9,2015-10-11,34
10,2015-10-18,40
11,2015-10-25,47
12,2015-11-01,20
13,2015-11-08,20
14,2015-11-15,30
15,2015-11-22,20
16,2015-11-29,33
17,2015-12-06,40
18,2015-12-13,55
19,2015-12-20,38
20,2015-12-27,84
21,2016-01-03,72
22,2016-01-10,63
23,2016-01-17,92
24,2016-01-24,42
25,2016-01-31,35
26,2016-02-07,92
27,2016-02-14,28
28,2016-02-21,48
29,2016-02-28,41
30,2016-03-06,56
31,2016-03-13,69
32,2016-03-20,22
33,2016-03-27,42
34,2016-04-03,28
35,2016-04-10,49
36,2016-04-17,42
37,2016-04-24,21
38,2016-05-01,71
39,2016-05-08,42
40,2016-05-15,49
41,2016-05-22,36
42,2016-05-29,36
43,2016-06-05,29
44,2016-06-12,57
45,2016-06-19,43
46,2016-06-26,36
47,2016-07-03,35
48,2016-07-10,45
49,2016-07-17,57
50,2016-07-24,68
51,2016-07-31,53
52,2016-08-07,86
53,2016-08-14,48
54,2016-08-21,46
55,2016-08-28,55
56,2016-09-04,22
57,2016-09-11,33
58,2016-09-18,22
59,2016-09-25,43
60,2016-10-02,71
61,2016-10-09,33
62,2016-10-16,100
63,2016-10-23,43
64,2016-10-30,57
65,2016-11-06,42
66,2016-11-13,42
67,2016-11-20,42
68,2016-11-27,54
69,2016-12-04,40
70,2016-12-11,0
71,2016-12-18,72
72,2016-12-25,67
73,2017-01-01,31
74,2017-01-08,80
75,2017-01-15,20
76,2017-01-22,59
77,2017-01-29,0
78,2017-02-05,90
79,2017-02-12,71
80,2017-02-19,39
81,2017-02-26,51
82,2017-03-05,31
83,2017-03-12,51
84,2017-03-19,49
85,2017-03-26,20
86,2017-04-02,39
87,2017-04-09,27
88,2017-04-16,26
89,2017-04-23,26
90,2017-04-30,40
91,2017-05-07,39
92,2017-05-14,28
93,2017-05-21,42
94,2017-05-28,42
95,2017-06-04,41
96,2017-06-11,31
97,2017-06-18,20
98,2017-06-25,32
99,2017-07-02,32
100,2017-07-09,42
101,2017-07-16,21
102,2017-07-23,52
103,2017-07-30,20
104,2017-08-06,61
105,2017-08-13,41
106,2017-08-20,95
107,2017-08-27,47
108,2017-09-03,70
109,2017-09-10,40
110,2017-09-17,39
111,2017-09-24,49
112,2017-10-01,60
113,2017-10-08,19
114,2017-10-15,49
115,2017-10-22,19
116,2017-10-29,39
117,2017-11-05,19
118,2017-11-12,19
119,2017-11-19,38
120,2017-11-26,70
121,2017-12-03,57
122,2017-12-10,51
123,2017-12-17,40
124,2017-12-24,21
125,2017-12-31,30
126,2018-01-07,28
127,2018-01-14,25
128,2018-01-21,37
129,2018-01-28,46
130,2018-02-04,37
131,2018-02-11,19
132,2018-02-18,18
133,2018-02-25,42
134,2018-03-04,18
135,2018-03-11,27
136,2018-03-18,18
137,2018-03-25,28
138,2018-04-01,38
139,2018-04-08,43
