Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-02-20,30316057,83198944132,1571,2900.0,2731.0,2744.0,2731.0,2874.0
2016-02-21,20894969,54567137146,1053,2731.0,2607.0,2611.0,2607.0,2744.0
2016-02-22,35337788,96410633754,2321,2741.0,2652.0,2728.0,2740.0,2611.0
2016-02-23,28376933,74367456726,2010,2810.0,2592.0,2621.0,2592.0,2728.0
2016-02-24,12873892,33258024918,1169,2631.0,2507.0,2583.0,2590.0,2621.0
2016-02-27,11214891,29286870003,1191,2694.0,2565.0,2611.0,2569.0,2583.0
2016-02-28,13153646,33149293479,1069,2660.0,2489.0,2520.0,2520.0,2611.0
2016-02-29,23626860,59603478718,1708,2594.0,2441.0,2523.0,2498.0,2520.0
2016-03-01,20920177,55312960151,991,2649.0,2550.0,2644.0,2649.0,2523.0
2016-03-02,65586797,179840675350,3757,2776.0,2652.0,2742.0,2776.0,2644.0
2016-03-05,44293458,127393501965,1612,2879.0,2831.0,2876.0,2879.0,2742.0
2016-03-06,70893810,213915876571,3153,3019.0,2990.0,3017.0,3019.0,2876.0
2016-03-07,59982258,180345753101,4332,3144.0,2880.0,3007.0,2920.0,3017.0
2016-03-08,34625629,100258759110,2583,2979.0,2857.0,2896.0,2880.0,3007.0
2016-03-09,24854189,70279039190,2462,2890.0,2771.0,2828.0,2841.0,2896.0
2016-03-14,2044696,6070702424,103,2969.0,2969.0,2969.0,2969.0,2828.0
2016-03-15,87189030,271692136962,3388,3117.0,3050.0,3116.0,3117.0,2969.0
2016-03-16,52371887,162786535596,3904,3260.0,2961.0,3108.0,3040.0,3116.0
2016-03-26,25322605,75106971044,1689,3085.0,2953.0,2966.0,2953.0,3108.0
2016-03-27,26194615,74038257868,1779,3010.0,2818.0,2826.0,2818.0,2966.0
2016-03-28,21219123,59475435067,2303,2919.0,2708.0,2803.0,2885.0,2826.0
2016-03-29,46478869,136705709834,2658,2943.0,2870.0,2941.0,2943.0,2803.0
2016-03-30,48077127,148176452296,3344,3088.0,3011.0,3082.0,3088.0,2941.0
2016-04-02,17951519,53197224594,1873,3090.0,2928.0,2963.0,2928.0,3082.0
2016-04-03,16138791,46156143867,1566,3000.0,2816.0,2860.0,2890.0,2963.0
2016-04-04,10432125,29963643180,1114,2947.0,2801.0,2872.0,2890.0,2860.0
2016-04-05,10497797,31045748279,1194,3000.0,2890.0,2957.0,2940.0,2872.0
2016-04-06,12715351,36608992743,1568,3000.0,2831.0,2879.0,2849.0,2957.0
2016-04-09,9156099,26404478572,1179,2950.0,2855.0,2884.0,2860.0,2879.0
