,Date,Trend
0,2015-08-09,43
1,2015-08-16,52
2,2015-08-23,52
3,2015-08-30,45
4,2015-09-06,43
5,2015-09-13,44
6,2015-09-20,46
7,2015-09-27,44
8,2015-10-04,43
9,2015-10-11,43
10,2015-10-18,38
11,2015-10-25,48
12,2015-11-01,68
13,2015-11-08,82
14,2015-11-15,59
15,2015-11-22,50
16,2015-11-29,48
17,2015-12-06,37
18,2015-12-13,48
19,2015-12-20,59
20,2015-12-27,54
21,2016-01-03,52
22,2016-01-10,44
23,2016-01-17,52
24,2016-01-24,50
25,2016-01-31,46
26,2016-02-07,43
27,2016-02-14,56
28,2016-02-21,58
29,2016-02-28,51
30,2016-03-06,53
31,2016-03-13,57
32,2016-03-20,32
33,2016-03-27,37
34,2016-04-03,48
35,2016-04-10,48
36,2016-04-17,49
37,2016-04-24,50
38,2016-05-01,42
39,2016-05-08,41
40,2016-05-15,48
41,2016-05-22,45
42,2016-05-29,42
43,2016-06-05,48
44,2016-06-12,51
45,2016-06-19,60
46,2016-06-26,49
47,2016-07-03,44
48,2016-07-10,44
49,2016-07-17,55
50,2016-07-24,45
51,2016-07-31,48
52,2016-08-07,45
53,2016-08-14,50
54,2016-08-21,52
55,2016-08-28,48
56,2016-09-04,49
57,2016-09-11,40
58,2016-09-18,50
59,2016-09-25,50
60,2016-10-02,44
61,2016-10-09,31
62,2016-10-16,51
63,2016-10-23,50
64,2016-10-30,46
65,2016-11-06,40
66,2016-11-13,45
67,2016-11-20,43
68,2016-11-27,36
69,2016-12-04,42
70,2016-12-11,40
71,2016-12-18,56
72,2016-12-25,56
73,2017-01-01,50
74,2017-01-08,41
75,2017-01-15,51
76,2017-01-22,51
77,2017-01-29,47
78,2017-02-05,46
79,2017-02-12,50
80,2017-02-19,55
81,2017-02-26,46
82,2017-03-05,52
83,2017-03-12,63
84,2017-03-19,29
85,2017-03-26,31
86,2017-04-02,41
87,2017-04-09,46
88,2017-04-16,58
89,2017-04-23,52
90,2017-04-30,50
91,2017-05-07,44
92,2017-05-14,46
93,2017-05-21,48
94,2017-05-28,45
95,2017-06-04,34
96,2017-06-11,41
97,2017-06-18,53
98,2017-06-25,38
99,2017-07-02,46
100,2017-07-09,42
101,2017-07-16,47
102,2017-07-23,69
103,2017-07-30,50
104,2017-08-06,48
105,2017-08-13,47
106,2017-08-20,55
107,2017-08-27,49
108,2017-09-03,39
109,2017-09-10,44
110,2017-09-17,47
111,2017-09-24,40
112,2017-10-01,39
113,2017-10-08,44
114,2017-10-15,48
115,2017-10-22,50
116,2017-10-29,42
117,2017-11-05,38
118,2017-11-12,41
119,2017-11-19,46
120,2017-11-26,42
121,2017-12-03,38
122,2017-12-10,42
123,2017-12-17,48
124,2017-12-24,50
125,2017-12-31,44
126,2018-01-07,44
127,2018-01-14,45
128,2018-01-21,47
129,2018-01-28,42
130,2018-02-04,42
131,2018-02-11,43
132,2018-02-18,46
133,2018-02-25,45
134,2018-03-04,43
135,2018-03-11,49
136,2018-03-18,36
137,2018-03-25,27
138,2018-04-01,31
139,2018-04-08,34
140,2018-04-15,43
141,2018-04-22,41
142,2018-04-29,41
143,2018-05-06,43
144,2018-05-13,44
145,2018-05-20,46
146,2018-05-27,45
147,2018-06-03,34
148,2018-06-10,46
149,2018-06-17,49
150,2018-06-24,46
151,2018-07-01,37
152,2018-07-08,32
153,2018-07-15,40
154,2018-07-22,41
155,2018-07-29,41
156,2018-08-05,37
157,2018-08-12,35
158,2018-08-19,36
159,2018-08-26,34
160,2018-09-02,39
161,2018-09-09,36
162,2018-09-16,29
163,2018-09-23,38
164,2018-09-30,34
165,2018-10-07,35
166,2018-10-14,35
167,2018-10-21,39
168,2018-10-28,31
169,2018-11-04,29
170,2018-11-11,35
171,2018-11-18,41
172,2018-11-25,33
173,2018-12-02,33
174,2018-12-09,35
175,2018-12-16,41
176,2018-12-23,48
177,2018-12-30,52
178,2019-01-06,67
179,2019-01-13,83
180,2019-01-20,100
181,2019-01-27,59
182,2019-02-03,38
183,2019-02-10,32
184,2019-02-17,42
185,2019-02-24,65
186,2019-03-03,51
187,2019-03-10,47
188,2019-03-17,45
189,2019-03-24,29
190,2019-03-31,23
191,2019-04-07,36
192,2019-04-14,37
193,2019-04-21,41
194,2019-04-28,40
195,2019-05-05,37
196,2019-05-12,49
197,2019-05-19,68
198,2019-05-26,49
199,2019-06-02,59
200,2019-06-09,76
201,2019-06-16,76
202,2019-06-23,77
203,2019-06-30,60
204,2019-07-07,55
205,2019-07-14,48
206,2019-07-21,50
207,2019-07-28,42
208,2019-08-04,40
209,2019-08-11,37
210,2019-08-18,41
211,2019-08-25,44
212,2019-09-01,40
213,2019-09-08,26
214,2019-09-15,39
215,2019-09-22,41
