Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-02-20,252758.0,1307246758.0,65.0,5172.0,5170.0,5172.0,5172.0,4926.0
2016-02-21,221809.0,1151256538.0,75.0,5419.0,4914.0,5190.0,5135.0,5172.0
2016-02-22,157803.0,785226477.0,71.0,5329.0,4935.0,4976.0,4940.0,5190.0
2016-02-23,129475.0,648551370.0,59.0,5199.0,4800.0,5009.0,4801.0,4976.0
2016-02-24,257859.0,1305304684.0,143.0,5259.0,4810.0,5062.0,5259.0,5009.0
2016-03-15,27000.0,51435000.0,2.0,1905.0,1905.0,1824.0,1905.0,1815.0
2016-03-16,15855.0,30362325.0,5.0,1915.0,1915.0,1829.0,1915.0,1824.0
2016-03-26,1005.0,1929600.0,2.0,1920.0,1920.0,1829.0,1920.0,1829.0
2016-03-27,1689.0,3242880.0,4.0,1920.0,1920.0,1830.0,1920.0,1829.0
2016-03-28,1100.0,2113100.0,2.0,1921.0,1921.0,1830.0,1921.0,1830.0
2016-03-29,2.0,3842.0,1.0,1921.0,1921.0,1830.0,1921.0,1830.0
2016-03-30,5.0,9605.0,1.0,1921.0,1921.0,1830.0,1921.0,1830.0
2016-04-02,2883.0,5538243.0,3.0,1921.0,1921.0,1831.0,1921.0,1830.0
2016-04-03,16001.0,30753922.0,2.0,1922.0,1922.0,1836.0,1922.0,1831.0
2016-04-04,200.0,385400.0,1.0,1927.0,1927.0,1836.0,1927.0,1836.0
2016-04-05,1700000.0,3275900000.0,92.0,1927.0,1927.0,1927.0,1927.0,1836.0
2016-04-06,3973.0,8037379.0,2.0,2023.0,2023.0,1928.0,2023.0,1927.0
2016-04-09,422.0,854128.0,3.0,2024.0,2024.0,1928.0,2024.0,1928.0
2016-04-10,53832.0,108955968.0,9.0,2024.0,2024.0,1948.0,2024.0,1928.0
2016-04-11,3521.0,7200445.0,5.0,2045.0,2045.0,1949.0,2045.0,1948.0
2016-04-12,50000.0,102300000.0,1.0,2046.0,2046.0,1968.0,2046.0,1949.0
2016-04-13,17230.0,35597180.0,4.0,2066.0,2066.0,1975.0,2066.0,1968.0
2016-04-16,70901.0,146977773.0,10.0,2073.0,2073.0,2002.0,2073.0,1975.0
2016-04-17,1383.0,2907066.0,3.0,2102.0,2102.0,2003.0,2102.0,2002.0
2016-04-18,2073.0,4359519.0,2.0,2103.0,2103.0,2004.0,2103.0,2003.0
2016-04-19,1.0,2104.0,1.0,2104.0,2104.0,2004.0,2104.0,2004.0
2016-04-20,9010.0,18957040.0,3.0,2104.0,2104.0,2008.0,2104.0,2004.0
2016-04-24,3000.0,6324000.0,1.0,2108.0,2108.0,2009.0,2108.0,2008.0
2016-04-25,23311.0,49162899.0,12.0,2109.0,2109.0,2018.0,2109.0,2009.0
2016-04-26,70000.0,148260000.0,13.0,2118.0,2118.0,2046.0,2118.0,2018.0
2016-04-27,23775.0,51068700.0,6.0,2148.0,2148.0,2056.0,2148.0,2046.0
2016-04-30,5301.0,11439558.0,3.0,2158.0,2158.0,2058.0,2158.0,2056.0
2016-05-01,10001.0,21602160.0,2.0,2160.0,2160.0,2062.0,2160.0,2058.0
2016-05-02,1.0,2165.0,1.0,2165.0,2165.0,2062.0,2165.0,2062.0
2016-05-03,4346.0,9409090.0,3.0,2165.0,2165.0,2064.0,2165.0,2062.0
2016-05-04,3510.0,7606170.0,2.0,2167.0,2167.0,2065.0,2167.0,2064.0
2016-05-07,10000.0,21680000.0,2.0,2168.0,2168.0,2069.0,2168.0,2065.0
2016-05-08,2064.0,4483008.0,4.0,2172.0,2172.0,2070.0,2172.0,2069.0
2016-05-09,6362.0,15204389.0,5.0,2390.0,2277.0,2390.0,2390.0,2070.0
2016-05-10,120010.0,301105090.0,9.0,2509.0,2509.0,2458.0,2509.0,2390.0
2016-05-11,49108.0,126698640.0,6.0,2580.0,2580.0,2487.0,2580.0,2458.0
2016-05-14,2298457.0,5776380981.0,391.0,2611.0,2370.0,2513.0,2440.0,2487.0
2016-05-15,326506.0,782913143.0,84.0,2549.0,2388.0,2398.0,2388.0,2513.0
2016-05-16,625518.0,1444920338.0,120.0,2380.0,2279.0,2310.0,2380.0,2398.0
2016-05-17,197810.0,479689250.0,40.0,2425.0,2425.0,2423.0,2425.0,2310.0
2016-05-18,584017.0,1481184467.0,98.0,2544.0,2492.0,2536.0,2544.0,2423.0
2016-05-21,509777.0,1353752649.0,182.0,2662.0,2601.0,2656.0,2662.0,2536.0
2016-05-23,504937.0,1299940249.0,126.0,2770.0,2524.0,2574.0,2535.0,2656.0
2016-05-24,266205.0,690416088.0,82.0,2690.0,2481.0,2594.0,2649.0,2574.0
2016-05-25,70388.0,180028134.0,29.0,2679.0,2530.0,2581.0,2530.0,2594.0
2016-05-28,68269.0,172847243.0,22.0,2593.0,2473.0,2564.0,2510.0,2581.0
2016-05-29,212498.0,526738576.0,75.0,2510.0,2441.0,2479.0,2445.0,2564.0
2016-05-30,15198.0,38791303.0,9.0,2574.0,2446.0,2485.0,2447.0,2479.0
2016-05-31,30810.0,75505999.0,14.0,2530.0,2443.0,2480.0,2444.0,2485.0
2016-06-01,11587.0,28984000.0,6.0,2533.0,2500.0,2481.0,2500.0,2480.0
2016-06-05,12854.0,31114084.0,13.0,2535.0,2362.0,2477.0,2405.0,2481.0
2016-06-06,83092.0,199855222.0,25.0,2519.0,2380.0,2447.0,2440.0,2477.0
2016-06-07,145339.0,338213240.0,40.0,2385.0,2325.0,2361.0,2325.0,2447.0
2016-06-08,73326.0,167911474.0,36.0,2360.0,2245.0,2335.0,2355.0,2361.0
2016-06-11,118738.0,284425671.0,38.0,2451.0,2250.0,2368.0,2451.0,2335.0
2016-06-12,40447.0,100407329.0,31.0,2486.0,2300.0,2390.0,2486.0,2368.0
2016-06-13,93946.0,233952048.0,18.0,2509.0,2401.0,2434.0,2509.0,2390.0
2016-06-14,20651.0,48758220.0,12.0,2509.0,2317.0,2427.0,2350.0,2434.0
2016-06-15,24246.0,57423080.0,9.0,2450.0,2340.0,2420.0,2340.0,2427.0
2016-06-18,12300.0,28296468.0,5.0,2304.0,2299.0,2413.0,2299.0,2420.0
2016-06-19,28027.0,64383123.0,7.0,2449.0,2293.0,2397.0,2293.0,2413.0
2016-06-20,7650.0,17429850.0,5.0,2280.0,2278.0,2393.0,2278.0,2397.0
2016-06-21,57072.0,129793229.0,21.0,2276.0,2274.0,2360.0,2274.0,2393.0
2016-06-22,116035.0,260763538.0,22.0,2350.0,2242.0,2297.0,2261.0,2360.0
2016-06-25,51530.0,117131956.0,27.0,2340.0,2241.0,2291.0,2251.0,2297.0
2016-06-26,109019.0,239878198.0,33.0,2290.0,2177.0,2246.0,2290.0,2291.0
2016-06-28,49869.0,113067047.0,21.0,2330.0,2245.0,2251.0,2325.0,2246.0
2016-06-29,4088.0,9140308.0,7.0,2306.0,2220.0,2251.0,2251.0,2251.0
2016-07-02,114554.0,266602514.0,60.0,2363.0,2290.0,2290.0,2363.0,2251.0
2016-07-03,67412.0,162058448.0,18.0,2404.0,2404.0,2325.0,2404.0,2290.0
2016-07-04,28463.0,69478183.0,10.0,2441.0,2441.0,2340.0,2441.0,2325.0
2016-07-05,222124.0,545632148.0,58.0,2457.0,2400.0,2456.0,2457.0,2340.0
2016-07-09,107447.0,268184076.0,41.0,2529.0,2451.0,2477.0,2479.0,2456.0
2016-07-10,75682.0,178634538.0,21.0,2455.0,2354.0,2434.0,2355.0,2477.0
2016-07-11,97614.0,225782252.0,40.0,2420.0,2313.0,2376.0,2313.0,2434.0
2016-07-12,13550.0,30778500.0,3.0,2300.0,2263.0,2369.0,2300.0,2376.0
2016-07-13,23608.0,53565925.0,14.0,2409.0,2251.0,2357.0,2409.0,2369.0
