,Date,Trend
0,2015-08-23,0
1,2015-08-30,0
2,2015-09-06,0
3,2015-09-13,9
4,2015-09-20,0
5,2015-09-27,0
6,2015-10-04,0
7,2015-10-11,0
8,2015-10-18,0
9,2015-10-25,0
10,2015-11-01,0
11,2015-11-08,0
12,2015-11-15,0
13,2015-11-22,9
14,2015-11-29,0
15,2015-12-06,9
16,2015-12-13,0
17,2015-12-20,10
18,2015-12-27,0
19,2016-01-03,0
20,2016-01-10,0
21,2016-01-17,0
22,2016-01-24,9
23,2016-01-31,9
24,2016-02-07,14
25,2016-02-14,0
26,2016-02-21,0
27,2016-02-28,17
28,2016-03-06,0
29,2016-03-13,0
30,2016-03-20,0
31,2016-03-27,15
32,2016-04-03,9
33,2016-04-10,18
34,2016-04-17,18
35,2016-04-24,0
36,2016-05-01,9
37,2016-05-08,14
38,2016-05-15,0
39,2016-05-22,9
40,2016-05-29,9
41,2016-06-05,9
42,2016-06-12,0
43,2016-06-19,9
44,2016-06-26,9
45,2016-07-03,10
46,2016-07-10,10
47,2016-07-17,0
48,2016-07-24,0
49,2016-07-31,10
50,2016-08-07,10
51,2016-08-14,0
52,2016-08-21,0
53,2016-08-28,0
54,2016-09-04,16
55,2016-09-11,0
56,2016-09-18,10
57,2016-09-25,9
58,2016-10-02,9
59,2016-10-09,9
60,2016-10-16,9
61,2016-10-23,0
62,2016-10-30,9
63,2016-11-06,0
64,2016-11-13,9
65,2016-11-20,18
66,2016-11-27,9
67,2016-12-04,9
68,2016-12-11,9
69,2016-12-18,28
70,2016-12-25,10
71,2017-01-01,18
72,2017-01-08,17
73,2017-01-15,9
74,2017-01-22,14
75,2017-01-29,13
76,2017-02-05,8
77,2017-02-12,0
78,2017-02-19,8
79,2017-02-26,8
80,2017-03-05,16
81,2017-03-12,14
82,2017-03-19,8
83,2017-03-26,21
84,2017-04-02,8
85,2017-04-09,13
86,2017-04-16,11
87,2017-04-23,20
88,2017-04-30,20
89,2017-05-07,22
90,2017-05-14,9
91,2017-05-21,21
92,2017-05-28,9
93,2017-06-04,18
94,2017-06-11,13
95,2017-06-18,9
96,2017-06-25,9
97,2017-07-02,19
98,2017-07-09,27
99,2017-07-16,12
100,2017-07-23,18
101,2017-07-30,26
102,2017-08-06,9
103,2017-08-13,26
104,2017-08-20,13
105,2017-08-27,23
106,2017-09-03,29
107,2017-09-10,13
108,2017-09-17,13
109,2017-09-24,11
110,2017-10-01,13
111,2017-10-08,17
112,2017-10-15,17
113,2017-10-22,14
114,2017-10-29,13
115,2017-11-05,16
116,2017-11-12,8
117,2017-11-19,19
118,2017-11-26,14
119,2017-12-03,11
120,2017-12-10,17
121,2017-12-17,22
122,2017-12-24,18
123,2017-12-31,17
124,2018-01-07,12
125,2018-01-14,13
126,2018-01-21,19
127,2018-01-28,21
128,2018-02-04,16
129,2018-02-11,28
130,2018-02-18,21
131,2018-02-25,39
132,2018-03-04,34
133,2018-03-11,24
134,2018-03-18,11
135,2018-03-25,25
136,2018-04-01,19
137,2018-04-08,36
138,2018-04-15,24
139,2018-04-22,28
140,2018-04-29,14
141,2018-05-06,29
142,2018-05-13,19
143,2018-05-20,22
144,2018-05-27,8
145,2018-06-03,0
146,2018-06-10,12
147,2018-06-17,12
148,2018-06-24,16
149,2018-07-01,16
150,2018-07-08,24
151,2018-07-15,14
152,2018-07-22,11
153,2018-07-29,8
154,2018-08-05,16
155,2018-08-12,27
156,2018-08-19,22
157,2018-08-26,36
158,2018-09-02,16
159,2018-09-09,44
160,2018-09-16,34
161,2018-09-23,23
162,2018-09-30,26
163,2018-10-07,24
164,2018-10-14,24
165,2018-10-21,42
166,2018-10-28,13
167,2018-11-04,12
168,2018-11-11,20
169,2018-11-18,18
170,2018-11-25,31
171,2018-12-02,18
172,2018-12-09,24
173,2018-12-16,16
174,2018-12-23,18
175,2018-12-30,17
176,2019-01-06,16
177,2019-01-13,15
178,2019-01-20,13
179,2019-01-27,15
180,2019-02-03,10
181,2019-02-10,13
182,2019-02-17,23
183,2019-02-24,25
184,2019-03-03,8
185,2019-03-10,13
186,2019-03-17,21
187,2019-03-24,23
188,2019-03-31,13
189,2019-04-07,19
190,2019-04-14,16
191,2019-04-21,16
192,2019-04-28,16
193,2019-05-05,26
194,2019-05-12,18
195,2019-05-19,19
196,2019-05-26,12
197,2019-06-02,8
198,2019-06-09,15
199,2019-06-16,15
200,2019-06-23,15
201,2019-06-30,10
202,2019-07-07,23
203,2019-07-14,16
204,2019-07-21,16
205,2019-07-28,16
206,2019-08-04,24
207,2019-08-11,13
208,2019-08-18,21
209,2019-08-25,25
210,2019-09-01,30
211,2019-09-08,11
212,2019-09-15,12
213,2019-09-22,12
214,2019-09-29,24
215,2019-10-06,34
216,2019-10-13,15
217,2019-10-20,29
218,2019-10-27,12
219,2019-11-03,9
220,2019-11-10,21
221,2019-11-17,0
222,2019-11-24,7
223,2019-12-01,22
