Date,Close,Open,Low,High,Volume,Trades
2010-11-02,2302.0,3000.0,2301.0,3000.0,27887150,628
2010-11-03,2339.0,2394.0,2394.0,2394.0,181490,14
2010-11-06,2341.0,2432.0,2432.0,2432.0,11400,7
2010-11-07,2342.0,2434.0,2434.0,2434.0,6000,3
2010-11-08,2347.0,2435.0,2435.0,2435.0,26500,14
2010-11-09,2348.0,2440.0,2440.0,2440.0,3500,4
2010-11-10,2349.0,2441.0,2441.0,2441.0,4850,4
2010-11-13,2352.0,2442.0,2442.0,2442.0,14150,24
2010-11-14,2354.0,2446.0,2446.0,2446.0,7250,5
2010-11-15,2357.0,2448.0,2448.0,2448.0,15850,7
2010-11-16,2359.0,2451.0,2451.0,2451.0,9331,7
2010-11-20,2361.0,2453.0,2453.0,2453.0,9640,6
2010-11-21,2455.0,2455.0,2455.0,2455.0,6000,4
2010-11-22,2553.0,2553.0,2553.0,2553.0,1500,2
2010-11-23,2655.0,2655.0,2655.0,2655.0,1231,2
2010-11-24,2761.0,2761.0,2761.0,2761.0,9000,4
2010-11-27,2871.0,2871.0,2871.0,2871.0,23500,10
2010-11-28,2877.0,2985.0,2985.0,2985.0,22490,13
2010-11-29,2992.0,2992.0,2992.0,2992.0,5500,4
2010-11-30,3111.0,3111.0,3111.0,3111.0,10600,7
2010-12-01,3235.0,3235.0,3235.0,3235.0,11500,5
2010-12-04,3364.0,3364.0,3364.0,3364.0,4250,3
2010-12-05,3498.0,3498.0,3498.0,3498.0,18850,8
2010-12-06,3506.0,3637.0,3637.0,3637.0,25640,15
2010-12-07,3646.0,3646.0,3646.0,3646.0,11950,10
2010-12-08,3791.0,3791.0,3791.0,3791.0,20020,11
2010-12-11,3942.0,3942.0,3942.0,3942.0,14400,9
2010-12-12,4099.0,4099.0,4099.0,4099.0,22300,11
2010-12-13,4262.0,4262.0,4262.0,4262.0,180001,93
2010-12-14,4337.0,4432.0,4432.0,4432.0,198975,96
2010-12-18,4510.0,4510.0,4510.0,4510.0,2256262,183
2010-12-19,4690.0,4690.0,4690.0,4690.0,8132670,1966
2010-12-20,4877.0,4877.0,4877.0,4877.0,11912669,3692
2010-12-21,5072.0,5072.0,5072.0,5072.0,5834706,783
2010-12-22,5274.0,5274.0,5274.0,5274.0,5062203,236
2010-12-25,5484.0,5484.0,5484.0,5484.0,5044100,200
2010-12-26,5491.0,5703.0,5703.0,5703.0,13501,11
2010-12-27,5710.0,5710.0,5710.0,5710.0,2811128,120
2010-12-28,5722.0,5938.0,5938.0,5938.0,23002,21
2010-12-29,6426.0,6179.0,6179.0,6426.0,22743892,2842
2011-01-01,6382.0,6426.0,6200.0,6650.0,9210801,2103
2011-01-02,6553.0,6310.0,6310.0,6637.0,6598647,1170
2011-01-03,6813.0,6815.0,6690.0,6815.0,16461187,1681
2011-01-04,7009.0,6900.0,6852.0,7085.0,4166978,676
2011-01-05,7073.0,7289.0,7289.0,7289.0,101947,25
2011-01-08,7123.0,7355.0,7355.0,7355.0,78858,9
2011-01-09,7124.0,7407.0,7407.0,7407.0,1000,1
2011-01-10,7408.0,7408.0,7408.0,7408.0,1492387,70
2011-01-11,7704.0,7704.0,7704.0,7704.0,2346587,106
2011-01-12,8646.0,8320.0,8320.0,8652.0,4365836,370
2011-01-15,8991.0,8991.0,8950.0,8991.0,8503841,771
2011-01-16,9168.0,9150.0,8900.0,9299.0,7849491,1545
2011-01-17,8830.0,8990.0,8802.0,8994.0,2809169,478
2011-01-18,8535.0,8503.0,8477.0,8800.0,9360647,1373
2011-01-19,8876.0,8876.0,8872.0,8876.0,2095545,184
2011-01-22,9231.0,9231.0,9231.0,9231.0,855987,99
2011-01-23,9481.0,9600.0,9600.0,9600.0,304744,31
2011-01-24,9500.0,9860.0,9860.0,9860.0,22696,15
2011-01-26,9848.0,9880.0,9600.0,9880.0,13906214,1696
2011-01-29,9467.0,9619.0,9455.0,9620.0,5851271,777
2011-01-30,9688.0,9251.0,9197.0,9845.0,6212148,944
2011-01-31,10052.0,9980.0,9850.0,10075.0,2686180,427
2011-02-01,10224.0,10454.0,10454.0,10454.0,192073,32
2011-02-05,10350.0,10632.0,10632.0,10632.0,138214,36
2011-02-06,10580.0,10764.0,10764.0,10764.0,249347,38
2011-02-07,10714.0,11003.0,11003.0,11003.0,142476,20
2011-02-08,10986.0,11142.0,10310.0,11142.0,13186678,2335
2011-02-09,10721.0,10726.0,10547.0,11140.0,4043550,890
2011-02-12,10856.0,11140.0,10560.0,11140.0,2149861,523
2011-02-13,10496.0,10690.0,10422.0,10900.0,2240629,582
2011-02-14,10150.0,10442.0,10077.0,10680.0,3528475,787
2011-02-15,9860.0,10077.0,9744.0,10148.0,1690956,505
2011-02-16,9838.0,9466.0,9466.0,9466.0,24908,26
2011-02-19,9785.0,9445.0,9445.0,9445.0,60777,33
2011-02-20,9627.0,9394.0,9394.0,9394.0,181683,28
2011-02-22,9600.0,9242.0,9242.0,9242.0,31857,12
2011-02-23,9513.0,9216.0,9216.0,9216.0,101988,27
2011-02-26,8542.0,8752.0,8402.0,8900.0,8701851,1424
2011-02-27,8202.0,8204.0,8201.0,8210.0,2935167,260
2011-02-28,7874.0,7874.0,7874.0,7874.0,1660499,164
2011-03-01,7866.0,7560.0,7560.0,7560.0,11276,6
2011-03-02,7841.0,7552.0,7552.0,7552.0,36441,11
2011-03-05,7840.0,7528.0,7528.0,7528.0,1727,5
2011-03-06,7829.0,7527.0,7527.0,7527.0,15542,11
2011-03-07,7516.0,7516.0,7516.0,7516.0,629227,122
2011-03-08,7426.0,7216.0,7216.0,7504.0,3899366,551
