,Date,Trend
0,2015-08-23,11
1,2015-08-30,17
2,2015-09-06,11
3,2015-09-13,5
4,2015-09-20,5
5,2015-09-27,5
6,2015-10-04,5
7,2015-10-11,19
8,2015-10-18,11
9,2015-10-25,5
10,2015-11-01,11
11,2015-11-08,13
12,2015-11-15,5
13,2015-11-22,16
14,2015-11-29,5
15,2015-12-06,8
16,2015-12-13,11
17,2015-12-20,12
18,2015-12-27,12
19,2016-01-03,17
20,2016-01-10,11
21,2016-01-17,17
22,2016-01-24,11
23,2016-01-31,17
24,2016-02-07,17
25,2016-02-14,19
26,2016-02-21,5
27,2016-02-28,11
28,2016-03-06,14
29,2016-03-13,8
30,2016-03-20,11
31,2016-03-27,11
32,2016-04-03,6
33,2016-04-10,11
34,2016-04-17,11
35,2016-04-24,22
36,2016-05-01,11
37,2016-05-08,14
38,2016-05-15,17
39,2016-05-22,8
40,2016-05-29,6
41,2016-06-05,11
42,2016-06-12,14
43,2016-06-19,9
44,2016-06-26,14
45,2016-07-03,15
46,2016-07-10,6
47,2016-07-17,6
48,2016-07-24,12
49,2016-07-31,12
50,2016-08-07,12
51,2016-08-14,19
52,2016-08-21,9
53,2016-08-28,0
54,2016-09-04,9
55,2016-09-11,12
56,2016-09-18,0
57,2016-09-25,6
58,2016-10-02,6
59,2016-10-09,6
60,2016-10-16,6
61,2016-10-23,6
62,2016-10-30,6
63,2016-11-06,5
64,2016-11-13,11
65,2016-11-20,6
66,2016-11-27,11
67,2016-12-04,21
68,2016-12-11,5
69,2016-12-18,12
70,2016-12-25,12
71,2017-01-01,5
72,2017-01-08,10
73,2017-01-15,10
74,2017-01-22,5
75,2017-01-29,5
76,2017-02-05,8
77,2017-02-12,13
78,2017-02-19,26
79,2017-02-26,8
80,2017-03-05,20
81,2017-03-12,5
82,2017-03-19,0
83,2017-03-26,0
84,2017-04-02,8
85,2017-04-09,8
86,2017-04-16,5
87,2017-04-23,21
88,2017-04-30,13
89,2017-05-07,10
90,2017-05-14,14
91,2017-05-21,8
92,2017-05-28,8
93,2017-06-04,8
94,2017-06-11,0
95,2017-06-18,16
96,2017-06-25,8
97,2017-07-02,0
98,2017-07-09,8
99,2017-07-16,6
100,2017-07-23,8
101,2017-07-30,5
102,2017-08-06,0
103,2017-08-13,0
104,2017-08-20,0
105,2017-08-27,5
106,2017-09-03,0
107,2017-09-10,10
108,2017-09-17,5
109,2017-09-24,5
110,2017-10-01,8
111,2017-10-08,5
112,2017-10-15,8
113,2017-10-22,10
114,2017-10-29,0
115,2017-11-05,15
116,2017-11-12,5
117,2017-11-19,5
118,2017-11-26,10
119,2017-12-03,10
120,2017-12-10,10
121,2017-12-17,0
122,2017-12-24,17
123,2017-12-31,0
124,2018-01-07,10
125,2018-01-14,15
126,2018-01-21,5
127,2018-01-28,7
128,2018-02-04,5
129,2018-02-11,15
130,2018-02-18,10
131,2018-02-25,5
132,2018-03-04,10
133,2018-03-11,5
134,2018-03-18,5
135,2018-03-25,8
136,2018-04-01,5
137,2018-04-08,15
138,2018-04-15,5
139,2018-04-22,15
140,2018-04-29,7
141,2018-05-06,5
142,2018-05-13,5
143,2018-05-20,5
144,2018-05-27,5
145,2018-06-03,5
146,2018-06-10,7
147,2018-06-17,10
148,2018-06-24,19
149,2018-07-01,10
150,2018-07-08,5
151,2018-07-15,10
152,2018-07-22,7
153,2018-07-29,10
154,2018-08-05,0
