,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Feel
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011846316664676352,1011846316664676352,1530077935000,2018-06-27,10:08:55,430,986116312920453120,abandidgah,دیدگاه آبان,,"بیشترین حجم معاملات 
#برکت 34.9 میلیون سهم
#خساپا 31.8 میلیون سهم
#وساپا 25.9 میلیون سهم
#چکاپا 20.7 میلیون سهم
#فولاد 19.2 میلیون سهم
#بورس",[],[],[],0,0,0,"['#برکت', '#خساپا', '#وساپا', '#چکاپا', '#فولاد', '#بورس']",[],https://twitter.com/abandidgah/status/1011846316664676352,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1012933781689208832,1012933781689208832,1530337207000,2018-06-30,10:10:07,430,986116312920453120,abandidgah,دیدگاه آبان,,"بیشترین حجم معاملات 
#وساپا 46.8 میلیون سهم
#فولاد 45.4 میلیون سهم
#برکت 37.6 میلیون سهم
#خساپا 29.6 میلیون سهم
#وتجارت 20.1 میلیون سهم
#بورس",[],[],[],0,0,0,"['#وساپا', '#فولاد', '#برکت', '#خساپا', '#وتجارت', '#بورس']",[],https://twitter.com/abandidgah/status/1012933781689208832,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1012948490744311808,1012948490744311808,1530340714000,2018-06-30,11:08:34,430,986116312920453120,abandidgah,دیدگاه آبان,,"بیشترین حجم معاملات 
#ذوب 83.2 میلیون سهم
#وساپا 74.7 میلیون سهم
#فولاد 70.9 میلیون سهم
#خساپا 39.4 میلیون سهم
#برکت 37.7 میلیون سهم
#بورس",[],[],[],0,0,0,"['#ذوب', '#وساپا', '#فولاد', '#خساپا', '#برکت', '#بورس']",[],https://twitter.com/abandidgah/status/1012948490744311808,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1046290836000890881,1046290836000890881,1538290149000,2018-09-30,10:19:09,430,986116312920453120,abandidgah,دیدگاه آبان,,"بازگشايي نمادهاي معاملاتي #كچاد، #فولاژ، #فنوال، #وغدير، #شخارك، #شوينده، #ثاخت ، #ختراك ،#بموتو #بركت، #تپمپي، #چدن، #خكمك ، #دكوثر، #وبشهر،#بهپاک، #سهگمت، #غپاك، #كترام، #كگاز، #قپيرا، #وتوكا، #پخش و بازگشایی می شوند. 
#بورس",[],[],[],0,0,0,"['#كچاد', '#فولاژ', '#فنوال', '#وغدير', '#شخارك', '#شوينده', '#ثاخت', '#ختراك', '#بموتو', '#بركت', '#تپمپي', '#چدن', '#خكمك', '#دكوثر', '#وبشهر', '#بهپاک', '#سهگمت', '#غپاك', '#كترام', '#كگاز', '#قپيرا', '#وتوكا', '#پخش', '#بورس']",[],https://twitter.com/abandidgah/status/1046290836000890881,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1054350215858122752,1054350215858122752,1540211654000,2018-10-22,16:04:14,430,986116312920453120,abandidgah,دیدگاه آبان,,"#برکت
بررسی #اطلاعیه 97/07/30
*گروه دارويي برکت*
خلاصه تصمیمات مجمع عمومی عادی سالیانه   
سود نقدی هر سهم: 110 ریال
درصد تقسیم سود: 60 درصد
#بورس",[],[],[],0,0,0,"['#برکت', '#اطلاعیه', '#بورس']",[],https://twitter.com/abandidgah/status/1054350215858122752,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1057542783282626561,1057542783282626561,1540972822000,2018-10-31,11:30:22,430,986116312920453120,abandidgah,دیدگاه آبان,,"#برکت
بررسی اطلاعیه 97/08/09
*گروه دارویی برکت*
6 ماهه منتهی به 97/06/31 (حسابرسی نشده) مبلغ (48) ریال زیان به ازای هر سهم محقق گردید.
167 درصد افزایش زیان نسبت به دوره مشابه سال گذشته
#بورس",[],[],[],0,0,0,"['#برکت', '#بورس']",[],https://twitter.com/abandidgah/status/1057542783282626561,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1061585037575905280,1061585037575905280,1541936570000,2018-11-11,15:12:50,430,986116312920453120,abandidgah,دیدگاه آبان,,"#برکت
بررسی #اطلاعیه 97/08/20
*گروه دارويي برکت*    
افشای اطلاعات بااهمیت - (نتایج برگزاری مزایده - گروه الف) منتهی به سال مالی ۱۳۹۷/۱۲/۲۹
#بورس  pic.twitter.com/FnfdP29zEg",[],[],['https://pbs.twimg.com/media/DruB8sVUUAAbpSK.jpg'],0,0,0,"['#برکت', '#اطلاعیه', '#بورس']",[],https://twitter.com/abandidgah/status/1061585037575905280,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1063771851686440962,1063771851686440962,1542457948000,2018-11-17,16:02:28,430,986116312920453120,abandidgah,دیدگاه آبان,,"#برکت
بررسی #اطلاعیه 97/08/26
*گروه دارويي برکت*    
افشای اطلاعات بااهمیت - (نتایج برگزاری مزایده - گروه الف) منتهی به سال مالی ۱۳۹۷/۱۲/۲۹
#بورس  pic.twitter.com/PBFsXCgbiu",[],[],['https://pbs.twimg.com/media/DsNG2U5V4AANhOm.jpg'],0,0,0,"['#برکت', '#اطلاعیه', '#بورس']",[],https://twitter.com/abandidgah/status/1063771851686440962,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1070221638828941312,1070221638828941312,1543995697000,2018-12-05,11:11:37,430,986116312920453120,abandidgah,دیدگاه آبان,,"در گروه محصولات دارویی نیز تحرکات مثبتی در جریان است. #داوه، #والبر، #دکوثر، #برکت، #دامین، #پخش، #دسبحا، #دکیمی، #ذلقما، #دیران و #دفارا مورد توجهند.
#بورس",[],[],[],0,0,1,"['#داوه', '#والبر', '#دکوثر', '#برکت', '#دامین', '#پخش', '#دسبحا', '#دکیمی', '#ذلقما', '#دیران', '#دفارا', '#بورس']",[],https://twitter.com/abandidgah/status/1070221638828941312,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1100346022688104448,1100346022688104448,1551177909000,2019-02-26,14:15:09,430,1088408011402563585,alialb16,Arta_tahlil,,#آرتا_تحلیل #بورس #دقاضی #دشیری #دعبید #دسینا #کاسپین #دزهراوی #وپخش #درازک #دلر #دپارس #دابور #دحاوی #دسبحان #دکوثر #دتولید #دسانکو #برکت #ریشمک  https://www.instagram.com/p/BuIVZKJHZG3/?utm_source=ig_twitter_share&igshid=arp8py06cza1 …,[],['https://www.instagram.com/p/BuIVZKJHZG3/?utm_source=ig_twitter_share&igshid=arp8py06cza1'],[],0,0,0,"['#آرتا_تحلیل', '#بورس', '#دقاضی', '#دشیری', '#دعبید', '#دسینا', '#کاسپین', '#دزهراوی', '#وپخش', '#درازک', '#دلر', '#دپارس', '#دابور', '#دحاوی', '#دسبحان', '#دکوثر', '#دتولید', '#دسانکو', '#برکت', '#ریشمک']",[],https://twitter.com/Alialb16/status/1100346022688104448,False,,0,,,,,,,"[{'user_id': '1088408011402563585', 'username': 'Alialb16'}]",,,,,0.9912850856781006
