Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-02-20,349792478.0,417593568971.0,12874.0,1200.0,1161.0,1194.0,1170.0,1143.0
2016-02-21,110710786.0,126431208813.0,4673.0,1175.0,1135.0,1142.0,1135.0,1194.0
2016-02-22,176699969.0,200137867708.0,7343.0,1174.0,1106.0,1133.0,1118.0,1142.0
2016-02-23,116607767.0,128847377574.0,5394.0,1140.0,1093.0,1105.0,1098.0,1133.0
2016-02-24,90800186.0,100487192415.0,4333.0,1120.0,1093.0,1107.0,1110.0,1105.0
2016-02-27,66726555.0,73919755031.0,3306.0,1129.0,1095.0,1108.0,1097.0,1107.0
2016-02-28,81134281.0,87309421758.0,4544.0,1105.0,1065.0,1076.0,1068.0,1108.0
2016-02-29,78559837.0,83519208373.0,3896.0,1085.0,1051.0,1063.0,1060.0,1076.0
2016-03-01,45028263.0,48332387288.0,2556.0,1090.0,1064.0,1073.0,1070.0,1063.0
2016-03-02,92352367.0,98419082297.0,3880.0,1083.0,1053.0,1066.0,1058.0,1073.0
2016-03-05,70869183.0,74852325175.0,4151.0,1070.0,1041.0,1056.0,1047.0,1066.0
2016-03-06,108503501.0,114741713280.0,5186.0,1086.0,1036.0,1057.0,1064.0,1056.0
2016-03-07,262645767.0,290649278192.0,8840.0,1109.0,1061.0,1107.0,1104.0,1057.0
2016-03-08,96275947.0,104922294176.0,4413.0,1119.0,1069.0,1090.0,1081.0,1107.0
2016-03-09,99507013.0,107835313531.0,3886.0,1098.0,1070.0,1084.0,1090.0,1090.0
2016-03-12,80863525.0,88240219015.0,4127.0,1110.0,1078.0,1091.0,1081.0,1084.0
2016-03-14,86072647.0,93747104160.0,4738.0,1129.0,1072.0,1089.0,1085.0,1091.0
2016-03-15,89588753.0,96359767179.0,4880.0,1098.0,1054.0,1076.0,1060.0,1089.0
2016-03-16,94507152.0,100395862075.0,5655.0,1090.0,1049.0,1062.0,1078.0,1076.0
2016-03-26,39996597.0,44443047201.0,1538.0,1115.0,1070.0,1111.0,1115.0,1062.0
2016-03-27,72806256.0,81436163793.0,3741.0,1149.0,1106.0,1119.0,1113.0,1111.0
2016-03-28,62855640.0,70545257058.0,2682.0,1130.0,1094.0,1122.0,1118.0,1119.0
2016-03-29,72721892.0,81822816473.0,3522.0,1130.0,1108.0,1125.0,1129.0,1122.0
2016-03-30,58784067.0,67019613107.0,3143.0,1152.0,1126.0,1140.0,1132.0,1125.0
2016-04-02,43716903.0,48842671059.0,2493.0,1157.0,1099.0,1117.0,1104.0,1140.0
2016-04-03,45503523.0,49051846163.0,2728.0,1108.0,1069.0,1078.0,1075.0,1117.0
