,Date,Trend
0,2015-08-09,70
1,2015-08-16,69
2,2015-08-23,71
3,2015-08-30,74
4,2015-09-06,74
5,2015-09-13,74
6,2015-09-20,61
7,2015-09-27,70
8,2015-10-04,74
9,2015-10-11,75
10,2015-10-18,77
11,2015-10-25,75
12,2015-11-01,76
13,2015-11-08,77
14,2015-11-15,75
15,2015-11-22,77
16,2015-11-29,76
17,2015-12-06,76
18,2015-12-13,77
19,2015-12-20,84
20,2015-12-27,87
21,2016-01-03,79
22,2016-01-10,78
23,2016-01-17,83
24,2016-01-24,83
25,2016-01-31,91
26,2016-02-07,98
27,2016-02-14,97
28,2016-02-21,100
29,2016-02-28,98
30,2016-03-06,96
31,2016-03-13,95
32,2016-03-20,100
33,2016-03-27,98
34,2016-04-03,98
35,2016-04-10,98
36,2016-04-17,96
37,2016-04-24,94
38,2016-05-01,96
39,2016-05-08,93
40,2016-05-15,93
41,2016-05-22,91
42,2016-05-29,88
43,2016-06-05,85
44,2016-06-12,91
45,2016-06-19,91
46,2016-06-26,86
47,2016-07-03,77
48,2016-07-10,82
49,2016-07-17,85
50,2016-07-24,81
51,2016-07-31,79
52,2016-08-07,80
53,2016-08-14,79
54,2016-08-21,81
55,2016-08-28,82
56,2016-09-04,81
57,2016-09-11,73
58,2016-09-18,84
59,2016-09-25,88
60,2016-10-02,89
61,2016-10-09,90
62,2016-10-16,89
63,2016-10-23,87
64,2016-10-30,88
65,2016-11-06,82
66,2016-11-13,85
67,2016-11-20,85
68,2016-11-27,83
69,2016-12-04,83
70,2016-12-11,83
71,2016-12-18,84
72,2016-12-25,84
73,2017-01-01,83
74,2017-01-08,79
75,2017-01-15,78
76,2017-01-22,78
77,2017-01-29,76
78,2017-02-05,80
79,2017-02-12,82
80,2017-02-19,82
81,2017-02-26,83
82,2017-03-05,80
83,2017-03-12,80
84,2017-03-19,75
85,2017-03-26,78
86,2017-04-02,77
87,2017-04-09,83
88,2017-04-16,80
89,2017-04-23,78
90,2017-04-30,78
91,2017-05-07,76
92,2017-05-14,76
93,2017-05-21,70
94,2017-05-28,74
95,2017-06-04,76
96,2017-06-11,75
97,2017-06-18,69
98,2017-06-25,65
99,2017-07-02,73
100,2017-07-09,72
101,2017-07-16,74
102,2017-07-23,71
103,2017-07-30,71
104,2017-08-06,72
105,2017-08-13,70
106,2017-08-20,68
107,2017-08-27,62
108,2017-09-03,66
109,2017-09-10,71
110,2017-09-17,72
111,2017-09-24,74
112,2017-10-01,76
113,2017-10-08,74
114,2017-10-15,76
115,2017-10-22,75
116,2017-10-29,74
117,2017-11-05,75
118,2017-11-12,73
119,2017-11-19,73
120,2017-11-26,71
121,2017-12-03,75
122,2017-12-10,72
123,2017-12-17,78
124,2017-12-24,79
125,2017-12-31,74
126,2018-01-07,70
127,2018-01-14,70
128,2018-01-21,72
129,2018-01-28,71
130,2018-02-04,74
131,2018-02-11,78
132,2018-02-18,76
133,2018-02-25,75
134,2018-03-04,74
135,2018-03-11,72
136,2018-03-18,70
137,2018-03-25,72
138,2018-04-01,71
139,2018-04-08,72
140,2018-04-15,71
141,2018-04-22,71
142,2018-04-29,70
143,2018-05-06,70
144,2018-05-13,64
145,2018-05-20,70
146,2018-05-27,72
147,2018-06-03,70
148,2018-06-10,62
149,2018-06-17,63
150,2018-06-24,66
151,2018-07-01,65
152,2018-07-08,68
153,2018-07-15,64
154,2018-07-22,70
155,2018-07-29,66
156,2018-08-05,66
157,2018-08-12,66
158,2018-08-19,61
159,2018-08-26,64
160,2018-09-02,69
161,2018-09-09,70
162,2018-09-16,73
163,2018-09-23,75
164,2018-09-30,74
165,2018-10-07,75
166,2018-10-14,75
167,2018-10-21,72
168,2018-10-28,71
169,2018-11-04,74
170,2018-11-11,72
171,2018-11-18,72
172,2018-11-25,73
173,2018-12-02,71
174,2018-12-09,73
175,2018-12-16,74
176,2018-12-23,76
177,2018-12-30,72
178,2019-01-06,71
179,2019-01-13,73
180,2019-01-20,70
181,2019-01-27,72
182,2019-02-03,73
183,2019-02-10,75
184,2019-02-17,74
185,2019-02-24,73
186,2019-03-03,75
187,2019-03-10,73
188,2019-03-17,73
189,2019-03-24,74
190,2019-03-31,72
191,2019-04-07,70
192,2019-04-14,75
193,2019-04-21,73
194,2019-04-28,67
195,2019-05-05,72
196,2019-05-12,77
197,2019-05-19,76
198,2019-05-26,73
199,2019-06-02,62
200,2019-06-09,69
201,2019-06-16,70
202,2019-06-23,67
203,2019-06-30,67
204,2019-07-07,67
205,2019-07-14,68
206,2019-07-21,68
207,2019-07-28,69
208,2019-08-04,66
209,2019-08-11,61
210,2019-08-18,66
211,2019-08-25,66
212,2019-09-01,69
213,2019-09-08,71
214,2019-09-15,71
215,2019-09-22,71
216,2019-09-29,70
217,2019-10-06,73
218,2019-10-13,73
219,2019-10-20,73
220,2019-10-27,73
221,2019-11-03,71
222,2019-11-10,74
223,2019-11-17,65
224,2019-11-24,70
225,2019-12-01,74
226,2019-12-08,75
227,2019-12-15,78
228,2019-12-22,84
229,2019-12-29,77
230,2020-01-05,75
231,2020-01-12,72
232,2020-01-19,74
233,2020-01-26,76
234,2020-02-02,76
235,2020-02-09,75
236,2020-02-16,78
237,2020-02-23,78
238,2020-03-01,79
239,2020-03-08,75
240,2020-03-15,81
241,2020-03-22,89
242,2020-03-29,88
243,2020-04-05,100
244,2020-04-12,94
245,2020-04-19,88
246,2020-04-26,98
247,2020-05-03,100
248,2020-05-10,95
249,2020-05-17,87
250,2020-05-24,80
251,2020-05-31,85
252,2020-06-07,86
253,2020-06-14,82
254,2020-06-21,79
255,2020-06-28,77
256,2020-07-05,76
257,2020-07-12,77
258,2020-07-19,77
259,2020-07-26,70
260,2020-08-02,74
