Date,Close,Open,Low,High,Volume,Trades
2017-09-12,1950.0,1950.0,1950.0,1950.0,80000000,101332
2017-09-13,2047.0,2047.0,2047.0,2047.0,551195,160
2017-09-16,2149.0,2149.0,2149.0,2149.0,830726,148
2017-09-17,2256.0,2256.0,2256.0,2256.0,1009142,268
2017-09-18,2368.0,2368.0,2368.0,2368.0,3907297,448
2017-09-19,2486.0,2486.0,2486.0,2486.0,15272462,2785
2017-09-20,2609.0,2610.0,2544.0,2610.0,32179159,22909
2017-09-23,2689.0,2650.0,2610.0,2739.0,69168773,56096
2017-09-24,2793.0,2712.0,2712.0,2823.0,52056714,9624
2017-09-25,2919.0,2870.0,2852.0,2932.0,24495421,3542
2017-09-26,3064.0,3064.0,3064.0,3064.0,1213507,217
2017-09-27,3215.0,3217.0,3151.0,3217.0,43112490,5862
2017-10-02,3103.0,3298.0,3055.0,3311.0,33847049,8946
2017-10-03,2948.0,2948.0,2948.0,2948.0,928791,149
2017-10-04,2985.0,2920.0,2850.0,3094.0,25820666,8645
2017-10-07,2892.0,3011.0,2836.0,3049.0,14637958,4357
2017-10-08,2752.0,2813.0,2748.0,2830.0,9308338,1677
2017-10-09,2682.0,2703.0,2619.0,2797.0,12816912,3882
2017-10-10,2646.0,2662.0,2610.0,2720.0,8580213,1958
2017-10-11,2563.0,2650.0,2530.0,2658.0,9297529,2037
2017-10-14,2665.0,2610.0,2567.0,2691.0,5328250,1026
2017-10-15,2719.0,2700.0,2666.0,2790.0,8714819,1980
2017-10-16,2664.0,2699.0,2642.0,2720.0,6830289,1603
2017-10-17,2706.0,2650.0,2602.0,2780.0,10676896,2997
2017-10-18,2690.0,2718.0,2652.0,2786.0,4138546,1686
2017-10-21,2680.0,2700.0,2648.0,2765.0,4752291,1189
2017-10-22,2602.0,2650.0,2553.0,2650.0,8432583,1490
2017-10-23,2539.0,2566.0,2502.0,2610.0,5917250,1362
2017-10-24,2480.0,2520.0,2451.0,2535.0,7684349,1381
2017-10-25,2503.0,2500.0,2481.0,2547.0,3369174,967
2017-10-28,2612.0,2510.0,2503.0,2628.0,9989822,1543
2017-10-29,2622.0,2659.0,2541.0,2690.0,6295024,1125
2017-10-30,2518.0,2536.0,2492.0,2579.0,4649656,989
2017-10-31,2492.0,2539.0,2477.0,2539.0,4412635,883
2017-11-01,2485.0,2481.0,2480.0,2510.0,4465460,750
2017-11-04,2497.0,2491.0,2481.0,2516.0,2041567,586
2017-11-05,2524.0,2502.0,2490.0,2571.0,4249660,1007
2017-11-06,2492.0,2502.0,2480.0,2538.0,2973485,654
2017-11-07,2474.0,2495.0,2461.0,2514.0,1502416,453
2017-11-08,2510.0,2476.0,2475.0,2536.0,2328596,566
2017-11-11,2471.0,2480.0,2461.0,2500.0,2198837,442
2017-11-12,2483.0,2488.0,2471.0,2519.0,2127096,370
2017-11-13,2486.0,2500.0,2475.0,2510.0,1154645,321
2017-11-14,2512.0,2487.0,2487.0,2545.0,3703445,674
2017-11-15,2495.0,2500.0,2490.0,2520.0,1586664,359
2017-11-18,2505.0,2490.0,2481.0,2540.0,2127807,582
2017-11-20,2536.0,2502.0,2502.0,2577.0,5049019,1055
2017-11-21,2492.0,2539.0,2485.0,2540.0,8932134,988
2017-11-22,2516.0,2534.0,2493.0,2560.0,3157083,571
2017-11-25,2549.0,2520.0,2520.0,2590.0,2996172,604
2017-11-26,2503.0,2550.0,2491.0,2550.0,2410391,477
2017-11-28,2570.0,2537.0,2515.0,2597.0,7820811,1391
2017-11-29,2604.0,2585.0,2537.0,2639.0,6760848,1542
